case_id,root,initial_phase,variant,family,depth,break_index,mechanics,expected_support,participation,support,triggers,predicate_pass,qlp_events,source_fires,physical_work,drive_deliveries,modulatory_deliveries,local_updates,proposals,deallocations,qlp_work,final_tick,pressure_phase,trace_hash,body_hash,live,quiescent
23,2700000,2,complete_d2,complete,2,none,reference,1|1,4026531840|4026531840,4026531840|4026531840,qualified,1,1,4,10,5,2,2,0,0,1,3,3,f831f067ddd9f009a48f7075dd767e4a1806982f199e17967e418141d68c8e18,ccb49f5b7a660667425588ba0997b773c1e00b41cea5bbd2df11c6ecc9f5c4bb,1,1
23,2700000,2,complete_d2,complete,2,none,production,1|1,4026531840|4026531840,4026531840|4026531840,qualified,1,1,4,10,5,2,2,0,0,1,3,3,f831f067ddd9f009a48f7075dd767e4a1806982f199e17967e418141d68c8e18,ccb49f5b7a660667425588ba0997b773c1e00b41cea5bbd2df11c6ecc9f5c4bb,1,1
24,2700000,3,complete_d2,complete,2,none,reference,1|1,4026531840|4026531840,4026531840|4026531840,qualified,1,1,4,10,5,2,2,0,0,1,4,4,601fd13b0b94709e2bec0a9eb173ee5b0b258b3c81d24b73c2634084def183a5,ccb49f5b7a660667425588ba0997b773c1e00b41cea5bbd2df11c6ecc9f5c4bb,1,1
24,2700000,3,complete_d2,complete,2,none,production,1|1,4026531840|4026531840,4026531840|4026531840,qualified,1,1,4,10,5,2,2,0,0,1,4,4,601fd13b0b94709e2bec0a9eb173ee5b0b258b3c81d24b73c2634084def183a5,ccb49f5b7a660667425588ba0997b773c1e00b41cea5bbd2df11c6ecc9f5c4bb,1,1
25,2700000,4,complete_d2,complete,2,none,reference,1|1,4026531840|4026531840,4026531840|4026531840,qualified,1,1,4,10,5,2,2,0,0,1,5,5,90c074cb884dd4932062c79ca87cebcf5b9ba4cd4c606354ea939766b52aa114,ccb49f5b7a660667425588ba0997b773c1e00b41cea5bbd2df11c6ecc9f5c4bb,1,1
25,2700000,4,complete_d2,complete,2,none,production,1|1,4026531840|4026531840,4026531840|4026531840,qualified,1,1,4,10,5,2,2,0,0,1,5,5,90c074cb884dd4932062c79ca87cebcf5b9ba4cd4c606354ea939766b52aa114,ccb49f5b7a660667425588ba0997b773c1e00b41cea5bbd2df11c6ecc9f5c4bb,1,1
26,2700000,5,complete_d2,complete,2,none,reference,1|1,4026531840|4026531840,4026531840|4026531840,qualified,1,1,4,10,5,2,2,0,0,1,6,6,0a910cc88aad4b3a3c35d4503bcd371f7384fc783963eb34fbe7a10e3e3b4714,ccb49f5b7a660667425588ba0997b773c1e00b41cea5bbd2df11c6ecc9f5c4bb,1,1
26,2700000,5,complete_d2,complete,2,none,production,1|1,4026531840|4026531840,4026531840|4026531840,qualified,1,1,4,10,5,2,2,0,0,1,6,6,0a910cc88aad4b3a3c35d4503bcd371f7384fc783963eb34fbe7a10e3e3b4714,ccb49f5b7a660667425588ba0997b773c1e00b41cea5bbd2df11c6ecc9f5c4bb,1,1
27,2700000,6,complete_d2,complete,2,none,reference,1|1,4026531840|4026531840,4026531840|4026531840,qualified,1,1,4,10,5,2,2,0,0,1,7,7,386f95f01a62016a1cb902808ae20670383edc36323d9ea1bb15677935ba53be,ccb49f5b7a660667425588ba0997b773c1e00b41cea5bbd2df11c6ecc9f5c4bb,1,1
27,2700000,6,complete_d2,complete,2,none,production,1|1,4026531840|4026531840,4026531840|4026531840,qualified,1,1,4,10,5,2,2,0,0,1,7,7,386f95f01a62016a1cb902808ae20670383edc36323d9ea1bb15677935ba53be,ccb49f5b7a660667425588ba0997b773c1e00b41cea5bbd2df11c6ecc9f5c4bb,1,1
