case_id,root,initial_phase,world,mechanics,participation,support,triggers,predicate_pass,qlp_events,source_fires,physical_work,drive_deliveries,modulatory_deliveries,local_updates,qlp_work,final_tick,pressure_phase,trace_hash,body_hash,live,quiescent
11,2600000,0,positive_one_hop,reference,4026531840|4026531840,4026531840|4026531840,qualified,1,1,4,10,5,2,2,1,1,1,6710b91fc90bf0be8cfe6583a45c2953f81c7dd0a0a1eed97cccba1a43299a93,3d0c05133c280a2e53d380da2f98d4e1eac02ae12865b9d2610fbfa68a203b95,1,1
11,2600000,0,positive_one_hop,production,4026531840|4026531840,4026531840|4026531840,qualified,1,1,4,10,5,2,2,1,1,1,6710b91fc90bf0be8cfe6583a45c2953f81c7dd0a0a1eed97cccba1a43299a93,3d0c05133c280a2e53d380da2f98d4e1eac02ae12865b9d2610fbfa68a203b95,1,1
12,2600000,1,positive_one_hop,reference,4026531840|4026531840,4026531840|4026531840,qualified,1,1,4,10,5,2,2,1,2,2,690e65f25e6430139c0c24732e428fff706e7412c8a0969e1c7e8437a93a18ba,3d0c05133c280a2e53d380da2f98d4e1eac02ae12865b9d2610fbfa68a203b95,1,1
12,2600000,1,positive_one_hop,production,4026531840|4026531840,4026531840|4026531840,qualified,1,1,4,10,5,2,2,1,2,2,690e65f25e6430139c0c24732e428fff706e7412c8a0969e1c7e8437a93a18ba,3d0c05133c280a2e53d380da2f98d4e1eac02ae12865b9d2610fbfa68a203b95,1,1
13,2600000,2,positive_one_hop,reference,4026531840|4026531840,4026531840|4026531840,qualified,1,1,4,10,5,2,2,1,3,3,f831f067ddd9f009a48f7075dd767e4a1806982f199e17967e418141d68c8e18,3d0c05133c280a2e53d380da2f98d4e1eac02ae12865b9d2610fbfa68a203b95,1,1
13,2600000,2,positive_one_hop,production,4026531840|4026531840,4026531840|4026531840,qualified,1,1,4,10,5,2,2,1,3,3,f831f067ddd9f009a48f7075dd767e4a1806982f199e17967e418141d68c8e18,3d0c05133c280a2e53d380da2f98d4e1eac02ae12865b9d2610fbfa68a203b95,1,1
14,2600000,3,positive_one_hop,reference,4026531840|4026531840,4026531840|4026531840,qualified,1,1,4,10,5,2,2,1,4,4,601fd13b0b94709e2bec0a9eb173ee5b0b258b3c81d24b73c2634084def183a5,3d0c05133c280a2e53d380da2f98d4e1eac02ae12865b9d2610fbfa68a203b95,1,1
14,2600000,3,positive_one_hop,production,4026531840|4026531840,4026531840|4026531840,qualified,1,1,4,10,5,2,2,1,4,4,601fd13b0b94709e2bec0a9eb173ee5b0b258b3c81d24b73c2634084def183a5,3d0c05133c280a2e53d380da2f98d4e1eac02ae12865b9d2610fbfa68a203b95,1,1
15,2600000,4,positive_one_hop,reference,4026531840|4026531840,4026531840|4026531840,qualified,1,1,4,10,5,2,2,1,5,5,90c074cb884dd4932062c79ca87cebcf5b9ba4cd4c606354ea939766b52aa114,3d0c05133c280a2e53d380da2f98d4e1eac02ae12865b9d2610fbfa68a203b95,1,1
15,2600000,4,positive_one_hop,production,4026531840|4026531840,4026531840|4026531840,qualified,1,1,4,10,5,2,2,1,5,5,90c074cb884dd4932062c79ca87cebcf5b9ba4cd4c606354ea939766b52aa114,3d0c05133c280a2e53d380da2f98d4e1eac02ae12865b9d2610fbfa68a203b95,1,1
16,2600000,5,positive_one_hop,reference,4026531840|4026531840,4026531840|4026531840,qualified,1,1,4,10,5,2,2,1,6,6,0a910cc88aad4b3a3c35d4503bcd371f7384fc783963eb34fbe7a10e3e3b4714,3d0c05133c280a2e53d380da2f98d4e1eac02ae12865b9d2610fbfa68a203b95,1,1
