case_id,root,initial_phase,scenario,mechanics,a_updates,b_updates,a_initial_resistance,a_final_resistance,a_initial_coupling,a_final_coupling,a_live,b_initial_resistance,b_final_resistance,b_initial_coupling,b_final_coupling,b_live,drive_deliveries,modulatory_deliveries,fires,eligible,resistance_events,proposals,deallocations,crossings,ca_fires,physical_work,final_tick,pressure_phase,trace_hash,body_hash,quiescent
15,1300000,1,c2_a_not_traversed,production,0,0,4,4,1,1,1,4,4,1,1,1,3,1,2,2,0,0,0,0,0,4,1,1,99052ecc6cb678d16419a872a748adaf9d4cfa1e54d8c0ddec6117c23492d65d,bf1c6d057bd4d92d9ef76ef8c44c4fe0193332305255ae78108f5c77abf1e51c,1
16,1300000,1,c3_drive_at_ca,reference,0,0,4,4,1,1,1,4,4,1,1,1,7,0,4,5,0,0,0,0,2,7,2,2,7124740d641bf90090b27c1de04a48ae6b559636d8d527842235a993a63a65bd,2dd327c5a5b82d5dfc1eeab45b6cf6c74d1e910b8aead18126e8da2fb85bb216,1
16,1300000,1,c3_drive_at_ca,production,0,0,4,4,1,1,1,4,4,1,1,1,7,0,4,5,0,0,0,0,2,7,2,2,7124740d641bf90090b27c1de04a48ae6b559636d8d527842235a993a63a65bd,2dd327c5a5b82d5dfc1eeab45b6cf6c74d1e910b8aead18126e8da2fb85bb216,1
17,1300000,1,c4_late_modulation,reference,0,0,4,3,1,1,1,4,3,1,1,1,6,1,4,5,0,0,0,0,1,7,6,6,cc280a373d429c0beab80a9673749fb55640879ff28699144e81fbe4f720cf79,e7a65902d75b4f15f6fd014033a754eaa271088dda2b11f8f7d2c7fa0116d9a7,1
17,1300000,1,c4_late_modulation,production,0,0,4,3,1,1,1,4,3,1,1,1,6,1,4,5,0,0,0,0,1,7,6,6,cc280a373d429c0beab80a9673749fb55640879ff28699144e81fbe4f720cf79,e7a65902d75b4f15f6fd014033a754eaa271088dda2b11f8f7d2c7fa0116d9a7,1
18,1300000,1,c5_dense_distractors,reference,1,0,4,7,1,2,1,4,4,1,1,1,71,1,37,38,1,0,0,0,2,73,2,2,529f13c15ec4757c7a95616e9b82bf06a57e784715418c1c1147b7eddf75f83d,424ef684bacee341c7b6c52e6b63bcdd832c81fe8e3eeaefab6291612a650687,1
18,1300000,1,c5_dense_distractors,production,1,0,4,7,1,2,1,4,4,1,1,1,71,1,37,38,1,0,0,0,2,73,2,2,529f13c15ec4757c7a95616e9b82bf06a57e784715418c1c1147b7eddf75f83d,424ef684bacee341c7b6c52e6b63bcdd832c81fe8e3eeaefab6291612a650687,1
19,1300000,1,c6_swapped_identity,reference,1,0,4,7,1,2,1,4,4,1,1,1,6,1,4,5,1,0,0,0,1,8,1,1,b4d770fcecfe2bea1da1d9898de4e60a68917fe86ad759dac26d246dc5bddfac,109765f99c9247a430403d1e4412e84d38298f876d11083932cf81b0bfdf2d7b,1
19,1300000,1,c6_swapped_identity,production,1,0,4,7,1,2,1,4,4,1,1,1,6,1,4,5,1,0,0,0,1,8,1,1,b4d770fcecfe2bea1da1d9898de4e60a68917fe86ad759dac26d246dc5bddfac,109765f99c9247a430403d1e4412e84d38298f876d11083932cf81b0bfdf2d7b,1
20,1300000,1,c6_reverse_order,reference,1,0,4,7,1,2,1,4,4,1,1,1,6,1,4,5,1,0,0,0,1,8,1,1,eab3644f0dcbfcc7d7d9a5d28cef7d1babaa32ac7b3cb5c3c7a0b3a2ec3a6600,e34a785e5ef9d2371a309e1220a011f41a4e51e6905da2501266f1f14d7e02c2,1
