case,family,root,phase,mechanics,replay_equal,cross_mechanics_equal,checks_pass,failed,cell_proposals,arrow_proposals,arrow_updates,cell_deallocations,arrow_deallocations,physical_work,trace_len,final_tick,naturally_quiescent,body_hash,markers
28,v2_anchor_only_control,7500000,9,production,true,true,true,,0,0,0,0,0,0,0,19,true,9624a3b48930cafcfbfeab11b96b3ff4a5a65b641177e9349d69a5936cca48da,anchor=CellId(2);boundary=CellId(0)/CellId(1);links=[Some(499); Some(499)]
29,gate_e_positive_consequence,7500000,9,reference,true,true,true,,2,4,2,1,2,21,27,21,true,77dd52fe2ad52c03f9ca40f9ebf0e9e608ab608965ffb56f5b9c1dca5088c31f,selected_sign=1;selected_id=CellId(4)/slotCellSlot(4);unsupported_id=CellId(3)/slotCellSlot(3);anchor=CellId(2)/slotSome(CellSlot(2));selected_r=stemSome(4)/outSome(4);unsupported_r=stemSome(1)/outSome(1);anchor_r=[Some(500); Some(500)];live10=selected(true; true; true)/unsupported(false; false; false);fires=1->2/1->1
29,gate_e_positive_consequence,7500000,9,production,true,true,true,,2,4,2,1,2,21,27,21,true,77dd52fe2ad52c03f9ca40f9ebf0e9e608ab608965ffb56f5b9c1dca5088c31f,selected_sign=1;selected_id=CellId(4)/slotCellSlot(4);unsupported_id=CellId(3)/slotCellSlot(3);anchor=CellId(2)/slotSome(CellSlot(2));selected_r=stemSome(4)/outSome(4);unsupported_r=stemSome(1)/outSome(1);anchor_r=[Some(500); Some(500)];live10=selected(true; true; true)/unsupported(false; false; false);fires=1->2/1->1
30,v2_anchor_identity_slot_permutation,7500000,9,reference,true,true,true,,2,4,2,1,2,21,27,21,true,c53a5f2a599b8bfff71c127406ccb2ea9117f281803d300715bcd06132f21805,selected_sign=1;selected_id=CellId(4)/slotCellSlot(4);unsupported_id=CellId(3)/slotCellSlot(3);anchor=CellId(0)/slotSome(CellSlot(0));selected_r=stemSome(4)/outSome(4);unsupported_r=stemSome(1)/outSome(1);anchor_r=[Some(500); Some(500)];live10=selected(true; true; true)/unsupported(false; false; false);fires=1->2/1->1
30,v2_anchor_identity_slot_permutation,7500000,9,production,true,true,true,,2,4,2,1,2,21,27,21,true,c53a5f2a599b8bfff71c127406ccb2ea9117f281803d300715bcd06132f21805,selected_sign=1;selected_id=CellId(4)/slotCellSlot(4);unsupported_id=CellId(3)/slotCellSlot(3);anchor=CellId(0)/slotSome(CellSlot(0));selected_r=stemSome(4)/outSome(4);unsupported_r=stemSome(1)/outSome(1);anchor_r=[Some(500); Some(500)];live10=selected(true; true; true)/unsupported(false; false; false);fires=1->2/1->1
31,v2_anchor_only_control,7600001,0,reference,true,true,true,,0,0,0,0,0,0,0,10,true,728f46b97104f51a0734af94a0de4f162dddd103ad34047b0e103a3183b94858,anchor=CellId(2);boundary=CellId(0)/CellId(1);links=[Some(499); Some(499)]
31,v2_anchor_only_control,7600001,0,production,true,true,true,,0,0,0,0,0,0,0,10,true,728f46b97104f51a0734af94a0de4f162dddd103ad34047b0e103a3183b94858,anchor=CellId(2);boundary=CellId(0)/CellId(1);links=[Some(499); Some(499)]
32,gate_e_positive_consequence,7600001,0,reference,true,true,true,,2,4,2,1,2,21,27,12,true,2e4309d27dd59e6425e6fd6b3b7663e890ea906d73c4cf996d562ebd3bc46564,selected_sign=1;selected_id=CellId(4)/slotCellSlot(4);unsupported_id=CellId(3)/slotCellSlot(3);anchor=CellId(2)/slotSome(CellSlot(2));selected_r=stemSome(4)/outSome(4);unsupported_r=stemSome(1)/outSome(1);anchor_r=[Some(500); Some(500)];live10=selected(true; true; true)/unsupported(false; false; false);fires=1->2/1->1
32,gate_e_positive_consequence,7600001,0,production,true,true,true,,2,4,2,1,2,21,27,12,true,2e4309d27dd59e6425e6fd6b3b7663e890ea906d73c4cf996d562ebd3bc46564,selected_sign=1;selected_id=CellId(4)/slotCellSlot(4);unsupported_id=CellId(3)/slotCellSlot(3);anchor=CellId(2)/slotSome(CellSlot(2));selected_r=stemSome(4)/outSome(4);unsupported_r=stemSome(1)/outSome(1);anchor_r=[Some(500); Some(500)];live10=selected(true; true; true)/unsupported(false; false; false);fires=1->2/1->1
33,v2_anchor_identity_slot_permutation,7600001,0,reference,true,true,true,,2,4,2,1,2,21,27,12,true,c0e4d80909f28277f94f61b1adf6bc5fba2498a78764c44e36acd106aa50a44c,selected_sign=1;selected_id=CellId(4)/slotCellSlot(4);unsupported_id=CellId(3)/slotCellSlot(3);anchor=CellId(0)/slotSome(CellSlot(0));selected_r=stemSome(4)/outSome(4);unsupported_r=stemSome(1)/outSome(1);anchor_r=[Some(500); Some(500)];live10=selected(true; true; true)/unsupported(false; false; false);fires=1->2/1->1
