case_id,root,initial_phase,scenario,mechanics,a_updates,b_updates,a_initial_resistance,a_final_resistance,a_initial_coupling,a_final_coupling,a_live,b_initial_resistance,b_final_resistance,b_initial_coupling,b_final_coupling,b_live,drive_deliveries,modulatory_deliveries,fires,resistance_events,proposals,deallocations,crossings,ca_fires,physical_work,final_tick,pressure_phase,raw_trace_hash,body_hash,quiescent,normalized_trace_hash
14,1300000,1,c1_contact_b,production,0,1,4,4,1,1,1,4,7,1,1,1,6,1,4,1,0,0,0,1,8,1,1,d21a50a4e565286d1c27a731963fdf3fbad645b258ac0275bc342299ad396217,108a955c815b48efa20d063396a2b9b354a1de4f7802847ecc9456ec893d327c,1,144a94e84cd4a03cd64092eddd91a90f3dc31b8c455f83baf6f8b1e6930136e1
15,1300000,1,c2_a_not_traversed,reference,0,0,4,4,1,1,1,4,4,1,1,1,3,1,2,0,0,0,0,0,4,1,1,694327f6c93892752fb867974cc77c9d36bdcd80742cea0089e51da042b9ec10,bf1c6d057bd4d92d9ef76ef8c44c4fe0193332305255ae78108f5c77abf1e51c,1,a84e9948bc9a5734c8bcb61af68e22abf12126b3f2b0166159ac845735990e32
15,1300000,1,c2_a_not_traversed,production,0,0,4,4,1,1,1,4,4,1,1,1,3,1,2,0,0,0,0,0,4,1,1,694327f6c93892752fb867974cc77c9d36bdcd80742cea0089e51da042b9ec10,bf1c6d057bd4d92d9ef76ef8c44c4fe0193332305255ae78108f5c77abf1e51c,1,a84e9948bc9a5734c8bcb61af68e22abf12126b3f2b0166159ac845735990e32
16,1300000,1,c3_drive_at_ca,reference,0,0,4,4,1,1,1,4,4,1,1,1,7,0,4,0,0,0,0,2,7,2,2,2d9698915b94f09e5779721a062086bec504e9d8c2c4712e16a5d847a746c118,2dd327c5a5b82d5dfc1eeab45b6cf6c74d1e910b8aead18126e8da2fb85bb216,1,3c9a03a7a8b4df03b17d05d7f7a9a7a31dc1eb7e7a73310138af287fc4d9215e
16,1300000,1,c3_drive_at_ca,production,0,0,4,4,1,1,1,4,4,1,1,1,7,0,4,0,0,0,0,2,7,2,2,2d9698915b94f09e5779721a062086bec504e9d8c2c4712e16a5d847a746c118,2dd327c5a5b82d5dfc1eeab45b6cf6c74d1e910b8aead18126e8da2fb85bb216,1,3c9a03a7a8b4df03b17d05d7f7a9a7a31dc1eb7e7a73310138af287fc4d9215e
17,1300000,1,c4_late_modulation,reference,1,0,4,7,1,1,1,4,4,1,1,1,6,1,4,1,0,0,0,1,8,6,6,2968e9ca221341b9e22c1176c7aa1da950240f8c57f05df7af76ea87d16350b5,19b2c87d31b3bb6cdee7a6cfb42d847c516f61616a51c201dd19de6df028dc2d,1,411be4a614f452c3bf76223e57d6c994ae141ebea7f2c5df0d3e53d0981a38fc
17,1300000,1,c4_late_modulation,production,1,0,4,7,1,1,1,4,4,1,1,1,6,1,4,1,0,0,0,1,8,6,6,2968e9ca221341b9e22c1176c7aa1da950240f8c57f05df7af76ea87d16350b5,19b2c87d31b3bb6cdee7a6cfb42d847c516f61616a51c201dd19de6df028dc2d,1,411be4a614f452c3bf76223e57d6c994ae141ebea7f2c5df0d3e53d0981a38fc
18,1300000,1,c5_dense_distractors,reference,1,0,4,7,1,1,1,4,4,1,1,1,71,1,37,1,0,0,0,2,73,2,2,01487bf5ee3ebfbe82ceef6e0f9ce25b91c2430614a984972795211714c497cb,e3f1982ed7aacfbcb1bf15a9ae7ea5b470bb169c99186bb3d87173fff728b8c7,1,1e3623a8b29b8e2ebef55df1a3f78d876846363e972f427ae1e838ab06b25060
18,1300000,1,c5_dense_distractors,production,1,0,4,7,1,1,1,4,4,1,1,1,71,1,37,1,0,0,0,2,73,2,2,01487bf5ee3ebfbe82ceef6e0f9ce25b91c2430614a984972795211714c497cb,e3f1982ed7aacfbcb1bf15a9ae7ea5b470bb169c99186bb3d87173fff728b8c7,1,1e3623a8b29b8e2ebef55df1a3f78d876846363e972f427ae1e838ab06b25060
19,1300000,1,c6_swapped_identity,reference,1,0,4,7,1,1,1,4,4,1,1,1,6,1,4,1,0,0,0,1,8,1,1,35048e4ac78c9ce6e1bd7c64917fa272c002de28ebf0724a39a2f834dfbf4921,1d95a50bf6607c40a5056896c6a09df8992f102a9384556714ac03c2de6aa58e,1,ea08513394817448a8c5c515d5d6e150a31ed2141cb2b77f7077a318fa0db74d
19,1300000,1,c6_swapped_identity,production,1,0,4,7,1,1,1,4,4,1,1,1,6,1,4,1,0,0,0,1,8,1,1,35048e4ac78c9ce6e1bd7c64917fa272c002de28ebf0724a39a2f834dfbf4921,1d95a50bf6607c40a5056896c6a09df8992f102a9384556714ac03c2de6aa58e,1,ea08513394817448a8c5c515d5d6e150a31ed2141cb2b77f7077a318fa0db74d
20,1300000,1,c6_reverse_order,reference,1,0,4,7,1,1,1,4,4,1,1,1,6,1,4,1,0,0,0,1,8,1,1,86054e5a051896fa24426c6ddcce9dea17c5dfe02da345fe91bfc6dec2cb7691,769cc22368356229ec599a9ff73c60c4c7ee771d4e52171e03c36668ee94174b,1,144a94e84cd4a03cd64092eddd91a90f3dc31b8c455f83baf6f8b1e6930136e1
20,1300000,1,c6_reverse_order,production,1,0,4,7,1,1,1,4,4,1,1,1,6,1,4,1,0,0,0,1,8,1,1,86054e5a051896fa24426c6ddcce9dea17c5dfe02da345fe91bfc6dec2cb7691,769cc22368356229ec599a9ff73c60c4c7ee771d4e52171e03c36668ee94174b,1,144a94e84cd4a03cd64092eddd91a90f3dc31b8c455f83baf6f8b1e6930136e1
21,1300000,1,c6_timing_offset,reference,1,0,4,7,1,1,1,4,4,1,1,1,6,1,4,1,0,0,0,1,8,3,3,25376fe6751c8f6409f78212e0255c57bd25e2ce4e1df543a26f8e4c216d0c4c,c6f96e07b9c8a41a00d3ff52a7ecfb90fe81867fdc227679783babb61921e29c,1,7c8efcc30c152a2a00b4c9c6eb90e44e13b51ff843efb3617b9e881ac32f3893
21,1300000,1,c6_timing_offset,production,1,0,4,7,1,1,1,4,4,1,1,1,6,1,4,1,0,0,0,1,8,3,3,25376fe6751c8f6409f78212e0255c57bd25e2ce4e1df543a26f8e4c216d0c4c,c6f96e07b9c8a41a00d3ff52a7ecfb90fe81867fdc227679783babb61921e29c,1,7c8efcc30c152a2a00b4c9c6eb90e44e13b51ff843efb3617b9e881ac32f3893
22,1300000,1,c7_contact_fanout,reference,1,1,4,7,1,1,1,4,7,1,1,1,6,1,4,2,0,0,0,1,9,1,1,3a1dc66bd4c01016a06e21795d247750785c7d497cd8ea2b8e51e1ce63758387,7b9c5cb5148b3f1b2c03e5851e9e663c2242a3295fea14b41877f9469326eb13,1,5163f3d7932aac6f1130b1b56014eefebbb139f7f0c9a63432d4ed32cd196e48
22,1300000,1,c7_contact_fanout,production,1,1,4,7,1,1,1,4,7,1,1,1,6,1,4,2,0,0,0,1,9,1,1,3a1dc66bd4c01016a06e21795d247750785c7d497cd8ea2b8e51e1ce63758387,7b9c5cb5148b3f1b2c03e5851e9e663c2242a3295fea14b41877f9469326eb13,1,5163f3d7932aac6f1130b1b56014eefebbb139f7f0c9a63432d4ed32cd196e48
23,1300000,2,old_source_local,reference,1,1,4,7,1,1,1,4,7,1,1,1,4,1,2,2,0,0,0,1,7,2,2,5f8d36265847d8f9879cda922f6b55731e2f644f104f1f9af96760b6287dd956,c6d1333a6aedaf4f5c23a03d0b8146a3c5f89bf7184c82ae0ab9b838f80cb1a3,1,184cce794795cc369f2b734689c46ff99be00b2f90a399054e573934832f61a9
23,1300000,2,old_source_local,production,1,1,4,7,1,1,1,4,7,1,1,1,4,1,2,2,0,0,0,1,7,2,2,5f8d36265847d8f9879cda922f6b55731e2f644f104f1f9af96760b6287dd956,c6d1333a6aedaf4f5c23a03d0b8146a3c5f89bf7184c82ae0ab9b838f80cb1a3,1,184cce794795cc369f2b734689c46ff99be00b2f90a399054e573934832f61a9
24,1300000,2,c0_contact_a,reference,1,0,4,7,1,1,1,4,4,1,1,1,6,1,4,1,0,0,0,1,8,2,2,091c4d6e6677847cc558dda82f60a3b1941519d6cbd9803ec22cb376c999e4ec,19b2c87d31b3bb6cdee7a6cfb42d847c516f61616a51c201dd19de6df028dc2d,1,b6bae646e50ce3526cb89078e82e78f9b6a6c5025aa8f6e93846b93e4947171b
24,1300000,2,c0_contact_a,production,1,0,4,7,1,1,1,4,4,1,1,1,6,1,4,1,0,0,0,1,8,2,2,091c4d6e6677847cc558dda82f60a3b1941519d6cbd9803ec22cb376c999e4ec,19b2c87d31b3bb6cdee7a6cfb42d847c516f61616a51c201dd19de6df028dc2d,1,b6bae646e50ce3526cb89078e82e78f9b6a6c5025aa8f6e93846b93e4947171b
25,1300000,2,c1_contact_b,reference,0,1,4,4,1,1,1,4,7,1,1,1,6,1,4,1,0,0,0,1,8,2,2,d507caf84a9d0dbec000ae8aed8263ad9cadd4af06f112b69574c103067c62d4,108a955c815b48efa20d063396a2b9b354a1de4f7802847ecc9456ec893d327c,1,c637ebc935462ed0c3637d11f7a9339b861e5f8057a8c4b6dddaba39e95af4b5
25,1300000,2,c1_contact_b,production,0,1,4,4,1,1,1,4,7,1,1,1,6,1,4,1,0,0,0,1,8,2,2,d507caf84a9d0dbec000ae8aed8263ad9cadd4af06f112b69574c103067c62d4,108a955c815b48efa20d063396a2b9b354a1de4f7802847ecc9456ec893d327c,1,c637ebc935462ed0c3637d11f7a9339b861e5f8057a8c4b6dddaba39e95af4b5
26,1300000,2,c2_a_not_traversed,reference,0,0,4,4,1,1,1,4,4,1,1,1,3,1,2,0,0,0,0,0,4,2,2,1fd972fa683f01706da3803c407adbac73dc1b77a1b684c5517efe33b0d6613f,bf1c6d057bd4d92d9ef76ef8c44c4fe0193332305255ae78108f5c77abf1e51c,1,c2e14b05ed5cb98ceb45d44a17811eceac28cf909398064a5c41ec2581dadda9
26,1300000,2,c2_a_not_traversed,production,0,0,4,4,1,1,1,4,4,1,1,1,3,1,2,0,0,0,0,0,4,2,2,1fd972fa683f01706da3803c407adbac73dc1b77a1b684c5517efe33b0d6613f,bf1c6d057bd4d92d9ef76ef8c44c4fe0193332305255ae78108f5c77abf1e51c,1,c2e14b05ed5cb98ceb45d44a17811eceac28cf909398064a5c41ec2581dadda9
27,1300000,2,c3_drive_at_ca,reference,0,0,4,4,1,1,1,4,4,1,1,1,7,0,4,0,0,0,0,2,7,3,3,660f91e3c8695584822cf32f4c32f09d42e68281a64f8f0e62391dd0e254d581,2dd327c5a5b82d5dfc1eeab45b6cf6c74d1e910b8aead18126e8da2fb85bb216,1,122ccf66f1c6276251cf10027b18913139ccda3df54fc258056e44bdfc411d75
27,1300000,2,c3_drive_at_ca,production,0,0,4,4,1,1,1,4,4,1,1,1,7,0,4,0,0,0,0,2,7,3,3,660f91e3c8695584822cf32f4c32f09d42e68281a64f8f0e62391dd0e254d581,2dd327c5a5b82d5dfc1eeab45b6cf6c74d1e910b8aead18126e8da2fb85bb216,1,122ccf66f1c6276251cf10027b18913139ccda3df54fc258056e44bdfc411d75
28,1300000,2,c4_late_modulation,reference,1,0,4,7,1,1,1,4,4,1,1,1,6,1,4,1,0,0,0,1,8,7,7,153566ca69e3eea5143a672d432df97d36e13f7d5e60706eb6c4bfdd77334537,19b2c87d31b3bb6cdee7a6cfb42d847c516f61616a51c201dd19de6df028dc2d,1,34905c470018c72c10d29b0b85b791ee56e2b48b2ea39b837d7ffcafef0ffe0b
28,1300000,2,c4_late_modulation,production,1,0,4,7,1,1,1,4,4,1,1,1,6,1,4,1,0,0,0,1,8,7,7,153566ca69e3eea5143a672d432df97d36e13f7d5e60706eb6c4bfdd77334537,19b2c87d31b3bb6cdee7a6cfb42d847c516f61616a51c201dd19de6df028dc2d,1,34905c470018c72c10d29b0b85b791ee56e2b48b2ea39b837d7ffcafef0ffe0b
29,1300000,2,c5_dense_distractors,reference,1,0,4,7,1,1,1,4,4,1,1,1,71,1,37,1,0,0,0,2,73,3,3,d702adc1dceca0a1f2af9df19ba8a5ed757e572a593547951cb777d775b46a8e,e3f1982ed7aacfbcb1bf15a9ae7ea5b470bb169c99186bb3d87173fff728b8c7,1,93447b7b77f5a10ffd53a39cd2841257c1511735b7fb1074d78571c3051cb80f
29,1300000,2,c5_dense_distractors,production,1,0,4,7,1,1,1,4,4,1,1,1,71,1,37,1,0,0,0,2,73,3,3,d702adc1dceca0a1f2af9df19ba8a5ed757e572a593547951cb777d775b46a8e,e3f1982ed7aacfbcb1bf15a9ae7ea5b470bb169c99186bb3d87173fff728b8c7,1,93447b7b77f5a10ffd53a39cd2841257c1511735b7fb1074d78571c3051cb80f
30,1300000,2,c6_swapped_identity,reference,1,0,4,7,1,1,1,4,4,1,1,1,6,1,4,1,0,0,0,1,8,2,2,091c4d6e6677847cc558dda82f60a3b1941519d6cbd9803ec22cb376c999e4ec,1d95a50bf6607c40a5056896c6a09df8992f102a9384556714ac03c2de6aa58e,1,b6bae646e50ce3526cb89078e82e78f9b6a6c5025aa8f6e93846b93e4947171b
30,1300000,2,c6_swapped_identity,production,1,0,4,7,1,1,1,4,4,1,1,1,6,1,4,1,0,0,0,1,8,2,2,091c4d6e6677847cc558dda82f60a3b1941519d6cbd9803ec22cb376c999e4ec,1d95a50bf6607c40a5056896c6a09df8992f102a9384556714ac03c2de6aa58e,1,b6bae646e50ce3526cb89078e82e78f9b6a6c5025aa8f6e93846b93e4947171b
31,1300000,2,c6_reverse_order,reference,1,0,4,7,1,1,1,4,4,1,1,1,6,1,4,1,0,0,0,1,8,2,2,778198fe00d06d0e6198530993fa366251e9a0b1f6e2e225eb993a12c5a2b8ab,769cc22368356229ec599a9ff73c60c4c7ee771d4e52171e03c36668ee94174b,1,c637ebc935462ed0c3637d11f7a9339b861e5f8057a8c4b6dddaba39e95af4b5
31,1300000,2,c6_reverse_order,production,1,0,4,7,1,1,1,4,4,1,1,1,6,1,4,1,0,0,0,1,8,2,2,778198fe00d06d0e6198530993fa366251e9a0b1f6e2e225eb993a12c5a2b8ab,769cc22368356229ec599a9ff73c60c4c7ee771d4e52171e03c36668ee94174b,1,c637ebc935462ed0c3637d11f7a9339b861e5f8057a8c4b6dddaba39e95af4b5
32,1300000,2,c6_timing_offset,reference,1,0,4,7,1,1,1,4,4,1,1,1,6,1,4,1,0,0,0,1,8,4,4,2f0668ce37866d83ddf0dd26c03ca648fa6e98608b77c2b743a53a2c9e51695d,c6f96e07b9c8a41a00d3ff52a7ecfb90fe81867fdc227679783babb61921e29c,1,fc871d75277dde43d4b637eee8b1428f5f1946f9357f765c8486b7c4c80da7b8
32,1300000,2,c6_timing_offset,production,1,0,4,7,1,1,1,4,4,1,1,1,6,1,4,1,0,0,0,1,8,4,4,2f0668ce37866d83ddf0dd26c03ca648fa6e98608b77c2b743a53a2c9e51695d,c6f96e07b9c8a41a00d3ff52a7ecfb90fe81867fdc227679783babb61921e29c,1,fc871d75277dde43d4b637eee8b1428f5f1946f9357f765c8486b7c4c80da7b8
33,1300000,2,c7_contact_fanout,reference,1,1,4,7,1,1,1,4,7,1,1,1,6,1,4,2,0,0,0,1,9,2,2,a6d862abdbfd6030889904c9ca5740d594ef5653b5c557d6c22241bbf9c661de,7b9c5cb5148b3f1b2c03e5851e9e663c2242a3295fea14b41877f9469326eb13,1,263a86a9ff0ed3639827116576459fc854e4c87bb9631f0e02555c21d1941a8d
33,1300000,2,c7_contact_fanout,production,1,1,4,7,1,1,1,4,7,1,1,1,6,1,4,2,0,0,0,1,9,2,2,a6d862abdbfd6030889904c9ca5740d594ef5653b5c557d6c22241bbf9c661de,7b9c5cb5148b3f1b2c03e5851e9e663c2242a3295fea14b41877f9469326eb13,1,263a86a9ff0ed3639827116576459fc854e4c87bb9631f0e02555c21d1941a8d
34,1300000,3,old_source_local,reference,1,1,4,7,1,1,1,4,7,1,1,1,4,1,2,2,0,0,0,1,7,3,3,71e05a84cc40696660f0468213e663cbd94f81adf5f5e4757bc8a57bb8a348e4,c6d1333a6aedaf4f5c23a03d0b8146a3c5f89bf7184c82ae0ab9b838f80cb1a3,1,36a3c6e3f7ec2cca9b69f7851b12999a13397bb94940704319ae002b486ea64b
