case_id,root,phase,family,mechanics,participation,support,pressure_load,resistance,live,effective_pressure,physical_work,drive,modulation,updates,deallocations,tick,body_hash,quiescent,predicate_pass
15,3200000,4,graded_pressure,production,0|2402709960|3110400000|4026531840,0|0|0|0,0|1892257336|1184567296|268435456,9|10|10|10,true|true|true|true,4294967296|1892257336|1184567296|268435456,6,6,0,0,0,10,637834e7aec5390725ec86b79582ec43a62c35ee517e5072a0cac004c8688e48,1,1
16,3200000,5,graded_pressure,reference,0|2402709960|3110400000|4026531840,0|0|0|0,0|1892257336|1184567296|268435456,9|10|10|10,true|true|true|true,4294967296|1892257336|1184567296|268435456,6,6,0,0,0,10,637834e7aec5390725ec86b79582ec43a62c35ee517e5072a0cac004c8688e48,1,1
16,3200000,5,graded_pressure,production,0|2402709960|3110400000|4026531840,0|0|0|0,0|1892257336|1184567296|268435456,9|10|10|10,true|true|true|true,4294967296|1892257336|1184567296|268435456,6,6,0,0,0,10,637834e7aec5390725ec86b79582ec43a62c35ee517e5072a0cac004c8688e48,1,1
17,3200000,6,graded_pressure,reference,0|2402709960|3110400000|4026531840,0|0|0|0,0|1892257336|1184567296|268435456,9|10|10|10,true|true|true|true,4294967296|1892257336|1184567296|268435456,6,6,0,0,0,10,637834e7aec5390725ec86b79582ec43a62c35ee517e5072a0cac004c8688e48,1,1
17,3200000,6,graded_pressure,production,0|2402709960|3110400000|4026531840,0|0|0|0,0|1892257336|1184567296|268435456,9|10|10|10,true|true|true|true,4294967296|1892257336|1184567296|268435456,6,6,0,0,0,10,637834e7aec5390725ec86b79582ec43a62c35ee517e5072a0cac004c8688e48,1,1
18,3200000,7,graded_pressure,reference,0|2402709960|3110400000|4026531840,0|0|0|0,0|1892257336|1184567296|268435456,9|10|10|10,true|true|true|true,4294967296|1892257336|1184567296|268435456,6,6,0,0,0,10,637834e7aec5390725ec86b79582ec43a62c35ee517e5072a0cac004c8688e48,1,1
18,3200000,7,graded_pressure,production,0|2402709960|3110400000|4026531840,0|0|0|0,0|1892257336|1184567296|268435456,9|10|10|10,true|true|true|true,4294967296|1892257336|1184567296|268435456,6,6,0,0,0,10,637834e7aec5390725ec86b79582ec43a62c35ee517e5072a0cac004c8688e48,1,1
19,3200000,8,graded_pressure,reference,0|2402709960|3110400000|4026531840,0|0|0|0,0|1892257336|1184567296|268435456,9|10|10|10,true|true|true|true,4294967296|1892257336|1184567296|268435456,6,6,0,0,0,10,637834e7aec5390725ec86b79582ec43a62c35ee517e5072a0cac004c8688e48,1,1
19,3200000,8,graded_pressure,production,0|2402709960|3110400000|4026531840,0|0|0|0,0|1892257336|1184567296|268435456,9|10|10|10,true|true|true|true,4294967296|1892257336|1184567296|268435456,6,6,0,0,0,10,637834e7aec5390725ec86b79582ec43a62c35ee517e5072a0cac004c8688e48,1,1
20,3200000,9,graded_pressure,reference,0|2402709960|3110400000|4026531840,0|0|0|0,0|1892257336|1184567296|268435456,9|10|10|10,true|true|true|true,4294967296|1892257336|1184567296|268435456,6,6,0,0,0,10,637834e7aec5390725ec86b79582ec43a62c35ee517e5072a0cac004c8688e48,1,1
20,3200000,9,graded_pressure,production,0|2402709960|3110400000|4026531840,0|0|0|0,0|1892257336|1184567296|268435456,9|10|10|10,true|true|true|true,4294967296|1892257336|1184567296|268435456,6,6,0,0,0,10,637834e7aec5390725ec86b79582ec43a62c35ee517e5072a0cac004c8688e48,1,1
21,3100000,0,pressure_before_modulation,reference,4026531840,4026531840,268435456,4,true,268435456,6,4,1,1,0,10,3c5fd5e77ac7e72ed36652e584b046bb66a0738aa4137ecf7f522d239327cbcf,1,1
21,3100000,0,pressure_before_modulation,production,4026531840,4026531840,268435456,4,true,268435456,6,4,1,1,0,10,3c5fd5e77ac7e72ed36652e584b046bb66a0738aa4137ecf7f522d239327cbcf,1,1
22,3100000,1,pressure_before_modulation,reference,4026531840,4026531840,268435456,4,true,268435456,6,4,1,1,0,10,3c5fd5e77ac7e72ed36652e584b046bb66a0738aa4137ecf7f522d239327cbcf,1,1
22,3100000,1,pressure_before_modulation,production,4026531840,4026531840,268435456,4,true,268435456,6,4,1,1,0,10,3c5fd5e77ac7e72ed36652e584b046bb66a0738aa4137ecf7f522d239327cbcf,1,1
23,3100000,2,pressure_before_modulation,reference,4026531840,4026531840,268435456,4,true,268435456,6,4,1,1,0,10,3c5fd5e77ac7e72ed36652e584b046bb66a0738aa4137ecf7f522d239327cbcf,1,1
23,3100000,2,pressure_before_modulation,production,4026531840,4026531840,268435456,4,true,268435456,6,4,1,1,0,10,3c5fd5e77ac7e72ed36652e584b046bb66a0738aa4137ecf7f522d239327cbcf,1,1
24,3100000,3,pressure_before_modulation,reference,4026531840,4026531840,268435456,4,true,268435456,6,4,1,1,0,10,3c5fd5e77ac7e72ed36652e584b046bb66a0738aa4137ecf7f522d239327cbcf,1,1
24,3100000,3,pressure_before_modulation,production,4026531840,4026531840,268435456,4,true,268435456,6,4,1,1,0,10,3c5fd5e77ac7e72ed36652e584b046bb66a0738aa4137ecf7f522d239327cbcf,1,1
25,3100000,4,pressure_before_modulation,reference,4026531840,4026531840,268435456,4,true,268435456,6,4,1,1,0,10,3c5fd5e77ac7e72ed36652e584b046bb66a0738aa4137ecf7f522d239327cbcf,1,1
25,3100000,4,pressure_before_modulation,production,4026531840,4026531840,268435456,4,true,268435456,6,4,1,1,0,10,3c5fd5e77ac7e72ed36652e584b046bb66a0738aa4137ecf7f522d239327cbcf,1,1
26,3100000,5,pressure_before_modulation,reference,4026531840,4026531840,268435456,4,true,268435456,6,4,1,1,0,10,3c5fd5e77ac7e72ed36652e584b046bb66a0738aa4137ecf7f522d239327cbcf,1,1
26,3100000,5,pressure_before_modulation,production,4026531840,4026531840,268435456,4,true,268435456,6,4,1,1,0,10,3c5fd5e77ac7e72ed36652e584b046bb66a0738aa4137ecf7f522d239327cbcf,1,1
27,3100000,6,pressure_before_modulation,reference,4026531840,4026531840,268435456,4,true,268435456,6,4,1,1,0,10,3c5fd5e77ac7e72ed36652e584b046bb66a0738aa4137ecf7f522d239327cbcf,1,1
27,3100000,6,pressure_before_modulation,production,4026531840,4026531840,268435456,4,true,268435456,6,4,1,1,0,10,3c5fd5e77ac7e72ed36652e584b046bb66a0738aa4137ecf7f522d239327cbcf,1,1
28,3100000,7,pressure_before_modulation,reference,4026531840,4026531840,268435456,4,true,268435456,6,4,1,1,0,10,3c5fd5e77ac7e72ed36652e584b046bb66a0738aa4137ecf7f522d239327cbcf,1,1
28,3100000,7,pressure_before_modulation,production,4026531840,4026531840,268435456,4,true,268435456,6,4,1,1,0,10,3c5fd5e77ac7e72ed36652e584b046bb66a0738aa4137ecf7f522d239327cbcf,1,1
29,3100000,8,pressure_before_modulation,reference,4026531840,4026531840,268435456,4,true,268435456,6,4,1,1,0,10,3c5fd5e77ac7e72ed36652e584b046bb66a0738aa4137ecf7f522d239327cbcf,1,1
29,3100000,8,pressure_before_modulation,production,4026531840,4026531840,268435456,4,true,268435456,6,4,1,1,0,10,3c5fd5e77ac7e72ed36652e584b046bb66a0738aa4137ecf7f522d239327cbcf,1,1
30,3100000,9,pressure_before_modulation,reference,4026531840,4026531840,268435456,4,true,268435456,6,4,1,1,0,10,3c5fd5e77ac7e72ed36652e584b046bb66a0738aa4137ecf7f522d239327cbcf,1,1
30,3100000,9,pressure_before_modulation,production,4026531840,4026531840,268435456,4,true,268435456,6,4,1,1,0,10,3c5fd5e77ac7e72ed36652e584b046bb66a0738aa4137ecf7f522d239327cbcf,1,1
31,3200000,0,pressure_before_modulation,reference,4026531840,4026531840,268435456,4,true,268435456,6,4,1,1,0,10,597e064b67d4ec454000fa5123b96aa2adee31abb75afb7fa0ec608958fb9248,1,1
31,3200000,0,pressure_before_modulation,production,4026531840,4026531840,268435456,4,true,268435456,6,4,1,1,0,10,597e064b67d4ec454000fa5123b96aa2adee31abb75afb7fa0ec608958fb9248,1,1
32,3200000,1,pressure_before_modulation,reference,4026531840,4026531840,268435456,4,true,268435456,6,4,1,1,0,10,597e064b67d4ec454000fa5123b96aa2adee31abb75afb7fa0ec608958fb9248,1,1
32,3200000,1,pressure_before_modulation,production,4026531840,4026531840,268435456,4,true,268435456,6,4,1,1,0,10,597e064b67d4ec454000fa5123b96aa2adee31abb75afb7fa0ec608958fb9248,1,1
33,3200000,2,pressure_before_modulation,reference,4026531840,4026531840,268435456,4,true,268435456,6,4,1,1,0,10,597e064b67d4ec454000fa5123b96aa2adee31abb75afb7fa0ec608958fb9248,1,1
33,3200000,2,pressure_before_modulation,production,4026531840,4026531840,268435456,4,true,268435456,6,4,1,1,0,10,597e064b67d4ec454000fa5123b96aa2adee31abb75afb7fa0ec608958fb9248,1,1
