case_id,root,initial_phase,delay,mechanics,a_participation,b_participation,a_support,b_support,physical_work,final_tick,pressure_phase,trace_hash,body_hash,a_live,b_live,quiescent
18,1500000,0,17,reference,1433743821,1433743821,1433743821,0,8,17,7,f1c25a165617aebc53bed3491ca5977b7f1c339c7618e7f7cd6f14b280be5e75,b4bf1a9e312b2ec855eca58b0a6037f00660f3a945d060ee2cbbf515d98cee7a,1,1,1
18,1500000,0,17,production,1433743821,1433743821,1433743821,0,8,17,7,f1c25a165617aebc53bed3491ca5977b7f1c339c7618e7f7cd6f14b280be5e75,b4bf1a9e312b2ec855eca58b0a6037f00660f3a945d060ee2cbbf515d98cee7a,1,1,1
19,1500000,0,18,reference,1344134832,1344134832,1344134832,0,8,18,8,169c7b797b482e04cf1852c0d24c7a78c4a5ceb927d4827a4b7b0462fcfc11ee,eb5961176aec5836795636f82ae001f485c962c5c544794c133b1ed48bca9e47,1,1,1
19,1500000,0,18,production,1344134832,1344134832,1344134832,0,8,18,8,169c7b797b482e04cf1852c0d24c7a78c4a5ceb927d4827a4b7b0462fcfc11ee,eb5961176aec5836795636f82ae001f485c962c5c544794c133b1ed48bca9e47,1,1,1
20,1500000,0,19,reference,1260126405,1260126405,1260126405,0,8,19,9,0f92bea550ac320d4f682463d7585b273ba2610eee48834c8f3ede8e65c8831a,eb5961176aec5836795636f82ae001f485c962c5c544794c133b1ed48bca9e47,1,1,1
20,1500000,0,19,production,1260126405,1260126405,1260126405,0,8,19,9,0f92bea550ac320d4f682463d7585b273ba2610eee48834c8f3ede8e65c8831a,eb5961176aec5836795636f82ae001f485c962c5c544794c133b1ed48bca9e47,1,1,1
21,1500000,0,20,reference,1181368504,1181368504,1181368504,0,8,20,0,72feea31fda83fa3dc31fab57c7ede50788b069dfdef654c19849bdfdfa4d617,c33bcf6244dc488c5163740b8dd6898a583db06b3a96282c689dc9f0d47b8fa9,1,1,1
21,1500000,0,20,production,1181368504,1181368504,1181368504,0,8,20,0,72feea31fda83fa3dc31fab57c7ede50788b069dfdef654c19849bdfdfa4d617,c33bcf6244dc488c5163740b8dd6898a583db06b3a96282c689dc9f0d47b8fa9,1,1,1
22,1500000,0,1024,reference,0,0,0,0,7,1024,4,aa786964a560b18f788b6146a7c42169b00caec07bdef664afdc649b7b71b618,31a96f508c6a6f23ce4a752b2048c4d0b1169eb3a377068f408b7fa5efba4ad5,1,1,1
22,1500000,0,1024,production,0,0,0,0,7,1024,4,aa786964a560b18f788b6146a7c42169b00caec07bdef664afdc649b7b71b618,31a96f508c6a6f23ce4a752b2048c4d0b1169eb3a377068f408b7fa5efba4ad5,1,1,1
23,1500000,1,0,reference,4294967296,4294967296,4294967296,0,8,1,1,784ff3ecb9384fe2956e83c3872a50fee0967e431fa4ed314142cc3995bfb438,17da02361d1d26ef9e3d12651d18bbb045d576198eb39e39bf20d3a6cb5aaea4,1,1,1
23,1500000,1,0,production,4294967296,4294967296,4294967296,0,8,1,1,784ff3ecb9384fe2956e83c3872a50fee0967e431fa4ed314142cc3995bfb438,17da02361d1d26ef9e3d12651d18bbb045d576198eb39e39bf20d3a6cb5aaea4,1,1,1
24,1500000,1,1,reference,4026531840,4026531840,4026531840,0,8,2,2,12b7636214d580246374c00a9e0c076a8cd7454af13208bde168a863ed10d356,17da02361d1d26ef9e3d12651d18bbb045d576198eb39e39bf20d3a6cb5aaea4,1,1,1
24,1500000,1,1,production,4026531840,4026531840,4026531840,0,8,2,2,12b7636214d580246374c00a9e0c076a8cd7454af13208bde168a863ed10d356,17da02361d1d26ef9e3d12651d18bbb045d576198eb39e39bf20d3a6cb5aaea4,1,1,1
25,1500000,1,2,reference,3774873600,3774873600,3774873600,0,8,3,3,1faceade9c27205935d737d2e9f86c652a760334c694fb3e8a6e471eada416aa,17da02361d1d26ef9e3d12651d18bbb045d576198eb39e39bf20d3a6cb5aaea4,1,1,1
25,1500000,1,2,production,3774873600,3774873600,3774873600,0,8,3,3,1faceade9c27205935d737d2e9f86c652a760334c694fb3e8a6e471eada416aa,17da02361d1d26ef9e3d12651d18bbb045d576198eb39e39bf20d3a6cb5aaea4,1,1,1
26,1500000,1,3,reference,3538944000,3538944000,3538944000,0,8,4,4,a8a7546bff50a3c3be51b1fd8b3e500e5e1c17436820b980e5c59780c21fa401,17da02361d1d26ef9e3d12651d18bbb045d576198eb39e39bf20d3a6cb5aaea4,1,1,1
26,1500000,1,3,production,3538944000,3538944000,3538944000,0,8,4,4,a8a7546bff50a3c3be51b1fd8b3e500e5e1c17436820b980e5c59780c21fa401,17da02361d1d26ef9e3d12651d18bbb045d576198eb39e39bf20d3a6cb5aaea4,1,1,1
27,1500000,1,4,reference,3317760000,3317760000,3317760000,0,8,5,5,b195fd7a54adec16d46ccd772011c5bc00eaf77e7daeb9756b6abf453a497848,17da02361d1d26ef9e3d12651d18bbb045d576198eb39e39bf20d3a6cb5aaea4,1,1,1
27,1500000,1,4,production,3317760000,3317760000,3317760000,0,8,5,5,b195fd7a54adec16d46ccd772011c5bc00eaf77e7daeb9756b6abf453a497848,17da02361d1d26ef9e3d12651d18bbb045d576198eb39e39bf20d3a6cb5aaea4,1,1,1
28,1500000,1,5,reference,3110400000,3110400000,3110400000,0,8,6,6,02433d96a92b303c0ffde21d2f6ba5aa41c8ed10c45f298aa1f7202fa7101d92,17da02361d1d26ef9e3d12651d18bbb045d576198eb39e39bf20d3a6cb5aaea4,1,1,1
