case_id,root,creation_phase,family,mechanics,points,trace_hash,physical_work,drive,modulation,updates,proposals,deallocations,qlp,final_tick,body_hash,quiescent,equivalent_future,replay_equal,mechanics_equal,predicate_pass
13,4700000,1,late_consequence_no_resurrection,reference,initial@0/1:1/1/0/0/0/1;dead_before_return@10/11:0/0/0/0/0/0;after_late_return@11/12:0/0/0/0/0/0,e094b4ddb688775b6783a9bd9784e2364bf21f781a2e2e6cbcd437bd82d8f33f,5,3,1,0,0,1,0,12,0f21dfd9090e2a0afe7312b56cff5e3b2fd1f9dbc5c69d5d015924fae1d27138,1,1,1,1,1
13,4700000,1,late_consequence_no_resurrection,production,initial@0/1:1/1/0/0/0/1;dead_before_return@10/11:0/0/0/0/0/0;after_late_return@11/12:0/0/0/0/0/0,e094b4ddb688775b6783a9bd9784e2364bf21f781a2e2e6cbcd437bd82d8f33f,5,3,1,0,0,1,0,12,0f21dfd9090e2a0afe7312b56cff5e3b2fd1f9dbc5c69d5d015924fae1d27138,1,1,1,1,1
14,4700000,1,repeated_supported_consequence,reference,initial@0/1:1/1/0/0/0/1;after_first@5/6:1/4/0/4294967296/4294967296/1;after_second@6/7:1/7/0/8321499136/12616466432/1;last_live@75/76:1/1/9/96876761/12616466432/1;death@76/77:0/0/0/0/0/0,e9467b9f42e250c0a188239b0ae9b0708c7c2a7e889062ec19a30dea96b56a07,11,6,2,2,0,1,0,77,82c58c7a364e470678826a53a5147c47621e44c14a6435674e365078c224f8da,1,1,1,1,1
14,4700000,1,repeated_supported_consequence,production,initial@0/1:1/1/0/0/0/1;after_first@5/6:1/4/0/4294967296/4294967296/1;after_second@6/7:1/7/0/8321499136/12616466432/1;last_live@75/76:1/1/9/96876761/12616466432/1;death@76/77:0/0/0/0/0/0,e9467b9f42e250c0a188239b0ae9b0708c7c2a7e889062ec19a30dea96b56a07,11,6,2,2,0,1,0,77,82c58c7a364e470678826a53a5147c47621e44c14a6435674e365078c224f8da,1,1,1,1,1
15,4700000,2,unused_proposal,reference,initial@0/2:1/1/0/0/0/1;age_9@9/11:1/1/9/0/0/1;death@10/12:0/0/0/0/0/0,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,1,0,0,0,0,1,0,12,9f4d43bad92103a1a10c7950ad6eb808a2bcff245cce49ff0d2092f10a50818e,1,1,1,1,1
15,4700000,2,unused_proposal,production,initial@0/2:1/1/0/0/0/1;age_9@9/11:1/1/9/0/0/1;death@10/12:0/0/0/0/0/0,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,1,0,0,0,0,1,0,12,9f4d43bad92103a1a10c7950ad6eb808a2bcff245cce49ff0d2092f10a50818e,1,1,1,1,1
16,4700000,2,repeated_use_no_consequence,reference,initial@0/2:1/1/0/0/0/1;age_9@9/11:1/1/9/12571524225/0/1;death@10/12:0/0/0/0/0/0,a09823d163171ee331922ea8fd5e89c49e5027aa3d05707e3793370551755943,9,8,0,0,0,1,0,12,9f4d43bad92103a1a10c7950ad6eb808a2bcff245cce49ff0d2092f10a50818e,1,1,1,1,1
16,4700000,2,repeated_use_no_consequence,production,initial@0/2:1/1/0/0/0/1;age_9@9/11:1/1/9/12571524225/0/1;death@10/12:0/0/0/0/0/0,a09823d163171ee331922ea8fd5e89c49e5027aa3d05707e3793370551755943,9,8,0,0,0,1,0,12,9f4d43bad92103a1a10c7950ad6eb808a2bcff245cce49ff0d2092f10a50818e,1,1,1,1,1
17,4700000,2,one_qualified_consequence,reference,initial@0/2:1/1/0/0/0/1;before_consequence@5/7:1/1/5/4294967296/0/1;after_consequence@5/7:1/4/0/4294967296/4294967296/1;last_live@44/46:1/1/9/346608838/4294967296/1;death@45/47:0/0/0/0/0/0,7c4535e73754ee1cd0772d3d453f9b2a28f790451599abd3072e5f44b3019612,6,3,1,1,0,1,0,47,c84cec06cbfaf635fc7147c2055c83fb6494ecce7bf9fdfa4f192dcd2a605443,1,1,1,1,1
17,4700000,2,one_qualified_consequence,production,initial@0/2:1/1/0/0/0/1;before_consequence@5/7:1/1/5/4294967296/0/1;after_consequence@5/7:1/4/0/4294967296/4294967296/1;last_live@44/46:1/1/9/346608838/4294967296/1;death@45/47:0/0/0/0/0/0,7c4535e73754ee1cd0772d3d453f9b2a28f790451599abd3072e5f44b3019612,6,3,1,1,0,1,0,47,c84cec06cbfaf635fc7147c2055c83fb6494ecce7bf9fdfa4f192dcd2a605443,1,1,1,1,1
