case_id,root,absolute_phase,family,mechanics,class,period_firings,period_ticks,first_firings,continuation_firings,excitatory_fire_counts,inhibitor_firings,excitatory_traversals,relay_traversals,negative_traversals,scheduled_deliveries,continuation_deliveries,physical_work,final_tick,states,naturally_quiescent,ceiling_reached,continuation_ceiling_reached,unbounded_match,trace_hash,continuation_trace_hash,body_hash,live_hash,replay_equal,mechanics_equal,predicate_pass,case_pass
113,5900000,5,chain_8_delay_1_h16,production,dies,0,0,8,0,1|1|1|1|1|1|1|1,8,7,8,8,24,0,24,12,1/1000000/2;1/1000000/2;1/1000000/2;1/1000000/2;1/1000000/2;1/1000000/2;1/1000000/2;1/1000000/1;1/1000000/-16;1/1000000/1;1/1000000/-16;1/1000000/1;1/1000000/-16;1/1000000/1;1/1000000/-16;1/1000000/1;1/1000000/-16;1/1000000/1;1/1000000/-16;1/1000000/1;1/1000000/-16;1/1000000/1;1/1000000/-16,true,false,false,true,629266b6bbea7b7419a71fa9a9d0628d35d4b7d7ca0a1fe99d92cd9ed5762ef4,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,50b9ac2bea37acb992cc8ddedd0a2cb2dbd6b6a29853d30e62b63de64f3c86ea,a9609fab21b68347cc32eb183746fe197b7a1720b11645719d970f6ffde72698,true,true,true,true
114,5900000,5,chain_8_delay_0_h16,reference,dies,0,0,8,0,1|1|1|1|1|1|1|1,8,7,8,8,24,0,24,5,1/1000000/2;1/1000000/2;1/1000000/2;1/1000000/2;1/1000000/2;1/1000000/2;1/1000000/2;1/1000000/1;1/1000000/-16;1/1000000/1;1/1000000/-16;1/1000000/1;1/1000000/-16;1/1000000/1;1/1000000/-16;1/1000000/1;1/1000000/-16;1/1000000/1;1/1000000/-16;1/1000000/1;1/1000000/-16;1/1000000/1;1/1000000/-16,true,false,false,true,20e79e5b333ccf5b995fd8dc80d96b49d68dd8ccf2788e363f9eac3d21fbc838,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,a9e74bfa6357a66f3dd5f906a9ccf133775aab0121b32bb3f160ab55e0ff9837,e8130a77314d752fc9c53a8930048d94114087f8c9036b44e4a87a0b1c139dbd,true,true,true,true
114,5900000,5,chain_8_delay_0_h16,production,dies,0,0,8,0,1|1|1|1|1|1|1|1,8,7,8,8,24,0,24,5,1/1000000/2;1/1000000/2;1/1000000/2;1/1000000/2;1/1000000/2;1/1000000/2;1/1000000/2;1/1000000/1;1/1000000/-16;1/1000000/1;1/1000000/-16;1/1000000/1;1/1000000/-16;1/1000000/1;1/1000000/-16;1/1000000/1;1/1000000/-16;1/1000000/1;1/1000000/-16;1/1000000/1;1/1000000/-16;1/1000000/1;1/1000000/-16,true,false,false,true,20e79e5b333ccf5b995fd8dc80d96b49d68dd8ccf2788e363f9eac3d21fbc838,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,a9e74bfa6357a66f3dd5f906a9ccf133775aab0121b32bb3f160ab55e0ff9837,e8130a77314d752fc9c53a8930048d94114087f8c9036b44e4a87a0b1c139dbd,true,true,true,true
115,5900000,5,wrong_path_h16,reference,periodic,2,2,86,10,48|48,96,95,96,96,256,32,288,100,1/999991/2;1/999991/2;1/999991/1;1/999991/-16;1/999991/1;1/999991/-16,false,true,true,true,badce51643f49dd6d367d14dfc7ae59e035b1fbcdfbcaa0b262caf101f8032fe,09f0c57b6a75f7a39a1377cce29705579ecea0a9362d8e5d9f2db1940ee9fc42,a43552bdeda222f72262f16f3aae48bd25731b53636478b38a60d542fa998d0d,7bc0f31db34e66f6b55dceb63e211e960d0f630ee5c62881002d308464db0195,true,true,true,true
115,5900000,5,wrong_path_h16,production,periodic,2,2,86,10,48|48,96,95,96,96,256,32,288,100,1/999991/2;1/999991/2;1/999991/1;1/999991/-16;1/999991/1;1/999991/-16,false,true,true,true,badce51643f49dd6d367d14dfc7ae59e035b1fbcdfbcaa0b262caf101f8032fe,09f0c57b6a75f7a39a1377cce29705579ecea0a9362d8e5d9f2db1940ee9fc42,a43552bdeda222f72262f16f3aae48bd25731b53636478b38a60d542fa998d0d,5ece831a1b629668d780e95ff443c0568633e8aa2e7fdcba1ffeee97130b8553,true,true,true,true
116,5900000,5,untraversed_h16,reference,periodic,2,2,128,16,72|72,0,143,144,0,256,32,288,148,1/999986/2;1/999986/2;1/999986/1;1/999986/-16;1/999986/1;1/999986/-16,false,true,true,true,259e5bc73abc76514b7715b984704ad53ca6b945d3b010689055b42e580fd580,bf4f940a0405d1469b13b79eb90c3446d8fb382a2b830ffa5d5c5c92f5d82bda,6a8c58acee932ac60fc9a6a48f36c4f1dcb285719cc9fdbce90f6c7353200697,34f797fa5886c009ccc1d29fe235cfa4edf7b170eade8165e0d630b918e45ce5,true,true,true,true
116,5900000,5,untraversed_h16,production,periodic,2,2,128,16,72|72,0,143,144,0,256,32,288,148,1/999986/2;1/999986/2;1/999986/1;1/999986/-16;1/999986/1;1/999986/-16,false,true,true,true,259e5bc73abc76514b7715b984704ad53ca6b945d3b010689055b42e580fd580,bf4f940a0405d1469b13b79eb90c3446d8fb382a2b830ffa5d5c5c92f5d82bda,6a8c58acee932ac60fc9a6a48f36c4f1dcb285719cc9fdbce90f6c7353200697,d1fa7e3e54dadc63e2e3fab48059a5a5acd17ab0cad21b1beb4e40f6d97355ff,true,true,true,true
117,5900000,5,reciprocal_mixed_delay_h16,reference,dies,0,0,2,0,1|1,2,2,2,2,7,0,7,6,1/1000000/2;1/1000000/2;1/1000000/1;1/1000000/-16;1/1000000/1;1/1000000/-16,true,false,false,true,0437fc0016064c560beb4603e6817a0a898cf64e8a1d35cc16b4edcc910100cd,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,c6a28e99193f43d6a4788339385ac677e6e547bacc2303b051dd341513f7220f,bc05ecd9051e56e5a64a3104742ef729eda760d99aafae0678512dfc67161505,true,true,true,true
117,5900000,5,reciprocal_mixed_delay_h16,production,dies,0,0,2,0,1|1,2,2,2,2,7,0,7,6,1/1000000/2;1/1000000/2;1/1000000/1;1/1000000/-16;1/1000000/1;1/1000000/-16,true,false,false,true,0437fc0016064c560beb4603e6817a0a898cf64e8a1d35cc16b4edcc910100cd,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,c6a28e99193f43d6a4788339385ac677e6e547bacc2303b051dd341513f7220f,e3891e638831d879cc5480666b646d392858076ef89c17fa761e8a85a331546e,true,true,true,true
118,5900000,5,reciprocal_delay_1_h16,reference,dies,0,0,2,0,1|1,2,2,2,2,7,0,7,7,1/1000000/2;1/1000000/2;1/1000000/1;1/1000000/-16;1/1000000/1;1/1000000/-16,true,false,false,true,e49c29bde3ad8502f3ca949a1b54738c92f69bc317a8ce848bd0d68723e5dc14,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,1a3da1d6ecc30d0fada09d0f73f3526722fa9d81a8c65c98255e4380477f7137,29a85af55925e78d9795e01967d01f20f14560b715500916fcba9bf0626df011,true,true,true,true
