case_id,root,phase,family,mechanics,states,measures,drive,modulation,fires,resistance_events,coupling_events,qlp,crossings,proposals,deallocations,physical_work,final_tick,trace_hash,body_hash,live_hash,quiescent,replay_equal,mechanics_equal,predicate_pass,case_pass
13,5500000,1,prompt_consequence,reference,1/100003/2/4294967296/4294967296,4294967296,3,1,2,1,1,0,0,0,0,5,1,bea5f5692a3b7396b642490565c1482ac5cb474fa4b38211a932bfc70b14f015,0e35cd260bb3a0e50547bc50f1e16ff26cfc5de6079cdb429971444a238bfc56,ba9eefc14e04698594b31ea11954c1922eaf0bcd133d9a24250d56d3f53dec82,true,true,true,true,true
13,5500000,1,prompt_consequence,production,1/100003/2/4294967296/4294967296,4294967296,3,1,2,1,1,0,0,0,0,5,1,bea5f5692a3b7396b642490565c1482ac5cb474fa4b38211a932bfc70b14f015,0e35cd260bb3a0e50547bc50f1e16ff26cfc5de6079cdb429971444a238bfc56,ba9eefc14e04698594b31ea11954c1922eaf0bcd133d9a24250d56d3f53dec82,true,true,true,true,true
14,5500000,1,wrong_and_late,reference,1/99898/1/0/0;1/99898/1/0/0,0|0,6,2,4,0,0,0,0,0,0,8,1027,47e28ba0cf9b15514e7f7af922aa779335633a0c1ba5ccb4b8aa3d9018790637,bc99d5da47f8386745bd1318b30c357f05d9d8ff1cfcfc9997faa50e7e768dca,ba493c2d35832be93b48ae9f9a9e2c5d05d33f1d1a96b20ff6fdd7707629648a,true,true,true,true,true
14,5500000,1,wrong_and_late,production,1/99898/1/0/0;1/99898/1/0/0,0|0,6,2,4,0,0,0,0,0,0,8,1027,47e28ba0cf9b15514e7f7af922aa779335633a0c1ba5ccb4b8aa3d9018790637,bc99d5da47f8386745bd1318b30c357f05d9d8ff1cfcfc9997faa50e7e768dca,bb3a55399309d2ddfe5e51b61b9e69c254a0b4f862a7b19dd1c78c9bd81ba52c,true,true,true,true,true
15,5500000,1,graded_magnitude,reference,1/100000/1/1038312161/1979772000;1/100001/2/1038312161/4294967296;1/100001/3/12096372736/12096372736,1979772000|4294967296|12096372736,13,3,8,3,2,0,0,0,0,19,23,63be28aa85efc5536d506f59c0729ec35f0dbc9a0bed0dcfe710f95bb9f039cb,87619ad7609ee9f21e081d9f4bbe02afbfea6a1ff78298a1d3e798b453f9e444,129b0190ad82459bddf4437416604e1d14d4c4dd161790d3200a1498f986dd56,true,true,true,true,true
15,5500000,1,graded_magnitude,production,1/100000/1/1038312161/1979772000;1/100001/2/1038312161/4294967296;1/100001/3/12096372736/12096372736,1979772000|4294967296|12096372736,13,3,8,3,2,0,0,0,0,19,23,63be28aa85efc5536d506f59c0729ec35f0dbc9a0bed0dcfe710f95bb9f039cb,87619ad7609ee9f21e081d9f4bbe02afbfea6a1ff78298a1d3e798b453f9e444,7f10c5b81e203449edf33db4bda87349a3428e0961ab90e118c8ae49261c183b,true,true,true,true,true
16,5500000,1,repeated_supported,reference,1/99805/4/4294967296/12884901888,2|3|4,9,3,6,3,3,0,0,0,0,15,2049,2e1cc5f88a9f2e49f0c65ab21f0e452567977d825cbf5b40ada4afbe7545a721,a82634eb554ea82e60330c929f489befa8b8188d5abb48fd483e748bac7b131b,f7840a54533187a1438ebd5e2b3bc05510d90aff3f09b3097e301c883f898ba7,true,true,true,true,true
16,5500000,1,repeated_supported,production,1/99805/4/4294967296/12884901888,2|3|4,9,3,6,3,3,0,0,0,0,15,2049,2e1cc5f88a9f2e49f0c65ab21f0e452567977d825cbf5b40ada4afbe7545a721,a82634eb554ea82e60330c929f489befa8b8188d5abb48fd483e748bac7b131b,f7840a54533187a1438ebd5e2b3bc05510d90aff3f09b3097e301c883f898ba7,true,true,true,true,true
17,5500000,1,threshold_family,reference,1/99000/1/0/0;1/99106/2/0/4294967296;1/99410/3/0/8589934592;1/99805/1/4294967296/0;1/99805/1/4294967296/0,1|1|1|1,22,3,15,3,3,0,3,0,0,28,10001,6be0e9432f16716cbcd3aa0c21c0eeed9eb715369491587b05f5e00fa8aef2b7,235c98574f3fb0b6d7cbc6f4c439f4d5894f11a62d8af74b205cffb752078522,7c7ae84f5e4bf1451620213ff72b33909871a957c9fab794bff0aefe4331c2fb,true,true,true,true,true
17,5500000,1,threshold_family,production,1/99000/1/0/0;1/99106/2/0/4294967296;1/99410/3/0/8589934592;1/99805/1/4294967296/0;1/99805/1/4294967296/0,1|1|1|1,22,3,15,3,3,0,3,0,0,28,10001,6be0e9432f16716cbcd3aa0c21c0eeed9eb715369491587b05f5e00fa8aef2b7,235c98574f3fb0b6d7cbc6f4c439f4d5894f11a62d8af74b205cffb752078522,2fa2f8ed06d644ca9a5882a0ee8885f42198cb84fff47d78735cbe5fb173a5d3,true,true,true,true,true
