seed,mechanics,arm,order,useful,first_action,ticks_to_first_action,attempts_to_useful,motor_participations,evidence,consequence_admitted,consequence_modulation,consequence_updates,final_action,outgoing_coupling,stem_coupling,outgoing_resistance,stem_resistance,physical_work,quiescent,zero_silent,zero_updates,zero_modulation,replay_exact,mechanics_exact
6,reference,spontaneous,2|1|4|3,3,2,4,4|1,4|1,true|true,true|true,6|6,15|25,3,33003568546,58123594636,84407816832,159767895102,8656,true,true,0,0,true,true
6,replay,self_trigger,2|1|4|3,3,2,4,0|0,4|4,false|false,false|false,0|0,0|0,none,4294967296,4294967296,2576980378,2576980378,384,true,true,0,0,true,true
6,replay,spontaneous,2|1|4|3,3,2,4,4|1,4|1,true|true,true|true,6|6,15|25,3,33003568546,58123594636,84407816832,159767895102,8656,true,true,0,0,true,true
6,production,self_trigger,2|1|4|3,3,2,4,0|0,4|4,false|false,false|false,0|0,0|0,none,4294967296,4294967296,2576980378,2576980378,384,true,true,0,0,true,true
6,production,spontaneous,2|1|4|3,3,2,4,4|1,4|1,true|true,true|true,6|6,15|25,3,33003568546,58123594636,84407816832,159767895102,8656,true,true,0,0,true,true
7,reference,self_trigger,3|2|1|4,4,3,4,0|0,4|4,false|false,false|false,0|0,0|0,none,4294967296,4294967296,2576980378,2576980378,384,true,true,0,0,true,true
7,reference,spontaneous,3|2|1|4,4,3,4,4|4,4|1,true|true,true|true,6|6,15|25,4,33003568546,58123594636,84407816832,159767895102,8656,true,true,0,0,true,true
7,replay,self_trigger,3|2|1|4,4,3,4,0|0,4|4,false|false,false|false,0|0,0|0,none,4294967296,4294967296,2576980378,2576980378,384,true,true,0,0,true,true
7,replay,spontaneous,3|2|1|4,4,3,4,4|4,4|1,true|true,true|true,6|6,15|25,4,33003568546,58123594636,84407816832,159767895102,8656,true,true,0,0,true,true
7,production,self_trigger,3|2|1|4,4,3,4,0|0,4|4,false|false,false|false,0|0,0|0,none,4294967296,4294967296,2576980378,2576980378,384,true,true,0,0,true,true
7,production,spontaneous,3|2|1|4,4,3,4,4|4,4|1,true|true,true|true,6|6,15|25,4,33003568546,58123594636,84407816832,159767895102,8656,true,true,0,0,true,true
