case_id,family,initial_phase,root_ordinal,mechanics,points,trace_hash,physical_work,drive_deliveries,modulatory_deliveries,local_updates,proposals,deallocations,qlp_traversals,final_tick,final_pressure_phase,body_hash,naturally_quiescent,time_partition_equal
186,late_maintained,8,1,production,initial@8:1/2/1/-1/0/0/0|1/2/1/-1/0/0/0;before_consequence@34:1/1/1/-1/5373062834/0/0|1/1/1/-1/5373062834/0/0;after_consequence@35:1/4/1/-1/5037246406/5037246406/0|1/4/1/-1/5037246406/5037246406/0;final@70:1/1/1/-1/0/5037246406/647011414|1/1/1/-1/0/5037246406/647011414,516288484aef502e19715f811d24e6506445ae4b788a9e2a014301a8f6b069df,24,19,2,2,0,0,1,70,0,7e82bf56cc3bbaf5db0aec0218038c8f3aa30b9760b55b04551c11761f052506,1,1
187,late_unmaintained,8,1,reference,initial@8:1/2/1/-1/0/0/0|1/2/1/-1/0/0/0;before_consequence@34:0/0/1/-1/0/0/0|0/0/1/-1/0/0/0;after_consequence@35:0/0/1/-1/0/0/0|0/0/1/-1/0/0/0;final@70:0/0/1/-1/0/0/0|0/0/1/-1/0/0/0,bdf6629fcc5209903f752a26a1e3a55a39949d1dcad5eba96d80f42186bb5df8,7,4,1,0,0,2,0,70,0,3a0212e69b78064bbe07f2410597813a1f678e492fa8a68e3301af1327cab145,1,1
187,late_unmaintained,8,1,production,initial@8:1/2/1/-1/0/0/0|1/2/1/-1/0/0/0;before_consequence@34:0/0/1/-1/0/0/0|0/0/1/-1/0/0/0;after_consequence@35:0/0/1/-1/0/0/0|0/0/1/-1/0/0/0;final@70:0/0/1/-1/0/0/0|0/0/1/-1/0/0/0,bdf6629fcc5209903f752a26a1e3a55a39949d1dcad5eba96d80f42186bb5df8,7,4,1,0,0,2,0,70,0,3a0212e69b78064bbe07f2410597813a1f678e492fa8a68e3301af1327cab145,1,1
188,wrong_path,8,1,reference,initial@8:1/1/1/-1/0/0/0|1/100/1/-1/0/0/0|1/100/1/-1/0/0/0;after_other_activity@20:0/0/1/-1/0/0/0|1/100/1/21/4562686664/0/520093696|1/98/1/-1/0/0/0;final@60:0/0/1/-1/0/0/0|1/97/1/-1/0/0/2422112180|1/94/1/-1/0/0/0,74131ba80b3d0beaabd4cd54b2fbc269108a88f24fde1bbb9cdfc805ac332f62,9,8,0,0,0,1,0,60,0,2dabe09c2aab684f5d9d0aa0daf50da3f73147908e76694cae02480e8678029f,1,1
188,wrong_path,8,1,production,initial@8:1/1/1/-1/0/0/0|1/100/1/-1/0/0/0|1/100/1/-1/0/0/0;after_other_activity@20:0/0/1/-1/0/0/0|1/100/1/21/4562686664/0/520093696|1/98/1/-1/0/0/0;final@60:0/0/1/-1/0/0/0|1/97/1/-1/0/0/2422112180|1/94/1/-1/0/0/0,74131ba80b3d0beaabd4cd54b2fbc269108a88f24fde1bbb9cdfc805ac332f62,9,8,0,0,0,1,0,60,0,2dabe09c2aab684f5d9d0aa0daf50da3f73147908e76694cae02480e8678029f,1,1
189,stress_then_stop,8,1,reference,initial@8:1/2/1/-1/0/0/0|1/100/1/-1/0/0/0|1/100/1/-1/0/0/0;after_active@50:1/1/1/53/4148553109/0/0|1/95/1/-1/0/0/0|1/95/1/-1/0/0/0;final@100:0/0/1/-1/0/0/0|1/90/1/-1/0/0/0|1/90/1/-1/0/0/0,ed2fe9614d8b16ca5ecacd63c4dfbc86feb4435f4e6bce391698e2a448a785ff,17,16,0,0,0,1,0,100,0,640fec408a5f0cb7106fbbb61a908779f54e34e8c79089cb0f40c6206ea1b66a,1,1
189,stress_then_stop,8,1,production,initial@8:1/2/1/-1/0/0/0|1/100/1/-1/0/0/0|1/100/1/-1/0/0/0;after_active@50:1/1/1/53/4148553109/0/0|1/95/1/-1/0/0/0|1/95/1/-1/0/0/0;final@100:0/0/1/-1/0/0/0|1/90/1/-1/0/0/0|1/90/1/-1/0/0/0,ed2fe9614d8b16ca5ecacd63c4dfbc86feb4435f4e6bce391698e2a448a785ff,17,16,0,0,0,1,0,100,0,640fec408a5f0cb7106fbbb61a908779f54e34e8c79089cb0f40c6206ea1b66a,1,1
190,time_partition,8,1,reference,initial@8:1/4/1/-1/0/0/0|1/100/1/-1/0/0/0|1/100/1/-1/0/0/0;after_partition@61:0/0/1/-1/0/0/0|1/94/1/-1/0/0/0|1/94/1/-1/0/0/0;final@61:0/0/1/-1/0/0/0|1/94/1/-1/0/0/0|1/94/1/-1/0/0/0,c97b488d7841aef03c75fb37f378b2e01ba33a7ae7141c71c1445f019bfd940b,9,7,1,0,0,1,0,61,1,46d9af69c207e2a0ca584fcc0399a015e2e0e2385740bfb278f4fedd68de8ce2,1,1
190,time_partition,8,1,production,initial@8:1/4/1/-1/0/0/0|1/100/1/-1/0/0/0|1/100/1/-1/0/0/0;after_partition@61:0/0/1/-1/0/0/0|1/94/1/-1/0/0/0|1/94/1/-1/0/0/0;final@61:0/0/1/-1/0/0/0|1/94/1/-1/0/0/0|1/94/1/-1/0/0/0,c97b488d7841aef03c75fb37f378b2e01ba33a7ae7141c71c1445f019bfd940b,9,7,1,0,0,1,0,61,1,46d9af69c207e2a0ca584fcc0399a015e2e0e2385740bfb278f4fedd68de8ce2,1,1
191,never_used,9,1,reference,initial@9:1/1/1/-1/0/0/0|1/100/1/-1/0/0/0|1/100/1/-1/0/0/0;after_pressure@10:0/0/1/-1/0/0/0|1/99/1/-1/0/0/0|1/99/1/-1/0/0/0;final@60:0/0/1/-1/0/0/0|1/94/1/-1/0/0/0|1/94/1/-1/0/0/0,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,1,0,0,0,0,1,0,60,0,ccc4aa28195579d78fa21a147184f80cb7a7540eb938715771a2ef6958f958d7,1,1
191,never_used,9,1,production,initial@9:1/1/1/-1/0/0/0|1/100/1/-1/0/0/0|1/100/1/-1/0/0/0;after_pressure@10:0/0/1/-1/0/0/0|1/99/1/-1/0/0/0|1/99/1/-1/0/0/0;final@60:0/0/1/-1/0/0/0|1/94/1/-1/0/0/0|1/94/1/-1/0/0/0,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,1,0,0,0,0,1,0,60,0,ccc4aa28195579d78fa21a147184f80cb7a7540eb938715771a2ef6958f958d7,1,1
192,recently_used,9,1,reference,initial@9:1/1/1/-1/0/0/0|1/100/1/-1/0/0/0|1/100/1/-1/0/0/0;after_use@9:1/1/1/13/4294967296/0/0|1/100/1/-1/0/0/0|1/100/1/-1/0/0/0;after_pressure@10:1/1/1/13/0/0/268435456|1/99/1/-1/0/0/0|1/99/1/-1/0/0/0;final@60:0/0/1/-1/0/0/0|1/94/1/-1/0/0/0|1/94/1/-1/0/0/0,171665990869fc0dfe73c1ff1aa1d32d689e6663edb909506dcd1027dab67636,3,2,0,0,0,1,0,60,0,4abfc615c4eec28399cf6a87e2457584e6474eabc1a883b02442e905e752ab0f,1,1
