case_id,root,initial_phase,delay,mechanics,a_participation,b_participation,a_support,b_support,physical_work,final_tick,pressure_phase,trace_hash,body_hash,a_live,b_live,quiescent
21,1500000,0,20,reference,1181368504,1181368504,1181368504,0,8,20,0,be33b23b1a464eacaefd70c140c2fb7d0cf81e4b96ae69b2dd9ad8be8ead10e6,dbeb9b856978f8b34c333a90b6a2fff3dee48ce9057647c624a9030a4ae32727,1,1,1
21,1500000,0,20,production,1181368504,1181368504,1181368504,0,8,20,0,be33b23b1a464eacaefd70c140c2fb7d0cf81e4b96ae69b2dd9ad8be8ead10e6,dbeb9b856978f8b34c333a90b6a2fff3dee48ce9057647c624a9030a4ae32727,1,1,1
22,1500000,0,1024,reference,0,0,0,0,8,1024,4,1e8a50a961b54c0a8ee398f6a2901c62247829dbfc1e25cd41bb1243daaabf06,361174b06e976edd62ea9e6bc1d004d0865ec2723107e0f60db523b3952d3364,1,1,1
22,1500000,0,1024,production,0,0,0,0,8,1024,4,1e8a50a961b54c0a8ee398f6a2901c62247829dbfc1e25cd41bb1243daaabf06,361174b06e976edd62ea9e6bc1d004d0865ec2723107e0f60db523b3952d3364,1,1,1
23,1500000,1,0,reference,4294967296,4294967296,4294967296,0,8,1,1,92b7c983118fb8385f7a56babdbb2886629d5076140afdf280cdb62cf4341e36,e9158eee7c5b6cb1a31a4125084da0407abd2e55f33bb69297d53bf1e39ede72,1,1,1
23,1500000,1,0,production,4294967296,4294967296,4294967296,0,8,1,1,92b7c983118fb8385f7a56babdbb2886629d5076140afdf280cdb62cf4341e36,e9158eee7c5b6cb1a31a4125084da0407abd2e55f33bb69297d53bf1e39ede72,1,1,1
24,1500000,1,1,reference,4026531840,4026531840,4026531840,0,8,2,2,f7bb5453f68882084012d246299cec21b2fb654aac545375107bd81383d4f755,e9158eee7c5b6cb1a31a4125084da0407abd2e55f33bb69297d53bf1e39ede72,1,1,1
24,1500000,1,1,production,4026531840,4026531840,4026531840,0,8,2,2,f7bb5453f68882084012d246299cec21b2fb654aac545375107bd81383d4f755,e9158eee7c5b6cb1a31a4125084da0407abd2e55f33bb69297d53bf1e39ede72,1,1,1
25,1500000,1,2,reference,3774873600,3774873600,3774873600,0,8,3,3,be4596c3b24e6d01192b949f90290b624d0f63a021afa212ca27f70b00bb3a38,e9158eee7c5b6cb1a31a4125084da0407abd2e55f33bb69297d53bf1e39ede72,1,1,1
25,1500000,1,2,production,3774873600,3774873600,3774873600,0,8,3,3,be4596c3b24e6d01192b949f90290b624d0f63a021afa212ca27f70b00bb3a38,e9158eee7c5b6cb1a31a4125084da0407abd2e55f33bb69297d53bf1e39ede72,1,1,1
26,1500000,1,3,reference,3538944000,3538944000,3538944000,0,8,4,4,f32ea2a5a066994cfc08cd04995a2d2b24c4bf84ca1773f2eb40eddd4cd6fdc6,e9158eee7c5b6cb1a31a4125084da0407abd2e55f33bb69297d53bf1e39ede72,1,1,1
26,1500000,1,3,production,3538944000,3538944000,3538944000,0,8,4,4,f32ea2a5a066994cfc08cd04995a2d2b24c4bf84ca1773f2eb40eddd4cd6fdc6,e9158eee7c5b6cb1a31a4125084da0407abd2e55f33bb69297d53bf1e39ede72,1,1,1
27,1500000,1,4,reference,3317760000,3317760000,3317760000,0,8,5,5,01aae94c68f83bea2d8e67ab7055d171f46d837dcea30c7a14c1627c40f0ca66,e9158eee7c5b6cb1a31a4125084da0407abd2e55f33bb69297d53bf1e39ede72,1,1,1
27,1500000,1,4,production,3317760000,3317760000,3317760000,0,8,5,5,01aae94c68f83bea2d8e67ab7055d171f46d837dcea30c7a14c1627c40f0ca66,e9158eee7c5b6cb1a31a4125084da0407abd2e55f33bb69297d53bf1e39ede72,1,1,1
28,1500000,1,5,reference,3110400000,3110400000,3110400000,0,8,6,6,84fcf1e5e9e8231ca1ef7d45f3b4b1c1316df88b1b8a00d48db26eef0db01386,35aa08cea2f755fed5fc42e15413ebfbd31c89cee13ec2a5467410cc03010cd4,1,1,1
28,1500000,1,5,production,3110400000,3110400000,3110400000,0,8,6,6,84fcf1e5e9e8231ca1ef7d45f3b4b1c1316df88b1b8a00d48db26eef0db01386,35aa08cea2f755fed5fc42e15413ebfbd31c89cee13ec2a5467410cc03010cd4,1,1,1
29,1500000,1,6,reference,2916000000,2916000000,2916000000,0,8,7,7,c907df96e1549caeb951dfa28999a837a2b35216c9f4eea2505adaaa77d75954,35aa08cea2f755fed5fc42e15413ebfbd31c89cee13ec2a5467410cc03010cd4,1,1,1
29,1500000,1,6,production,2916000000,2916000000,2916000000,0,8,7,7,c907df96e1549caeb951dfa28999a837a2b35216c9f4eea2505adaaa77d75954,35aa08cea2f755fed5fc42e15413ebfbd31c89cee13ec2a5467410cc03010cd4,1,1,1
30,1500000,1,7,reference,2733750000,2733750000,2733750000,0,8,8,8,461dffb71af52d2d7353ee60fb2e888b5efaa28d8b001696eae23cdbfdb786ab,35aa08cea2f755fed5fc42e15413ebfbd31c89cee13ec2a5467410cc03010cd4,1,1,1
30,1500000,1,7,production,2733750000,2733750000,2733750000,0,8,8,8,461dffb71af52d2d7353ee60fb2e888b5efaa28d8b001696eae23cdbfdb786ab,35aa08cea2f755fed5fc42e15413ebfbd31c89cee13ec2a5467410cc03010cd4,1,1,1
31,1500000,1,8,reference,2562890625,2562890625,2562890625,0,8,9,9,9d55c0beffee9e6c04612780a9d8c14e8f5a2b9649443be10fd1e58766911da0,35aa08cea2f755fed5fc42e15413ebfbd31c89cee13ec2a5467410cc03010cd4,1,1,1
31,1500000,1,8,production,2562890625,2562890625,2562890625,0,8,9,9,9d55c0beffee9e6c04612780a9d8c14e8f5a2b9649443be10fd1e58766911da0,35aa08cea2f755fed5fc42e15413ebfbd31c89cee13ec2a5467410cc03010cd4,1,1,1
32,1500000,1,9,reference,2402709960,2402709960,2402709960,0,8,10,0,8d87f7fc6888f5bdd15d55680758965f7b185468c5e311aaeffb47467d1776b6,57ae97d32dc25413615ea45ef8a29c544cbb03cb81a8f0ac47d8547555ea1aa0,1,1,1
32,1500000,1,9,production,2402709960,2402709960,2402709960,0,8,10,0,8d87f7fc6888f5bdd15d55680758965f7b185468c5e311aaeffb47467d1776b6,57ae97d32dc25413615ea45ef8a29c544cbb03cb81a8f0ac47d8547555ea1aa0,1,1,1
33,1500000,1,10,reference,2252540587,2252540587,2252540587,0,8,11,1,4b2ba0084c36af243d27682cbb70cee42082a026a7a0bfe9d40db35eabaa2709,57ae97d32dc25413615ea45ef8a29c544cbb03cb81a8f0ac47d8547555ea1aa0,1,1,1
33,1500000,1,10,production,2252540587,2252540587,2252540587,0,8,11,1,4b2ba0084c36af243d27682cbb70cee42082a026a7a0bfe9d40db35eabaa2709,57ae97d32dc25413615ea45ef8a29c544cbb03cb81a8f0ac47d8547555ea1aa0,1,1,1
34,1500000,1,11,reference,2111756800,2111756800,2111756800,0,8,12,2,cf63a2be950532cd4bfefc6e8037534f49be88e534a89df071ce9ca2152481e9,57ae97d32dc25413615ea45ef8a29c544cbb03cb81a8f0ac47d8547555ea1aa0,1,1,1
34,1500000,1,11,production,2111756800,2111756800,2111756800,0,8,12,2,cf63a2be950532cd4bfefc6e8037534f49be88e534a89df071ce9ca2152481e9,57ae97d32dc25413615ea45ef8a29c544cbb03cb81a8f0ac47d8547555ea1aa0,1,1,1
35,1500000,1,12,reference,1979772000,1979772000,1979772000,0,8,13,3,19c84c9acfdc8bceb086a5f113ce468d5c3ed4e1c636ed438c88703b10cf4e72,57ae97d32dc25413615ea45ef8a29c544cbb03cb81a8f0ac47d8547555ea1aa0,1,1,1
35,1500000,1,12,production,1979772000,1979772000,1979772000,0,8,13,3,19c84c9acfdc8bceb086a5f113ce468d5c3ed4e1c636ed438c88703b10cf4e72,57ae97d32dc25413615ea45ef8a29c544cbb03cb81a8f0ac47d8547555ea1aa0,1,1,1
36,1500000,1,13,reference,1856036250,1856036250,1856036250,0,8,14,4,3f377c060dca6e2dda633bb2ad374980cc47c2eb2b68456c3731ee915a9528bf,57ae97d32dc25413615ea45ef8a29c544cbb03cb81a8f0ac47d8547555ea1aa0,1,1,1
