case_id,root,initial_phase,control,mechanics,a_participation,b_participation,a_support,b_support,physical_work,final_tick,pressure_phase,trace_hash,body_hash,a_live,b_live,quiescent
69,1500000,7,source_without_traversal,reference,0,0,0,0,1,17,7,a826cc4e4366fde7f10611e6d1c99e14b314a7c071239ad7f853160dee7c46da,01e551fcc46efff6ca4d5d92d2b2335814dfeecd9a6ab84c9977f5634868aca7,1,1,1
69,1500000,7,source_without_traversal,production,0,0,0,0,1,17,7,a826cc4e4366fde7f10611e6d1c99e14b314a7c071239ad7f853160dee7c46da,01e551fcc46efff6ca4d5d92d2b2335814dfeecd9a6ab84c9977f5634868aca7,1,1,1
70,1500000,7,same_total_wrong_path,reference,0,5362940587,0,0,4,17,7,164b6666390aa9cd2dbbb212118765a3c732dc42a1a9691c84b2da9e38aae867,0ad78deb07fbb552ad81cf3f739ae899bf8efcd84878e73cf3a7de612dbc9f0c,1,1,1
70,1500000,7,same_total_wrong_path,production,0,5362940587,0,0,4,17,7,164b6666390aa9cd2dbbb212118765a3c732dc42a1a9691c84b2da9e38aae867,0ad78deb07fbb552ad81cf3f739ae899bf8efcd84878e73cf3a7de612dbc9f0c,1,1,1
71,1500000,7,contact_fanout,reference,4294967296,4294967296,4294967296,4294967296,8,7,7,f9d1313ab2c3f4af3a5b7b9cec2dc54a2883c9cf03b5b6561ee3eba66d739450,5629b0f087b3aaf3dde6224f57d381fbcfe3fe29af802f329c8f8c9252bc125b,1,1,1
71,1500000,7,contact_fanout,production,4294967296,4294967296,4294967296,4294967296,8,7,7,f9d1313ab2c3f4af3a5b7b9cec2dc54a2883c9cf03b5b6561ee3eba66d739450,5629b0f087b3aaf3dde6224f57d381fbcfe3fe29af802f329c8f8c9252bc125b,1,1,1
72,1500000,7,late_return,reference,0,0,0,0,8,1031,1,a1640ebc507cc43cc4a6341bd191734dc892d2b30129ea1afd7bcc7dc5109710,be3d73e7f5cbeb9e51dd17b416253da028c31ff61d45ebfc49a7b2b9852a6181,1,1,1
72,1500000,7,late_return,production,0,0,0,0,8,1031,1,a1640ebc507cc43cc4a6341bd191734dc892d2b30129ea1afd7bcc7dc5109710,be3d73e7f5cbeb9e51dd17b416253da028c31ff61d45ebfc49a7b2b9852a6181,1,1,1
73,1500000,8,prompt_a,reference,4294967296,4294967296,4294967296,0,8,8,8,415a96aec799b17d0b2e6a972b049300aaecb3e31fade0b42963cf7445bcd9b1,e9158eee7c5b6cb1a31a4125084da0407abd2e55f33bb69297d53bf1e39ede72,1,1,1
73,1500000,8,prompt_a,production,4294967296,4294967296,4294967296,0,8,8,8,415a96aec799b17d0b2e6a972b049300aaecb3e31fade0b42963cf7445bcd9b1,e9158eee7c5b6cb1a31a4125084da0407abd2e55f33bb69297d53bf1e39ede72,1,1,1
74,1500000,8,return_b,reference,4294967296,4294967296,0,4294967296,8,8,8,98ee19083c00037aa03008398d2c06f831513055af4ebfa3d41c719b5f8b2815,30762bf2e90403fa6ebf6ea45e5652e7b4ab78db6c09a3f7908ac286970226a8,1,1,1
74,1500000,8,return_b,production,4294967296,4294967296,0,4294967296,8,8,8,98ee19083c00037aa03008398d2c06f831513055af4ebfa3d41c719b5f8b2815,30762bf2e90403fa6ebf6ea45e5652e7b4ab78db6c09a3f7908ac286970226a8,1,1,1
75,1500000,8,unrelated_activity,reference,2252540587,2252540587,0,0,7,18,8,ec366e38ba1ecc28e3f22d8398f9c55f0fb466776fe0cac2c63f0a42b4eee751,82327cfa19368ddda454bd2897299a4610f07ebd88a9ae22eaa516415734482c,1,1,1
75,1500000,8,unrelated_activity,production,2252540587,2252540587,0,0,7,18,8,ec366e38ba1ecc28e3f22d8398f9c55f0fb466776fe0cac2c63f0a42b4eee751,82327cfa19368ddda454bd2897299a4610f07ebd88a9ae22eaa516415734482c,1,1,1
76,1500000,8,repeat_a,reference,5362940587,2252540587,0,0,7,18,8,8c5bed5a07024e93607f35d8e89d44e461c91973a96fb055a3bc08f1e2f03acd,60738021b7c0b92cdbad067d97edcb4502e01942c36b4f6249254fdb7cf94afa,1,1,1
76,1500000,8,repeat_a,production,5362940587,2252540587,0,0,7,18,8,8c5bed5a07024e93607f35d8e89d44e461c91973a96fb055a3bc08f1e2f03acd,60738021b7c0b92cdbad067d97edcb4502e01942c36b4f6249254fdb7cf94afa,1,1,1
77,1500000,8,repeat_b_while_a_waits,reference,2252540587,5362940587,0,0,7,18,8,17eb9cc34cedb177bdf32341d13e814682c8f70509c28756f91643c5506e0ed3,0ad78deb07fbb552ad81cf3f739ae899bf8efcd84878e73cf3a7de612dbc9f0c,1,1,1
77,1500000,8,repeat_b_while_a_waits,production,2252540587,5362940587,0,0,7,18,8,17eb9cc34cedb177bdf32341d13e814682c8f70509c28756f91643c5506e0ed3,0ad78deb07fbb552ad81cf3f739ae899bf8efcd84878e73cf3a7de612dbc9f0c,1,1,1
78,1500000,8,source_without_traversal,reference,0,0,0,0,1,18,8,de56fdc196ba16f28de74025a61c8cc28ed0ee7bb16bd3a4f6c98c06fd05254f,01e551fcc46efff6ca4d5d92d2b2335814dfeecd9a6ab84c9977f5634868aca7,1,1,1
78,1500000,8,source_without_traversal,production,0,0,0,0,1,18,8,de56fdc196ba16f28de74025a61c8cc28ed0ee7bb16bd3a4f6c98c06fd05254f,01e551fcc46efff6ca4d5d92d2b2335814dfeecd9a6ab84c9977f5634868aca7,1,1,1
79,1500000,8,same_total_wrong_path,reference,0,5362940587,0,0,4,18,8,d9e8e3dbda77467859d6239009cb3b151f350aec193b0a3c8da9de9c5a31e064,0ad78deb07fbb552ad81cf3f739ae899bf8efcd84878e73cf3a7de612dbc9f0c,1,1,1
79,1500000,8,same_total_wrong_path,production,0,5362940587,0,0,4,18,8,d9e8e3dbda77467859d6239009cb3b151f350aec193b0a3c8da9de9c5a31e064,0ad78deb07fbb552ad81cf3f739ae899bf8efcd84878e73cf3a7de612dbc9f0c,1,1,1
80,1500000,8,contact_fanout,reference,4294967296,4294967296,4294967296,4294967296,8,8,8,5e309fb85600f37d3348600bde82e6ffe4ebf1fb15f6e9a74a468b18c80168d3,5629b0f087b3aaf3dde6224f57d381fbcfe3fe29af802f329c8f8c9252bc125b,1,1,1
80,1500000,8,contact_fanout,production,4294967296,4294967296,4294967296,4294967296,8,8,8,5e309fb85600f37d3348600bde82e6ffe4ebf1fb15f6e9a74a468b18c80168d3,5629b0f087b3aaf3dde6224f57d381fbcfe3fe29af802f329c8f8c9252bc125b,1,1,1
81,1500000,8,late_return,reference,0,0,0,0,8,1032,2,bbc4ff40aa386479d74ae8faa02246f5c96eefae035dbd6e30a066d0bd171246,be3d73e7f5cbeb9e51dd17b416253da028c31ff61d45ebfc49a7b2b9852a6181,1,1,1
81,1500000,8,late_return,production,0,0,0,0,8,1032,2,bbc4ff40aa386479d74ae8faa02246f5c96eefae035dbd6e30a066d0bd171246,be3d73e7f5cbeb9e51dd17b416253da028c31ff61d45ebfc49a7b2b9852a6181,1,1,1
82,1500000,9,prompt_a,reference,4294967296,4294967296,4294967296,0,8,9,9,f69380aed79a42001e64bf8688e9cf75c6108549be4e231cc05b9ca968e266be,e9158eee7c5b6cb1a31a4125084da0407abd2e55f33bb69297d53bf1e39ede72,1,1,1
82,1500000,9,prompt_a,production,4294967296,4294967296,4294967296,0,8,9,9,f69380aed79a42001e64bf8688e9cf75c6108549be4e231cc05b9ca968e266be,e9158eee7c5b6cb1a31a4125084da0407abd2e55f33bb69297d53bf1e39ede72,1,1,1
83,1500000,9,return_b,reference,4294967296,4294967296,0,4294967296,8,9,9,f7a03f438a73774babe0a1169ba23d81f737ec5d2770e510183f45ad186d50e5,30762bf2e90403fa6ebf6ea45e5652e7b4ab78db6c09a3f7908ac286970226a8,1,1,1
83,1500000,9,return_b,production,4294967296,4294967296,0,4294967296,8,9,9,f7a03f438a73774babe0a1169ba23d81f737ec5d2770e510183f45ad186d50e5,30762bf2e90403fa6ebf6ea45e5652e7b4ab78db6c09a3f7908ac286970226a8,1,1,1
84,1500000,9,unrelated_activity,reference,2252540587,2252540587,0,0,7,19,9,db7b6be5f3357b3597836d39b7eb7c94015f55e3727350aff4dbc9b65f85cdd3,82327cfa19368ddda454bd2897299a4610f07ebd88a9ae22eaa516415734482c,1,1,1
