case_id,root,phase,family,arm,mechanics,states,measures,drive,modulation,fires,resistance_events,qlp,crossings,proposals,deallocations,physical_work,final_tick,trace_hash,body_hash,live_hash,quiescent,replay_equal,mechanics_equal,predicate_pass
12,5100000,0,fd1_consolidation,efficacy_and_persistence,reference,1/4/2/4026531840/4026531840;1/1/2/4026531840/0,4026531840|0,5,1,3,1,0,0,0,0,7,1,c0a80c0160761856c1fab1a3587176a9210f510ce4a36c83a647598589cf8a3f,44af89b18051899c00db452feb563343036dbeac571befc971d93f0160869997,698e8af5b383b618b7eefd39556d4500cc13d768f18e01040c04fee4d9c9cd78,true,true,false,true,false
12,5100000,0,fd1_consolidation,efficacy_and_persistence,production,1/4/2/4026531840/4026531840;1/1/2/4026531840/0,4026531840|0,5,1,3,1,0,0,0,0,7,1,c0a80c0160761856c1fab1a3587176a9210f510ce4a36c83a647598589cf8a3f,44af89b18051899c00db452feb563343036dbeac571befc971d93f0160869997,bf368887ea5f8e85478c8f5021b8442a6eeaf4ef7658aa1ff5d880995930fc53,true,true,false,true,false
13,5100000,0,threshold_1_already_executable,persistence_only,reference,1/4/1/4294967296/0,1|1,3,0,2,0,0,1,0,0,3,0,dd178675c6d71483d4f9299e0b8d1a75fafbdff92697f14911e08b3b378b7800,fc823d076a21859d09016c05dba380631513b94a175e6ceb23ec6b2c3235f6df,0d27a2773fe7b235d8082cf642f7f040ed55e31db52c20d6172b22d7f1d1771c,true,true,true,true,true
13,5100000,0,threshold_1_already_executable,persistence_only,production,1/4/1/4294967296/0,1|1,3,0,2,0,0,1,0,0,3,0,dd178675c6d71483d4f9299e0b8d1a75fafbdff92697f14911e08b3b378b7800,fc823d076a21859d09016c05dba380631513b94a175e6ceb23ec6b2c3235f6df,0d27a2773fe7b235d8082cf642f7f040ed55e31db52c20d6172b22d7f1d1771c,true,true,true,true,true
14,5100000,0,threshold_1_already_executable,efficacy_and_persistence,reference,1/4/2/4294967296/0,1|1,3,0,2,0,0,1,0,0,3,0,dc03c8b5d8c03134f4628da757e557bfc540d3676134457ef7f7c88e296118cf,c596f9540adaebf0e0d78db6b729139c672f9bca0505404068b848f474329448,0ce6992329f5d410185b92e96ae94ee3868c42767edc67488f9726ed9d57fb9d,true,true,true,true,true
14,5100000,0,threshold_1_already_executable,efficacy_and_persistence,production,1/4/2/4294967296/0,1|1,3,0,2,0,0,1,0,0,3,0,dc03c8b5d8c03134f4628da757e557bfc540d3676134457ef7f7c88e296118cf,c596f9540adaebf0e0d78db6b729139c672f9bca0505404068b848f474329448,0ce6992329f5d410185b92e96ae94ee3868c42767edc67488f9726ed9d57fb9d,true,true,true,true,true
15,5100000,0,threshold_2_acquired_efficacy,persistence_only,reference,1/4/1/4294967296/0;1/1/1/4294967296/0,0|0|0,4,0,2,0,0,0,0,0,4,0,d00be5d8839bbde0bf7c29a16018e869f6b5fb56ebf22668edfbae2209ee02d8,fff1baa496d392b306261cf9aef4953d07fa73811ef19f0e752501c173cd3cff,1e8dc1c3dcaf191343f334afbe2caf9acc9b7d73f484af6e82a291a25c99a5e6,true,true,true,true,true
15,5100000,0,threshold_2_acquired_efficacy,persistence_only,production,1/4/1/4294967296/0;1/1/1/4294967296/0,0|0|0,4,0,2,0,0,0,0,0,4,0,d00be5d8839bbde0bf7c29a16018e869f6b5fb56ebf22668edfbae2209ee02d8,fff1baa496d392b306261cf9aef4953d07fa73811ef19f0e752501c173cd3cff,1e8dc1c3dcaf191343f334afbe2caf9acc9b7d73f484af6e82a291a25c99a5e6,true,true,true,true,true
16,5100000,0,threshold_2_acquired_efficacy,efficacy_and_persistence,reference,1/4/2/4294967296/0;1/1/1/4294967296/0,1|0|1,5,0,3,0,0,1,0,0,5,0,840cbb8032be4c4c0718981e290a7fb3877e102b5e7dba55f97c1c261304bd86,f8f01f1de956433e4e29d91033759db67943f0eba8bcb8de1c4d5b7f7a2f8a81,a41f61f589a6526811832671e9609f00a89b7cf7dd13585675b7068b5c32afb7,true,true,true,true,true
16,5100000,0,threshold_2_acquired_efficacy,efficacy_and_persistence,production,1/4/2/4294967296/0;1/1/1/4294967296/0,1|0|1,5,0,3,0,0,1,0,0,5,0,840cbb8032be4c4c0718981e290a7fb3877e102b5e7dba55f97c1c261304bd86,f8f01f1de956433e4e29d91033759db67943f0eba8bcb8de1c4d5b7f7a2f8a81,a41f61f589a6526811832671e9609f00a89b7cf7dd13585675b7068b5c32afb7,true,true,true,true,true
17,5100000,0,threshold_3_still_insufficient,persistence_only,reference,1/4/1/4294967296/0,0|0,2,0,1,0,0,0,0,0,2,0,b1e043ab1adf8c4b9f43d6117e99aed133d8e104f4c8bc316d3a98f87ffc011c,45151faa2e566d10d0c4a7e58f0b174013cec0283fbd4c15555d45ae3132632b,9e7f8ee17ad4f8ed12e15ad349ec3aff485b56bbebe546bc66edec3278a3c1fe,true,true,true,true,true
17,5100000,0,threshold_3_still_insufficient,persistence_only,production,1/4/1/4294967296/0,0|0,2,0,1,0,0,0,0,0,2,0,b1e043ab1adf8c4b9f43d6117e99aed133d8e104f4c8bc316d3a98f87ffc011c,45151faa2e566d10d0c4a7e58f0b174013cec0283fbd4c15555d45ae3132632b,9e7f8ee17ad4f8ed12e15ad349ec3aff485b56bbebe546bc66edec3278a3c1fe,true,true,true,true,true
18,5100000,0,threshold_3_still_insufficient,efficacy_and_persistence,reference,1/4/2/4294967296/0,0|0,2,0,1,0,0,0,0,0,2,0,f7b1b44f70b942fe3886be980377132939284784b7c5b56ad7bb6752cfe96a68,ee0e9f121004a93ff0b7fef97d293254328ea3b62f3ff28bb473d2e485470b17,551cc3c10defd26acf7ba16acbfb386753cd6432d21bd8e4eaaf8bf8b76125f8,true,true,true,true,true
18,5100000,0,threshold_3_still_insufficient,efficacy_and_persistence,production,1/4/2/4294967296/0,0|0,2,0,1,0,0,0,0,0,2,0,f7b1b44f70b942fe3886be980377132939284784b7c5b56ad7bb6752cfe96a68,ee0e9f121004a93ff0b7fef97d293254328ea3b62f3ff28bb473d2e485470b17,551cc3c10defd26acf7ba16acbfb386753cd6432d21bd8e4eaaf8bf8b76125f8,true,true,true,true,true
19,5100000,0,threshold_2_two_physical_inputs,persistence_only,reference,1/4/1/4294967296/0;1/4/1/4294967296/0,1|1,5,0,3,0,0,1,0,0,5,0,31a8d01699d9977b1f8431d486c4456a4a2f167d698b0996850735c6b9f00bbe,ef64eace922d62007835c0b3307eb14a6a3299070ba3ca1fb2024baa34c749b6,6425823b94b7c14d894e447413af2ea4eae3bef2b928875c612a0578e2498212,true,true,true,true,true
19,5100000,0,threshold_2_two_physical_inputs,persistence_only,production,1/4/1/4294967296/0;1/4/1/4294967296/0,1|1,5,0,3,0,0,1,0,0,5,0,31a8d01699d9977b1f8431d486c4456a4a2f167d698b0996850735c6b9f00bbe,ef64eace922d62007835c0b3307eb14a6a3299070ba3ca1fb2024baa34c749b6,6425823b94b7c14d894e447413af2ea4eae3bef2b928875c612a0578e2498212,true,true,true,true,true
20,5100000,0,threshold_2_two_physical_inputs,efficacy_and_persistence,reference,1/4/1/4294967296/0;1/4/1/4294967296/0,1|1,5,0,3,0,0,1,0,0,5,0,6c51d328465844677e5bb2d18c3b110df70ed29b1240aab7ac2a7324a0460118,04062fdd283324ada383e6df09ad2e10b45a28e7cacdf223e5298e901b16bea9,6b4b1dd7e4242ed0583297d7c30729540121a5d14a8d57fecd1d47f149c5867f,true,true,true,true,true
20,5100000,0,threshold_2_two_physical_inputs,efficacy_and_persistence,production,1/4/1/4294967296/0;1/4/1/4294967296/0,1|1,5,0,3,0,0,1,0,0,5,0,6c51d328465844677e5bb2d18c3b110df70ed29b1240aab7ac2a7324a0460118,04062fdd283324ada383e6df09ad2e10b45a28e7cacdf223e5298e901b16bea9,6b4b1dd7e4242ed0583297d7c30729540121a5d14a8d57fecd1d47f149c5867f,true,true,true,true,true
21,5100000,1,cpc0_contact_locality,persistence_only,reference,1/7/1/4026531840/4026531840;1/4/1/4026531840/0,4026531840|0,6,1,4,1,0,0,0,0,8,2,57f766a5aefef412ed7512746a4549bf199cea6e34bb0a007bfd956047774ab1,0f2486f5a0d786d3bfe3501a2ebb189e975b7512549f2fdcdec1031409e15e67,ec7f7be9098a4b2f61d80ef5c96713402aec7caff5ba5505ac27dd66dee5a40d,true,true,false,true,false
21,5100000,1,cpc0_contact_locality,persistence_only,production,1/7/1/4026531840/4026531840;1/4/1/4026531840/0,4026531840|0,6,1,4,1,0,0,0,0,8,2,57f766a5aefef412ed7512746a4549bf199cea6e34bb0a007bfd956047774ab1,0f2486f5a0d786d3bfe3501a2ebb189e975b7512549f2fdcdec1031409e15e67,ec0c0b8eb46f5bda67dfd4fe38dae2b57d75f5a65eff4e0336a5d02b66f80681,true,true,false,true,false
22,5100000,1,cpc0_contact_locality,efficacy_and_persistence,reference,1/7/2/4026531840/4026531840;1/4/2/4026531840/0,4026531840|0,6,1,4,1,0,0,0,0,8,2,712ae9f80bb23c3a1814cbaf66dcf4f87b49090ea267fb211398afc50f306b03,bdb98b61806b951eb5ea4c1209b141719d182f2d36c0d417199e856c8f349346,334a5944718fee94bfc99060247a8dd13955dd7299733676f4d6c8d61721afbd,true,true,false,true,false
22,5100000,1,cpc0_contact_locality,efficacy_and_persistence,production,1/7/2/4026531840/4026531840;1/4/2/4026531840/0,4026531840|0,6,1,4,1,0,0,0,0,8,2,712ae9f80bb23c3a1814cbaf66dcf4f87b49090ea267fb211398afc50f306b03,bdb98b61806b951eb5ea4c1209b141719d182f2d36c0d417199e856c8f349346,6cfd6dac1f5016605e0170a8c55a76f478bf3b930180bf3a6859dd674495891c,true,true,false,true,false
23,5100000,1,cpc1_temporal_participation,persistence_only,reference,1/6/1/1979772000/4026531840;1/5/1/1979772000/1979772000;1/7/1/1979772000/3110400000;1/7/1/1979772000/3110400000;1/7/1/4542662625/7136931840,4026531840|1979772000|3110400000|3110400000|7136931840,19,5,12,5,0,0,0,0,29,13,5ebfba1825e515e5c566813e136a6c7a7712fec0ff900c26a026c58bf22174ec,eef3ed119f6129900f0b96afdbfb05b4e71bf6064d5c75e42392192f0c318cf4,3f569aade6d7d1364afdf1c73f2bced48801fc3637d3f2219ab7b57d35111915,true,true,false,true,false
23,5100000,1,cpc1_temporal_participation,persistence_only,production,1/6/1/1979772000/4026531840;1/5/1/1979772000/1979772000;1/7/1/1979772000/3110400000;1/7/1/1979772000/3110400000;1/7/1/4542662625/7136931840,4026531840|1979772000|3110400000|3110400000|7136931840,19,5,12,5,0,0,0,0,29,13,5ebfba1825e515e5c566813e136a6c7a7712fec0ff900c26a026c58bf22174ec,eef3ed119f6129900f0b96afdbfb05b4e71bf6064d5c75e42392192f0c318cf4,fb05d369317fe9b22cb9e97eb19dca29045eb797152f203140401fcb928a94ad,true,true,false,true,false
