case,family,root,permutation,mechanics,replay_equal,mechanics_equal,permutation_equal,predicates_pass,failed,quiescent,ceiling,drive_deliveries,modulatory_deliveries,resistance_updates,coupling_updates,qlp_traversals,maximum_wave,physical_work,final_tick,trace_hash,body_hash,continuation_hash
29,source_fires_modulatory,9100000,reverse_arrows,reference,true,true,true,true,,true,false,3,1,1,0,0,1,5,1,3c97861a7a82db666006af294a7d687934dc903cb70a8f9476978ad09ee7bf57,0e200975bc0ddc0f9f52ff75b468977e527f01dfd3a90798317f94284059a66b,053f077db917472395e458c5a6952ae6e22803c99d7119fbc4fb43af631cb707
29,source_fires_modulatory,9100000,reverse_arrows,production,true,true,true,true,,true,false,3,1,1,0,0,1,5,1,3c97861a7a82db666006af294a7d687934dc903cb70a8f9476978ad09ee7bf57,0e200975bc0ddc0f9f52ff75b468977e527f01dfd3a90798317f94284059a66b,053f077db917472395e458c5a6952ae6e22803c99d7119fbc4fb43af631cb707
30,source_fires_modulatory,9100000,reverse_inputs,reference,true,true,true,true,,true,false,3,1,1,0,0,1,5,1,3c97861a7a82db666006af294a7d687934dc903cb70a8f9476978ad09ee7bf57,0e200975bc0ddc0f9f52ff75b468977e527f01dfd3a90798317f94284059a66b,053f077db917472395e458c5a6952ae6e22803c99d7119fbc4fb43af631cb707
30,source_fires_modulatory,9100000,reverse_inputs,production,true,true,true,true,,true,false,3,1,1,0,0,1,5,1,3c97861a7a82db666006af294a7d687934dc903cb70a8f9476978ad09ee7bf57,0e200975bc0ddc0f9f52ff75b468977e527f01dfd3a90798317f94284059a66b,053f077db917472395e458c5a6952ae6e22803c99d7119fbc4fb43af631cb707
31,modulatory_causes_pqlc,9100000,identity,reference,true,true,true,true,,true,false,5,2,2,0,1,2,10,1,5cd041668bb0bf6295c836e489aa352b464b8b774ebd1f4a53a3b56c9c400686,73ea82a9c891e0f0ffe60330b095bbbc8d660bab6b03398590a8106afce825b7,cbae5950be6b65080b328a4dbc076593cf2b5b959f2491f736dcb135f7d4d8e1
31,modulatory_causes_pqlc,9100000,identity,production,true,true,true,true,,true,false,5,2,2,0,1,2,10,1,5cd041668bb0bf6295c836e489aa352b464b8b774ebd1f4a53a3b56c9c400686,73ea82a9c891e0f0ffe60330b095bbbc8d660bab6b03398590a8106afce825b7,cbae5950be6b65080b328a4dbc076593cf2b5b959f2491f736dcb135f7d4d8e1
32,modulatory_causes_pqlc,9100000,rename_physical,reference,true,true,true,true,,true,false,5,2,2,0,1,2,10,1,5cd041668bb0bf6295c836e489aa352b464b8b774ebd1f4a53a3b56c9c400686,73ea82a9c891e0f0ffe60330b095bbbc8d660bab6b03398590a8106afce825b7,cbae5950be6b65080b328a4dbc076593cf2b5b959f2491f736dcb135f7d4d8e1
32,modulatory_causes_pqlc,9100000,rename_physical,production,true,true,true,true,,true,false,5,2,2,0,1,2,10,1,5cd041668bb0bf6295c836e489aa352b464b8b774ebd1f4a53a3b56c9c400686,73ea82a9c891e0f0ffe60330b095bbbc8d660bab6b03398590a8106afce825b7,cbae5950be6b65080b328a4dbc076593cf2b5b959f2491f736dcb135f7d4d8e1
33,modulatory_causes_pqlc,9100000,reverse_cells,reference,true,true,true,true,,true,false,5,2,2,0,1,2,10,1,5cd041668bb0bf6295c836e489aa352b464b8b774ebd1f4a53a3b56c9c400686,73ea82a9c891e0f0ffe60330b095bbbc8d660bab6b03398590a8106afce825b7,cbae5950be6b65080b328a4dbc076593cf2b5b959f2491f736dcb135f7d4d8e1
33,modulatory_causes_pqlc,9100000,reverse_cells,production,true,true,true,true,,true,false,5,2,2,0,1,2,10,1,5cd041668bb0bf6295c836e489aa352b464b8b774ebd1f4a53a3b56c9c400686,73ea82a9c891e0f0ffe60330b095bbbc8d660bab6b03398590a8106afce825b7,cbae5950be6b65080b328a4dbc076593cf2b5b959f2491f736dcb135f7d4d8e1
