family,permutation,mechanics,replay_equal,cross_equal,baseline_equal,expected_firing,physical_work,tick,quiescent,pending,loads,trace_hash,case_pass
parallel_arrows,identity,production,true,true,true,true,20,0,true,0,0,497c4a0b7fa1487e8734738c2a68af657afee695ed4339299efee347f4967f33,true
parallel_arrows,reverse_input,reference,true,true,true,true,20,0,true,0,0,497c4a0b7fa1487e8734738c2a68af657afee695ed4339299efee347f4967f33,true
parallel_arrows,reverse_input,production,true,true,true,true,20,0,true,0,0,497c4a0b7fa1487e8734738c2a68af657afee695ed4339299efee347f4967f33,true
parallel_arrows,reverse_cell_insertion,reference,true,true,true,true,20,0,true,0,0,497c4a0b7fa1487e8734738c2a68af657afee695ed4339299efee347f4967f33,true
parallel_arrows,reverse_cell_insertion,production,true,true,true,true,20,0,true,0,0,497c4a0b7fa1487e8734738c2a68af657afee695ed4339299efee347f4967f33,true
parallel_arrows,reverse_arrow_insertion,reference,true,true,true,true,20,0,true,0,0,497c4a0b7fa1487e8734738c2a68af657afee695ed4339299efee347f4967f33,true
parallel_arrows,reverse_arrow_insertion,production,true,true,true,true,20,0,true,0,0,497c4a0b7fa1487e8734738c2a68af657afee695ed4339299efee347f4967f33,true
parallel_arrows,reverse_physical_names,reference,true,true,true,true,20,0,true,0,0,497c4a0b7fa1487e8734738c2a68af657afee695ed4339299efee347f4967f33,true
parallel_arrows,reverse_physical_names,production,true,true,true,true,20,0,true,0,0,497c4a0b7fa1487e8734738c2a68af657afee695ed4339299efee347f4967f33,true
parallel_arrows,random_physical_names,reference,true,true,true,true,20,0,true,0,0,497c4a0b7fa1487e8734738c2a68af657afee695ed4339299efee347f4967f33,true
parallel_arrows,random_physical_names,production,true,true,true,true,20,0,true,0,0,497c4a0b7fa1487e8734738c2a68af657afee695ed4339299efee347f4967f33,true
zero_delay_chain,identity,reference,true,true,true,true,14,0,true,0,0,0e4fdfbf1dd717a7bf80a50f6c04275dfff66541335ba6908053bdf8893c2dbd,true
zero_delay_chain,identity,production,true,true,true,true,14,0,true,0,0,0e4fdfbf1dd717a7bf80a50f6c04275dfff66541335ba6908053bdf8893c2dbd,true
zero_delay_chain,reverse_input,reference,true,true,true,true,14,0,true,0,0,0e4fdfbf1dd717a7bf80a50f6c04275dfff66541335ba6908053bdf8893c2dbd,true
zero_delay_chain,reverse_input,production,true,true,true,true,14,0,true,0,0,0e4fdfbf1dd717a7bf80a50f6c04275dfff66541335ba6908053bdf8893c2dbd,true
zero_delay_chain,reverse_cell_insertion,reference,true,true,true,true,14,0,true,0,0,0e4fdfbf1dd717a7bf80a50f6c04275dfff66541335ba6908053bdf8893c2dbd,true
zero_delay_chain,reverse_cell_insertion,production,true,true,true,true,14,0,true,0,0,0e4fdfbf1dd717a7bf80a50f6c04275dfff66541335ba6908053bdf8893c2dbd,true
zero_delay_chain,reverse_arrow_insertion,reference,true,true,true,true,14,0,true,0,0,0e4fdfbf1dd717a7bf80a50f6c04275dfff66541335ba6908053bdf8893c2dbd,true
zero_delay_chain,reverse_arrow_insertion,production,true,true,true,true,14,0,true,0,0,0e4fdfbf1dd717a7bf80a50f6c04275dfff66541335ba6908053bdf8893c2dbd,true
zero_delay_chain,reverse_physical_names,reference,true,true,true,true,14,0,true,0,0,0e4fdfbf1dd717a7bf80a50f6c04275dfff66541335ba6908053bdf8893c2dbd,true
zero_delay_chain,reverse_physical_names,production,true,true,true,true,14,0,true,0,0,0e4fdfbf1dd717a7bf80a50f6c04275dfff66541335ba6908053bdf8893c2dbd,true
zero_delay_chain,random_physical_names,reference,true,true,true,true,14,0,true,0,0,0e4fdfbf1dd717a7bf80a50f6c04275dfff66541335ba6908053bdf8893c2dbd,true
zero_delay_chain,random_physical_names,production,true,true,true,true,14,0,true,0,0,0e4fdfbf1dd717a7bf80a50f6c04275dfff66541335ba6908053bdf8893c2dbd,true
zero_delay_fanout_merge,identity,reference,true,true,true,true,37,0,true,0,0,e17e7f8939667ad88d859a1d99164c9eb592a855701f10896c3703038d8369da,true
zero_delay_fanout_merge,identity,production,true,true,true,true,37,0,true,0,0,e17e7f8939667ad88d859a1d99164c9eb592a855701f10896c3703038d8369da,true
zero_delay_fanout_merge,reverse_input,reference,true,true,true,true,37,0,true,0,0,e17e7f8939667ad88d859a1d99164c9eb592a855701f10896c3703038d8369da,true
zero_delay_fanout_merge,reverse_input,production,true,true,true,true,37,0,true,0,0,e17e7f8939667ad88d859a1d99164c9eb592a855701f10896c3703038d8369da,true
zero_delay_fanout_merge,reverse_cell_insertion,reference,true,true,true,true,37,0,true,0,0,e17e7f8939667ad88d859a1d99164c9eb592a855701f10896c3703038d8369da,true
zero_delay_fanout_merge,reverse_cell_insertion,production,true,true,true,true,37,0,true,0,0,e17e7f8939667ad88d859a1d99164c9eb592a855701f10896c3703038d8369da,true
zero_delay_fanout_merge,reverse_arrow_insertion,reference,true,true,true,true,37,0,true,0,0,e17e7f8939667ad88d859a1d99164c9eb592a855701f10896c3703038d8369da,true
zero_delay_fanout_merge,reverse_arrow_insertion,production,true,true,true,true,37,0,true,0,0,e17e7f8939667ad88d859a1d99164c9eb592a855701f10896c3703038d8369da,true
zero_delay_fanout_merge,reverse_physical_names,reference,true,true,true,true,37,0,true,0,0,e17e7f8939667ad88d859a1d99164c9eb592a855701f10896c3703038d8369da,true
zero_delay_fanout_merge,reverse_physical_names,production,true,true,true,true,37,0,true,0,0,e17e7f8939667ad88d859a1d99164c9eb592a855701f10896c3703038d8369da,true
zero_delay_fanout_merge,random_physical_names,reference,true,true,true,true,37,0,true,0,0,e17e7f8939667ad88d859a1d99164c9eb592a855701f10896c3703038d8369da,true
zero_delay_fanout_merge,random_physical_names,production,true,true,true,true,37,0,true,0,0,e17e7f8939667ad88d859a1d99164c9eb592a855701f10896c3703038d8369da,true
zero_delay_cycle,identity,reference,true,true,true,true,21,0,true,0,0,3e452fe12c839101ac304add57a9b7f1562670c34a6fb7f51bfd68f2e5188cd9,true
