arm,seed,suite,scenario,namespace,updates_a,updates_b,resistance_a,resistance_b,coupling_a,coupling_b,live_a,live_b,crossings_a,crossings_b,generations,work,accepts,path_edges,firings,deallocations,bytes,fingerprint,permanent,quiescent,clauses,replay,passed
B,5227,px2,reverse-with-wrong-way-observation,2009111401070592,0,1,0,6,1,2,false,true,0,2,a2|b1,454,2,12,16,1,1088,5753765271678859224,12296355754529951452,true,true|true|true|true|true|true|true|true,true,true
B,5231,dense,unrelated-nearby-no-lawful-return,2009112418189312,1,0,4,1,2,1,true,true,1,0,a1|b1,174,1,3,5,0,2880,15850833488464789431,11031878533213049445,true,false|true|true|true|true|true|true|true,true,false
B,5231,dense,lawful-return-in-dense-world,2009112419237888,1,0,4,1,2,1,true,true,1,0,a1|b1,174,1,3,5,0,2880,12324560192256948299,2814602140251393221,true,true|true|true|true|true|true|true|true,true,true
B,5231,dense,other-candidate-return,2009112420286464,0,0,1,1,1,1,true,true,1,0,a1|b1,171,0,3,5,0,2880,17694447935856862837,13927210377234949975,true,true|true|true|true|true|true|true|true,true,true
B,5231,dense,both-traverse-one-return,2009112421335040,1,0,4,1,2,1,true,true,1,1,a1|b1,319,1,5,9,0,2880,9212792426977095406,8988071578619710341,true,true|true|true|true|true|true|true|true,true,true
B,5231,dense,both-traverse-both-return,2009112422383616,1,1,4,4,2,2,true,true,1,1,a1|b1,370,2,6,10,0,2880,9738957363014402396,9806442450433090603,true,true|true|true|true|true|true|true|true,true,true
B,5231,dense,cross-and-distractors-no-return,2009112423432192,1,0,4,1,2,1,true,true,1,0,a1|b1,1102,1,19,21,0,2880,11879837187714258503,8962544933899420997,true,false|true|true|true|true|true|true|true,true,false
B,5231,dense,lawful-return-with-all-distractors,2009112424480768,1,0,4,1,2,1,true,true,1,0,a1|b1,1102,1,19,21,0,2880,7100245651785854159,9800706440181749605,true,true|true|true|true|true|true|true|true,true,true
B,5231,dense,return-without-candidate,2009112425529344,0,0,1,1,1,1,true,true,0,0,a1|b1,36,0,1,1,0,2880,4426631344623418890,7844525179496748247,true,true|true|true|true|true|true|true|true,true,true
B,5231,dense,late-lawful-return,2009112426577920,0,0,0,1,1,1,false,true,1,0,a2|b1,175,0,3,5,1,2880,4092645194669062257,9330632175089382638,true,true|true|true|true|true|true|true|true,true,true
B,5231,dense,adjacent-renewed-upstream,2009112427626496,0,0,1,1,1,1,true,true,2,0,a1|b1,270,0,4,8,0,2880,875774309868596359,3895238752978942039,true,true|true|true|true|true|true|true|true,true,true
B,5231,px0,acquisition,2009112434966528,0,0,12,0,2,1,true,false,4,0,a1|b2,520,4,12,20,1,1088,17622842290005354115,10799455718143122570,true,true|true|true|true|true|true|true|true,true,true
B,5231,px0,probation,2009112436015104,0,0,0,0,2,1,false,false,1,0,a2|b2,107,1,3,5,2,1088,18224178435284363277,15893982547426499210,true,true|true|true|true|true|true|true|true,true,true
B,5231,px0,stable-return-specificity,2009112437063680,0,0,4,1,2,1,true,true,1,1,a1|b1,175,1,5,9,0,1088,11111690486583413135,10945973022532975144,true,true|true|true|true|true|true|true|true,true,true
B,5231,px0,forgetting,2009112438112256,0,0,0,0,2,1,false,false,4,0,a2|b2,538,4,12,20,2,1088,9352725321438220649,18035240360909584379,true,true|true|true|true|true|true|true|true,true,true
B,5231,px0,fresh-reproposal,2009112439160832,0,0,4,0,2,0,true,false,5,0,old2|fresh6,97,2,3,6,1,672,80331333885387268,13793968553089343525,true,true|true|true|true|true|true|true|true,true,true
B,5231,px0,reacquisition,2009112440209408,0,0,11,0,2,0,true,false,15,0,old2|fresh6,342,8,10,16,1,672,2592021611997584511,6053798322114096160,true,true|true|true|true|true|true|true|true,true,true
B,5231,px1,support-a,2009112451743744,1,0,7,1,2,1,true,true,2,0,a1|b1,212,2,6,10,0,1088,18161299842515144203,12182737535321472878,true,true|true|true|true|true|true|true|true,true,true
B,5231,px1,support-b,2009112452792320,0,1,1,7,1,2,true,true,0,2,a1|b1,212,2,6,10,0,1088,14044169447528831827,165064012626951574,true,true|true|true|true|true|true|true|true,true,true
B,5231,px1,no-support,2009112453840896,0,0,1,1,1,1,true,true,0,0,a1|b1,0,0,0,0,0,1088,14881461626492259050,10963086225568398378,true,true|true|true|true|true|true|true|true,true,true
B,5231,px1,participation-return-blocked,2009112454889472,0,0,0,1,1,1,false,true,1,0,a2|b1,131,0,4,7,1,1088,7291608762514501360,17680402140352427115,true,true|true|true|true|true|true|true|true,true,true
B,5231,px1,return-without-participation,2009112455938048,0,0,1,1,1,1,true,true,0,0,a1|b1,43,0,2,2,0,1088,6271607856946513276,11209981356306821637,true,true|true|true|true|true|true|true|true,true,true
B,5231,px1,joint-participation,2009112456986624,1,1,7,7,2,2,true,true,2,2,a1|b1,510,4,12,20,0,1088,109385332348072897,5746722837311226110,true,true|true|true|true|true|true|true|true,true,true
B,5231,px2,forward-traversal-return,2009112468520960,1,0,7,1,2,1,true,true,2,0,a1|b1,212,2,6,10,0,1088,16638771112662518391,1732585649909257830,true,true|true|true|true|true|true|true|true,true,true
B,5231,px2,reverse-traversal-return,2009112469569536,0,1,1,7,1,2,true,true,0,2,a1|b1,212,2,6,10,0,1088,16593234796970283867,16063480930745930750,true,true|true|true|true|true|true|true|true,true,true
B,5231,px2,correlation-without-traversal,2009112470618112,0,0,0,0,1,1,false,false,0,0,a2|b2,382,0,12,12,2,1088,16266585450059250707,6252413949471369186,true,true|true|true|true|true|true|true|true,true,true
B,5231,px2,forward-return-blocked,2009112471666688,0,0,0,1,1,1,false,true,1,0,a2|b1,131,0,4,7,1,1088,9313007246392535636,13154258808565323091,true,true|true|true|true|true|true|true|true,true,true
B,5231,px2,joint-traversal-return,2009112472715264,1,1,7,7,2,2,true,true,2,2,a1|b1,510,4,12,20,0,1088,12289206696088551149,16523368724703170014,true,true|true|true|true|true|true|true|true,true,true
B,5231,px2,forward-with-wrong-way-observation,2009112473763840,1,0,6,0,2,1,true,false,2,0,a1|b2,454,2,12,16,1,1088,14203821823621152258,15835434611256942752,true,true|true|true|true|true|true|true|true,true,true
B,5231,px2,reverse-with-wrong-way-observation,2009112474812416,0,1,0,6,1,2,false,true,0,2,a2|b1,454,2,12,16,1,1088,17307367617928843352,2142982182762098524,true,true|true|true|true|true|true|true|true,true,true
