row_type,protocol,mode,claim_eligible,passed,arm,seed_index,depth,correct,total,explicit_answers,queues_empty,activity_limit_hits,role_transfer_correct,role_transfer_total,false_bindings,ambiguous_bindings,fresh_lower_identities,fresh_activity_sources,expected_reflected_firings,used_reflected_arrows,bindings_erased,immutable_state_unchanged,permanent_fingerprint_unchanged,runtime_total,invocations,state_installations,provenance_events,provenance_relations,role_activations,reflected_arrow_evaluations,reflected_arrow_firings,binding_deliveries,direct_arrow_evaluations,direct_arrow_firings,direct_executor_calls,pre_resolved_routes,fallback_calls,oracle_calls,recognition_comparisons,binding_writes,binding_reads,failed_dereferences,cell_location_comparisons,lower_cells,spikes_enqueued,spikes_dequeued,queue_checks,relation_scans,identity_comparisons,current_updates,finishes,first_roles,first_success,competence,parity,acquisition_work,permanent_bytes,learned_roles,correct_arrows,gate,gate_status,workspaces_created,workspaces_destroyed,maximum_live_workspaces_per_cell,parallel_cells
runtime,reflected-grounding-rg0a-v1,definitive,true,true,shuffled-bindings,6,32,0,16,false,true,0,0,0,0,0,true,true,true,4,true,true,true,2497,16,16,208,208,160,109,10,10,0,0,0,0,0,0,880,320,31,11,182,44,44,44,44,80,80,0,0,,,,,,,,,,,,,,
runtime,reflected-grounding-rg0a-v1,definitive,true,true,activity-only-grounding,6,32,0,16,false,true,0,0,0,160,0,true,true,true,0,true,true,true,464,16,16,160,0,0,0,0,0,0,0,0,0,0,0,0,0,16,16,112,32,32,32,32,0,0,0,0,,,,,,,,,,,,,,
runtime,reflected-grounding-rg0a-v1,definitive,true,true,random-reflected-program,6,32,0,16,false,true,0,0,0,0,0,true,true,true,1,true,true,true,2336,16,16,208,208,160,16,16,16,0,0,0,0,0,0,880,320,32,0,256,48,48,48,48,0,0,0,0,,,,,,,,,,,,,,
runtime,reflected-grounding-rg0a-v1,definitive,true,true,shuffled-terminal-program,6,32,0,16,false,true,0,0,0,0,0,true,true,true,0,true,true,true,2208,16,16,208,208,160,128,0,0,0,0,0,0,0,0,880,320,16,16,112,32,32,32,32,0,0,0,0,,,,,,,,,,,,,,
runtime,reflected-grounding-rg0a-v1,definitive,true,true,oracle-binding-program,6,32,16,16,true,true,0,0,0,0,0,true,true,true,4,true,true,true,75136,16,16,208,208,0,1568,1568,1568,0,0,0,0,0,16,0,320,3136,0,11136,3152,3152,3152,3152,21120,21120,512,16,,,,,,,,,,,,,,
runtime,reflected-grounding-rg0a-v1,definitive,true,true,concrete,6,64,16,16,true,true,0,0,0,0,0,true,true,true,0,true,true,true,203840,16,16,0,0,0,0,0,0,3104,3104,16,0,0,0,0,0,0,0,21888,6224,6224,6224,6224,74880,74880,1024,16,,,,,,,,,,,,,,
runtime,reflected-grounding-rg0a-v1,definitive,true,true,grounded-reflected,6,64,16,16,true,true,0,160,160,0,0,true,true,true,4,true,true,true,214912,16,16,208,208,160,3104,3104,3104,0,0,0,0,0,0,880,320,6208,0,21888,6224,6224,6224,6224,74880,74880,1024,16,,,,,,,,,,,,,,
runtime,reflected-grounding-rg0a-v1,definitive,true,true,no-bindings,6,64,0,16,false,true,0,0,0,160,0,true,true,true,0,true,true,true,1920,16,16,208,208,160,0,0,0,0,0,0,0,0,0,880,160,16,16,112,32,32,32,32,0,0,0,0,,,,,,,,,,,,,,
runtime,reflected-grounding-rg0a-v1,definitive,true,true,shuffled-bindings,6,64,0,16,false,true,1,0,0,0,0,true,true,true,4,true,true,true,18411,16,16,208,208,160,880,808,808,0,0,0,0,0,0,880,320,1624,8,5767,1640,1640,1640,1640,72,72,0,4,,,,,,,,,,,,,,
runtime,reflected-grounding-rg0a-v1,definitive,true,true,activity-only-grounding,6,64,0,16,false,true,0,0,0,160,0,true,true,true,0,true,true,true,464,16,16,160,0,0,0,0,0,0,0,0,0,0,0,0,0,16,16,112,32,32,32,32,0,0,0,0,,,,,,,,,,,,,,
runtime,reflected-grounding-rg0a-v1,definitive,true,true,random-reflected-program,6,64,0,16,false,true,0,0,0,0,0,true,true,true,1,true,true,true,2336,16,16,208,208,160,16,16,16,0,0,0,0,0,0,880,320,32,0,256,48,48,48,48,0,0,0,0,,,,,,,,,,,,,,
runtime,reflected-grounding-rg0a-v1,definitive,true,true,shuffled-terminal-program,6,64,0,16,false,true,0,0,0,0,0,true,true,true,0,true,true,true,2208,16,16,208,208,160,128,0,0,0,0,0,0,0,0,880,320,16,16,112,32,32,32,32,0,0,0,0,,,,,,,,,,,,,,
runtime,reflected-grounding-rg0a-v1,definitive,true,true,oracle-binding-program,6,64,16,16,true,true,0,0,0,0,0,true,true,true,4,true,true,true,213888,16,16,208,208,0,3104,3104,3104,0,0,0,0,0,16,0,320,6208,0,21888,6224,6224,6224,6224,74880,74880,1024,16,,,,,,,,,,,,,,
runtime,reflected-grounding-rg0a-v1,definitive,true,true,concrete,6,128,16,16,true,true,0,0,0,0,0,true,true,true,0,true,true,true,668736,16,16,0,0,0,0,0,0,6176,6176,16,0,0,0,0,0,0,0,43392,12368,12368,12368,12368,280704,280704,2048,16,,,,,,,,,,,,,,
runtime,reflected-grounding-rg0a-v1,definitive,true,true,grounded-reflected,6,128,16,16,true,true,0,160,160,0,0,true,true,true,4,true,true,true,689024,16,16,208,208,160,6176,6176,6176,0,0,0,0,0,0,880,320,12352,0,43392,12368,12368,12368,12368,280704,280704,2048,16,,,,,,,,,,,,,,
runtime,reflected-grounding-rg0a-v1,definitive,true,true,no-bindings,6,128,0,16,false,true,0,0,0,160,0,true,true,true,0,true,true,true,1920,16,16,208,208,160,0,0,0,0,0,0,0,0,0,880,160,16,16,112,32,32,32,32,0,0,0,0,,,,,,,,,,,,,,
runtime,reflected-grounding-rg0a-v1,definitive,true,true,shuffled-bindings,6,128,0,16,false,true,2,0,0,0,0,true,true,true,4,true,true,true,34211,16,16,208,208,160,1677,1605,1605,0,0,0,0,0,0,880,320,3218,8,11347,3235,3235,3235,3235,0,0,0,3,,,,,,,,,,,,,,
runtime,reflected-grounding-rg0a-v1,definitive,true,true,activity-only-grounding,6,128,0,16,false,true,0,0,0,160,0,true,true,true,0,true,true,true,464,16,16,160,0,0,0,0,0,0,0,0,0,0,0,0,0,16,16,112,32,32,32,32,0,0,0,0,,,,,,,,,,,,,,
runtime,reflected-grounding-rg0a-v1,definitive,true,true,random-reflected-program,6,128,0,16,false,true,0,0,0,0,0,true,true,true,1,true,true,true,2336,16,16,208,208,160,16,16,16,0,0,0,0,0,0,880,320,32,0,256,48,48,48,48,0,0,0,0,,,,,,,,,,,,,,
runtime,reflected-grounding-rg0a-v1,definitive,true,true,shuffled-terminal-program,6,128,0,16,false,true,0,0,0,0,0,true,true,true,0,true,true,true,2208,16,16,208,208,160,128,0,0,0,0,0,0,0,0,880,320,16,16,112,32,32,32,32,0,0,0,0,,,,,,,,,,,,,,
runtime,reflected-grounding-rg0a-v1,definitive,true,true,oracle-binding-program,6,128,16,16,true,true,0,0,0,0,0,true,true,true,4,true,true,true,688000,16,16,208,208,0,6176,6176,6176,0,0,0,0,0,16,0,320,12352,0,43392,12368,12368,12368,12368,280704,280704,2048,16,,,,,,,,,,,,,,
