row_type,protocol,mode,claim_eligible,rc0b_a,rc0b_b,arm,seed,depth,correct,total,trace_matches,endpoint_matches,motif_firings,eliminated_relays,eliminated_routes,work_less_than_full,total_work,interruption_reentry_work
result,grounded-motif-substitution-rc0b-v1,definitive,true,true,true,subthreshold-evidence,4,128,16,16,16,16,0,0,0,true,674576,0
result,grounded-motif-substitution-rc0b-v1,definitive,true,true,true,shuffled-recurrence-evidence,4,128,16,16,16,16,0,0,0,true,674608,0
result,grounded-motif-substitution-rc0b-v1,definitive,true,true,true,no-bindings,4,128,0,16,16,16,0,0,0,true,5568,0
result,grounded-motif-substitution-rc0b-v1,definitive,true,true,true,concrete-reference,5,5,16,16,16,16,0,0,0,true,7488,0
result,grounded-motif-substitution-rc0b-v1,definitive,true,true,true,full-rc0a,5,5,16,16,16,16,0,0,0,true,13312,0
result,grounded-motif-substitution-rc0b-v1,definitive,true,true,true,motif-substitute,5,5,16,16,16,16,256,256,256,true,12368,0
result,grounded-motif-substitution-rc0b-v1,definitive,true,true,true,changed-surroundings,5,5,16,16,16,16,256,256,256,true,12792,0
result,grounded-motif-substitution-rc0b-v1,definitive,true,true,true,interruption-reentry,5,5,16,16,16,16,256,256,256,true,12368,84576
result,grounded-motif-substitution-rc0b-v1,definitive,true,true,true,context-effect-invalidation,5,5,16,16,16,16,0,0,0,true,13680,0
result,grounded-motif-substitution-rc0b-v1,definitive,true,true,true,forced-stale-same-endpoint,5,5,16,16,0,16,256,256,256,true,12368,0
result,grounded-motif-substitution-rc0b-v1,definitive,true,true,true,rc0a-parent-invalidation,5,5,16,16,16,16,0,0,0,true,11872,0
result,grounded-motif-substitution-rc0b-v1,definitive,true,true,true,subthreshold-evidence,5,5,16,16,16,16,0,0,0,true,13328,0
result,grounded-motif-substitution-rc0b-v1,definitive,true,true,true,shuffled-recurrence-evidence,5,5,16,16,16,16,0,0,0,true,13360,0
result,grounded-motif-substitution-rc0b-v1,definitive,true,true,true,no-bindings,5,5,0,16,16,16,0,0,0,true,5568,0
result,grounded-motif-substitution-rc0b-v1,definitive,true,true,true,concrete-reference,5,8,16,16,16,16,0,0,0,true,12096,0
result,grounded-motif-substitution-rc0b-v1,definitive,true,true,true,full-rc0a,5,8,16,16,16,16,0,0,0,true,17920,0
result,grounded-motif-substitution-rc0b-v1,definitive,true,true,true,motif-substitute,5,8,16,16,16,16,400,400,400,true,15968,0
result,grounded-motif-substitution-rc0b-v1,definitive,true,true,true,changed-surroundings,5,8,16,16,16,16,400,400,400,true,16458,0
result,grounded-motif-substitution-rc0b-v1,definitive,true,true,true,interruption-reentry,5,8,16,16,16,16,400,400,400,true,15968,157968
result,grounded-motif-substitution-rc0b-v1,definitive,true,true,true,context-effect-invalidation,5,8,16,16,16,16,0,0,0,true,18336,0
result,grounded-motif-substitution-rc0b-v1,definitive,true,true,true,forced-stale-same-endpoint,5,8,16,16,0,16,400,400,400,true,15968,0
result,grounded-motif-substitution-rc0b-v1,definitive,true,true,true,rc0a-parent-invalidation,5,8,16,16,16,16,0,0,0,true,17296,0
result,grounded-motif-substitution-rc0b-v1,definitive,true,true,true,subthreshold-evidence,5,8,16,16,16,16,0,0,0,true,17936,0
