row_type,protocol,mode,claim_eligible,passed,workload,seed,depth,view,price_micros,uses_per_cycle,acquisition_work,installation_work,retained_bytes,maintenance_per_cycle,concrete_per_cycle,motif_per_cycle,gain_micros,break_even_cycles,break_even_invocations,horizon_cycles,horizon_invocations,delta_cost_micros,gate,gate_status
economics,reflected-compaction-economics-re0-v1,definitive,true,true,exclusive-depth,1,16,full-stack-from-blank,0,1,4455874,0,6916,0,1700,1774,-74000000,,,,,,,
economics,reflected-compaction-economics-re0-v1,definitive,true,true,exclusive-depth,1,32,full-stack-from-blank,0,1,4455874,0,6916,0,4356,4094,262000000,17008,17008,,,,,
economics,reflected-compaction-economics-re0-v1,definitive,true,true,exclusive-depth,1,64,full-stack-from-blank,0,1,4455874,0,6916,0,12740,11806,934000000,4771,4771,,,,,
economics,reflected-compaction-economics-re0-v1,definitive,true,true,exclusive-depth,1,128,full-stack-from-blank,0,1,4455874,0,6916,0,41796,39518,2278000000,1957,1957,,,,,
economics,reflected-compaction-economics-re0-v1,definitive,true,true,balanced-six-depth-cycle,1,,full-stack-from-blank,0,6,4455874,0,6916,0,61816,58963,2853000000,1562,9372,,,,,
economics,reflected-compaction-economics-re0-v1,definitive,true,true,exclusive-depth,1,5,full-stack-from-blank,1,1,4455874,0,6916,0,468,773,-305006916,,,,,,,
economics,reflected-compaction-economics-re0-v1,definitive,true,true,exclusive-depth,1,8,full-stack-from-blank,1,1,4455874,0,6916,0,756,998,-242006916,,,,,,,
economics,reflected-compaction-economics-re0-v1,definitive,true,true,exclusive-depth,1,16,full-stack-from-blank,1,1,4455874,0,6916,0,1700,1774,-74006916,,,,,,,
economics,reflected-compaction-economics-re0-v1,definitive,true,true,exclusive-depth,1,32,full-stack-from-blank,1,1,4455874,0,6916,0,4356,4094,261993084,17008,17008,,,,,
economics,reflected-compaction-economics-re0-v1,definitive,true,true,exclusive-depth,1,64,full-stack-from-blank,1,1,4455874,0,6916,0,12740,11806,933993084,4771,4771,,,,,
economics,reflected-compaction-economics-re0-v1,definitive,true,true,exclusive-depth,1,128,full-stack-from-blank,1,1,4455874,0,6916,0,41796,39518,2277993084,1957,1957,,,,,
economics,reflected-compaction-economics-re0-v1,definitive,true,true,balanced-six-depth-cycle,1,,full-stack-from-blank,1,6,4455874,0,6916,0,61816,58963,2852958504,1562,9372,,,,,
economics,reflected-compaction-economics-re0-v1,definitive,true,true,exclusive-depth,1,5,full-stack-from-blank,10,1,4455874,0,6916,0,468,773,-305069160,,,,,,,
economics,reflected-compaction-economics-re0-v1,definitive,true,true,exclusive-depth,1,8,full-stack-from-blank,10,1,4455874,0,6916,0,756,998,-242069160,,,,,,,
economics,reflected-compaction-economics-re0-v1,definitive,true,true,exclusive-depth,1,16,full-stack-from-blank,10,1,4455874,0,6916,0,1700,1774,-74069160,,,,,,,
economics,reflected-compaction-economics-re0-v1,definitive,true,true,exclusive-depth,1,32,full-stack-from-blank,10,1,4455874,0,6916,0,4356,4094,261930840,17012,17012,,,,,
economics,reflected-compaction-economics-re0-v1,definitive,true,true,exclusive-depth,1,64,full-stack-from-blank,10,1,4455874,0,6916,0,12740,11806,933930840,4772,4772,,,,,
economics,reflected-compaction-economics-re0-v1,definitive,true,true,exclusive-depth,1,128,full-stack-from-blank,10,1,4455874,0,6916,0,41796,39518,2277930840,1957,1957,,,,,
economics,reflected-compaction-economics-re0-v1,definitive,true,true,balanced-six-depth-cycle,1,,full-stack-from-blank,10,6,4455874,0,6916,0,61816,58963,2852585040,1563,9378,,,,,
economics,reflected-compaction-economics-re0-v1,definitive,true,true,exclusive-depth,1,5,full-stack-from-blank,100,1,4455874,0,6916,0,468,773,-305691600,,,,,,,
economics,reflected-compaction-economics-re0-v1,definitive,true,true,exclusive-depth,1,8,full-stack-from-blank,100,1,4455874,0,6916,0,756,998,-242691600,,,,,,,
economics,reflected-compaction-economics-re0-v1,definitive,true,true,exclusive-depth,1,16,full-stack-from-blank,100,1,4455874,0,6916,0,1700,1774,-74691600,,,,,,,
economics,reflected-compaction-economics-re0-v1,definitive,true,true,exclusive-depth,1,32,full-stack-from-blank,100,1,4455874,0,6916,0,4356,4094,261308400,17053,17053,,,,,
