category,layer,path,line,match
"typed_episode","PX8","src/post_m7_ds5_closure_emission.rs",837,"episode"
"typed_episode","PX8","src/post_m7_ds5_closure_emission.rs",852,"episode"
"typed_history","PX4","src/ds6_cumulative_lifetime_probe.rs",907,"history"
"typed_history","PX4","src/ds6_cumulative_lifetime_probe.rs",916,"history"
"typed_history","PX6","src/ds8_cumulative_semantic_credit_probe.rs",698,"histories"
"typed_history","PX7","src/post_m6_ds4_arrival_initiation.rs",879,"history"
"typed_history","PX8","src/post_m7_ds5_closure_emission.rs",1004,"history"
"typed_history","PX8","src/post_m7_ds5_closure_emission.rs",578,"history"
"typed_history","PX8","src/post_m7_ds5_closure_emission.rs",582,"history"
"typed_layer_handoff","PX4","src/ds6_cumulative_lifetime_probe.rs",756,"frozen_m3"
"typed_layer_handoff","PX4","src/ds6_cumulative_lifetime_probe.rs",765,"frozen_m3"
"typed_layer_handoff","PX4","src/ds6_cumulative_lifetime_probe.rs",786,"frozen_m3"
"typed_layer_handoff","PX4","src/ds6_cumulative_lifetime_probe.rs",846,"frozen_m3"
"typed_layer_handoff","PX4","src/ds6_cumulative_lifetime_probe.rs",847,"frozen_m3"
"typed_layer_handoff","PX4","src/ds6_cumulative_lifetime_probe.rs",897,"frozen_m3"
"typed_layer_handoff","PX4","src/ds6_cumulative_lifetime_probe.rs",898,"frozen_m3"
"typed_layer_handoff","PX4","src/ds6_cumulative_lifetime_probe.rs",942,"frozen_m3"
"typed_layer_handoff","PX5","src/ds7_cumulative_plasticity_allocation_gate.rs",10,"FROZEN_HANDOFF_SHA256"
"typed_layer_handoff","PX5","src/ds7_cumulative_plasticity_allocation_gate.rs",346,"FROZEN_HANDOFF_SHA256"
"typed_layer_handoff","PX5","src/ds7_cumulative_plasticity_allocation_gate.rs",352,"frozen_m4"
"typed_layer_handoff","PX5","src/ds7_cumulative_plasticity_targeting_probe.rs",427,"frozen_m4"
