stage,seed,depth,history,states,physical_sides,handles,complete,structurally_valid,naturally_quiescent,duplicate_exact,one_propagation,permanent_fingerprint,start_fingerprint,trace_fingerprint,end_fingerprint,work,cell_distinct,cell_trace_distinct,cell_passed
GATE,2220000000,32,36,01313232020101313232020101313232,00100100100100100100100100100100,00100100100100100100100100100100,true,true,true,true,true,1472397318350443975,12805291819203383982,10117376404644861118,4441956524604323165,1106836,64,64,true
GATE,2220000000,32,37,02020102020102020102020102020102,10100110100110100110100110100110,10100110100110100110100110100110,true,true,true,true,true,1472397318350443975,486780567303864046,17512942822318148738,10014689302967152849,1106884,64,64,true
GATE,2220000000,32,38,01020101020101020101020101020101,01100101100101100101100101100101,01100101100101100101100101100101,true,true,true,true,true,1472397318350443975,6736061490300320430,11315918558396036875,3848533100295709529,1106896,64,64,true
GATE,2220000000,32,39,02313231020102313231020102313231,11100111100111100111100111100111,11100111100111100111100111100111,true,true,true,true,true,1472397318350443975,13909834508080593486,5717352822726771938,12071344281118419885,1106836,64,64,true
GATE,2220000000,32,40,01323232010101323232010101323232,00010100010100010100010100010100,00010100010100010100010100010100,true,true,true,true,true,1472397318350443975,3394878261862451118,16695273434083644604,17480179135139534889,1106834,64,64,true
GATE,2220000000,32,41,02010102010102010102010102010102,10010110010110010110010110010110,10010110010110010110010110010110,true,true,true,true,true,1472397318350443975,17292811063767122414,15153498023456001916,12194195512301870881,1106894,64,64,true
GATE,2220000000,32,42,01010101010101010101010101010101,01010101010101010101010101010101,01010101010101010101010101010101,true,true,true,true,true,1472397318350443975,9701015987820860814,4692874596396313473,6009917448484542249,1106906,64,64,true
GATE,2220000000,32,43,02323231010102323231010102323231,11010111010111010111010111010111,11010111010111010111010111010111,true,true,true,true,true,1472397318350443975,36552713916075438,14217657938286678980,5474897573820885977,1106834,64,64,true
GATE,2220000000,32,44,01310101310101310101310101310101,00110100110100110100110100110100,00110100110100110100110100110100,true,true,true,true,true,1472397318350443975,2724837525344518062,272269752650173002,3969359313344231137,1106876,64,64,true
GATE,2220000000,32,45,02023231310102023231310102023231,10110110110110110110110110110110,10110110110110110110110110110110,true,true,true,true,true,1472397318350443975,13237873004304827918,3037335940406904177,11955901051848978357,1106840,64,64,true
GATE,2220000000,32,46,01023232310101023232310101023232,01110101110101110101110101110101,01110101110101110101110101110101,true,true,true,true,true,1472397318350443975,10976924677732836974,6439925154082407825,18003059233304304765,1106840,64,64,true
GATE,2220000000,32,47,02310102310102310102310102310102,11110111110111110111110111110111,11110111110111110111110111110111,true,true,true,true,true,1472397318350443975,4367489362655115566,17107636843620530083,10360968210932618833,1106864,64,64,true
GATE,2220000000,32,48,01320232013101320232013101320232,00001100001100001100001100001100,00001100001100001100001100001100,true,true,true,true,true,1472397318350443975,8664388688143689390,6134651653951253657,17049049663857711165,1106840,64,64,true
GATE,2220000000,32,49,02013102013102013102013102013102,10001110001110001110001110001110,10001110001110001110001110001110,true,true,true,true,true,1472397318350443975,220465485255852414,1536024799680642839,3094780270834540021,1106864,64,64,true
GATE,2220000000,32,50,01013101013101013101013101013101,01001101001101001101001101001101,01001101001101001101001101001101,true,true,true,true,true,1472397318350443975,10778746710668439246,17720092068274507642,17439233374147942189,1106876,64,64,true
GATE,2220000000,32,51,02320231013102320231013102320231,11001111001111001111001111001111,11001111001111001111001111001111,true,true,true,true,true,1472397318350443975,15878478581559042558,12163809765565721841,6759733097412210381,1106840,64,64,true
GATE,2220000000,32,52,01313101313101313101313101313101,00101100101100101100101100101100,00101100101100101100101100101100,true,true,true,true,true,1472397318350443975,5222354782935924574,2583132786715028601,9240537185463357685,1106846,64,64,true
GATE,2220000000,32,53,02020231313102020231313102020231,10101110101110101110101110101110,10101110101110101110101110101110,true,true,true,true,true,1472397318350443975,11704130439480820366,11894709541135326364,3868374864859810521,1106846,64,64,true
GATE,2220000000,32,54,01020232313101020232313101020232,01101101101101101101101101101101,01101101101101101101101101101101,true,true,true,true,true,1472397318350443975,13351506612083240926,10556704946958580168,16752350361960162977,1106846,64,64,true
GATE,2220000000,32,55,02313102313102313102313102313102,11101111101111101111101111101111,11101111101111101111101111101111,true,true,true,true,true,1472397318350443975,13135776634061024558,5044558837343397508,8353831663053028725,1106834,64,64,true
GATE,2220000000,32,56,01323101323101323101323101323101,00011100011100011100011100011100,00011100011100011100011100011100,true,true,true,true,true,1472397318350443975,7943979843824283838,12113734775556622700,17686380073125501777,1106836,64,64,true
GATE,2220000000,32,57,02010231323102010231323102010231,10011110011110011110011110011110,10011110011110011110011110011110,true,true,true,true,true,1472397318350443975,8328856147224829102,1611267988032002229,12342682240457022617,1106848,64,64,true
GATE,2220000000,32,58,01010232323101010232323101010232,01011101011101011101011101011101,01011101011101011101011101011101,true,true,true,true,true,1472397318350443975,17144363123006166718,2833224380133397009,946051986568826321,1106848,64,64,true
GATE,2220000000,32,59,02323102323102323102323102323102,11011111011111011111011111011111,11011111011111011111011111011111,true,true,true,true,true,1472397318350443975,7790439181097981070,12067484638017443573,13446872558241619505,1106824,64,64,true
GATE,2220000000,32,60,01310232023101310232023101310232,00111100111100111100111100111100,00111100111100111100111100111100,true,true,true,true,true,1472397318350443975,7152528074836157534,12563367990360244785,15707578000845254513,1106842,64,64,true
GATE,2220000000,32,61,02023102023102023102023102023102,10111110111110111110111110111110,10111110111110111110111110111110,true,true,true,true,true,1472397318350443975,10241814942367822894,10644551022162738419,14112727920234280053,1106854,64,64,true
GATE,2220000000,32,62,01023101023101023101023101023101,01111101111101111101111101111101,01111101111101111101111101111101,true,true,true,true,true,1472397318350443975,11754580628531815614,12578764553835331570,18207084345743773965,1106866,64,64,true
GATE,2220000000,32,63,02310231023102310231023102310231,11111111111111111111111111111111,11111111111111111111111111111111,true,true,true,true,true,1472397318350443975,15270255264554687790,7197239389426153245,7082498785278875105,1106842,64,64,true
GATE,2220000001,32,0,01320132013201320132013201320132,00000000000000000000000000000000,00000000000000000000000000000000,true,true,true,true,true,17310742015526929172,1666274126133846254,11102032335344697542,14271763050836081124,1106842,64,64,true
GATE,2220000001,32,1,02013202013202013202013202013202,10000010000010000010000010000010,10000010000010000010000010000010,true,true,true,true,true,17310742015526929172,13795323744103394550,18024285308998024803,7365688055659721632,1106854,64,64,true
GATE,2220000001,32,2,01013201013201013201013201013201,01000001000001000001000001000001,01000001000001000001000001000001,true,true,true,true,true,17310742015526929172,13721697342385530134,4480801972100232846,4684726505956743780,1106866,64,64,true
GATE,2220000001,32,3,02320131013202320131013202320131,11000011000011000011000011000011,11000011000011000011000011000011,true,true,true,true,true,17310742015526929172,17998865433979141614,13633836458589784045,17413444862989932688,1106842,64,64,true
GATE,2220000001,32,4,01313201313201313201313201313201,00100000100000100000100000100000,00100000100000100000100000100000,true,true,true,true,true,17310742015526929172,778470348077000410,9037609467603067121,3517272611768414004,1106836,64,64,true
GATE,2220000001,32,5,02020131313202020131313202020131,10100010100010100010100010100010,10100010100010100010100010100010,true,true,true,true,true,17310742015526929172,11647172526598740466,3460110080435010092,5858250973995626148,1106848,64,64,true
GATE,2220000001,32,6,01020132313201020132313201020132,01100001100001100001100001100001,01100001100001100001100001100001,true,true,true,true,true,17310742015526929172,8389019610490933266,14728029987827869462,17157301281471771960,1106848,64,64,true
GATE,2220000001,32,7,02313202313202313202313202313202,11100011100011100011100011100011,11100011100011100011100011100011,true,true,true,true,true,17310742015526929172,11432212159760201146,11742580631774309969,15054471257229115408,1106824,64,64,true
GATE,2220000001,32,8,01323201323201323201323201323201,00010000010000010000010000010000,00010000010000010000010000010000,true,true,true,true,true,17310742015526929172,12072597680025431086,1343399784760348484,13576606161239430096,1106826,64,64,true
GATE,2220000001,32,9,02010131323202010131323202010131,10010010010010010010010010010010,10010010010010010010010010010010,true,true,true,true,true,17310742015526929172,18336565049965674934,7716543298055571544,6276117198982358532,1106850,64,64,true
GATE,2220000001,32,10,01010132323201010132323201010132,01010001010001010001010001010001,01010001010001010001010001010001,true,true,true,true,true,17310742015526929172,7962574864697984486,1406272981389034274,12345831723276530536,1106850,64,64,true
GATE,2220000001,32,11,02323202323202323202323202323202,11010011010011010011010011010011,11010011010011010011010011010011,true,true,true,true,true,17310742015526929172,8331354873547894078,9459333762370890912,3924544743352933084,1106814,64,64,true
GATE,2220000001,32,12,01310132023201310132023201310132,00110000110000110000110000110000,00110000110000110000110000110000,true,true,true,true,true,17310742015526929172,13605309112998550730,763534281506567620,9225269434622098248,1106844,64,64,true
GATE,2220000001,32,13,02023202023202023202023202023202,10110010110010110010110010110010,10110010110010110010110010110010,true,true,true,true,true,17310742015526929172,12820984202487027330,5652050402260766748,3071074194258783728,1106844,64,64,true
GATE,2220000001,32,14,01023201023201023201023201023201,01110001110001110001110001110001,01110001110001110001110001110001,true,true,true,true,true,17310742015526929172,18429886532246872178,3748095015664954677,3294791420904500132,1106856,64,64,true
GATE,2220000001,32,15,02310131023202310131023202310131,11110011110011110011110011110011,11110011110011110011110011110011,true,true,true,true,true,17310742015526929172,18175725895052711354,1884217855619965903,12788884498595161108,1106844,64,64,true
GATE,2220000001,32,16,01320201320201320201320201320201,00001000001000001000001000001000,00001000001000001000001000001000,true,true,true,true,true,17310742015526929172,6818436762805889194,4235595656898061673,15613599883648577364,1106856,64,64,true
GATE,2220000001,32,17,02013131320202013131320202013131,10001010001010001010001010001010,10001010001010001010001010001010,true,true,true,true,true,17310742015526929172,13744621055430668834,16930065783055562675,14943474792397732384,1106844,64,64,true
GATE,2220000001,32,18,01013132320201013132320201013132,01001001001001001001001001001001,01001001001001001001001001001001,true,true,true,true,true,17310742015526929172,9748403915717020466,570297345959693525,548988745670099556,1106844,64,64,true
GATE,2220000001,32,19,02320202320202320202320202320202,11001011001011001011001011001011,11001011001011001011001011001011,true,true,true,true,true,17310742015526929172,18157830840339076058,2878919681464196077,10564871961611915808,1106844,64,64,true
GATE,2220000001,32,20,01313132020201313132020201313132,00101000101000101000101000101000,00101000101000101000101000101000,true,true,true,true,true,17310742015526929172,18199053702422356854,8785615045331229451,16315780907641385876,1106838,64,64,true
GATE,2220000001,32,21,02020202020202020202020202020202,10101010101010101010101010101010,10101010101010101010101010101010,true,true,true,true,true,17310742015526929172,2775866026132144286,9704856726027966189,5665911267691641812,1106874,64,64,true
GATE,2220000001,32,22,01020201020201020201020201020201,01101001101001101001101001101001,01101001101001101001101001101001,true,true,true,true,true,17310742015526929172,3455912518456871118,2172772027403194860,18024732054704894664,1106886,64,64,true
GATE,2220000001,32,23,02313131020202313131020202313131,11101011101011101011101011101011,11101011101011101011101011101011,true,true,true,true,true,17310742015526929172,12037113149571059942,12082792281328610944,10811285115058647936,1106838,64,64,true
GATE,2220000001,32,24,01323132010201323132010201323132,00011000011000011000011000011000,00011000011000011000011000011000,true,true,true,true,true,17310742015526929172,3337897622572812778,13118055108324579757,6753424643748977784,1106836,64,64,true
GATE,2220000001,32,25,02010202010202010202010202010202,10011010011010011010011010011010,10011010011010011010011010011010,true,true,true,true,true,17310742015526929172,10215224742562334946,11136208206211741638,5686429207413452092,1106884,64,64,true
GATE,2220000001,32,26,01010201010201010201010201010201,01011001011001011001011001011001,01011001011001011001011001011001,true,true,true,true,true,17310742015526929172,18010627798893226722,6584920299026147167,3448335621099557104,1106896,64,64,true
GATE,2220000001,32,27,02323131010202323131010202323131,11011011011011011011011011011011,11011011011011011011011011011011,true,true,true,true,true,17310742015526929172,5273030427862817610,16768769749670909266,9307963830101517460,1106836,64,64,true
GATE,2220000001,32,28,01310201310201310201310201310201,00111000111000111000111000111000,00111000111000111000111000111000,true,true,true,true,true,17310742015526929172,9015871659718490790,8964385633292298884,2168590065108421040,1106866,64,64,true
GATE,2220000001,32,29,02023131310202023131310202023131,10111010111010111010111010111010,10111010111010111010111010111010,true,true,true,true,true,17310742015526929172,2537519849163277934,16506047863223314499,12100053972862922504,1106842,64,64,true
GATE,2220000001,32,30,01023132310201023132310201023132,01111001111001111001111001111001,01111001111001111001111001111001,true,true,true,true,true,17310742015526929172,5851164227371397006,273946130426469153,6613984679558984652,1106842,64,64,true
GATE,2220000001,32,31,02310202310202310202310202310202,11111011111011111011111011111011,11111011111011111011111011111011,true,true,true,true,true,17310742015526929172,5976943916611322118,5040253317013494192,4817814063103389980,1106854,64,64,true
GATE,2220000001,32,32,01320101320101320101320101320101,00000100000100000100000100000100,00000100000100000100000100000100,true,true,true,true,true,17310742015526929172,16204876906399581870,889736113700488141,5019744519139883764,1106866,64,64,true
GATE,2220000001,32,33,02013231320102013231320102013231,10000110000110000110000110000110,10000110000110000110000110000110,true,true,true,true,true,17310742015526929172,8696176296827277158,17384494635190484721,15358503872353797944,1106842,64,64,true
GATE,2220000001,32,34,01013232320101013232320101013232,01000101000101000101000101000101,01000101000101000101000101000101,true,true,true,true,true,17310742015526929172,10582823188159764230,10989764143709701219,15429813628051585196,1106842,64,64,true
GATE,2220000001,32,35,02320102320102320102320102320102,11000111000111000111000111000111,11000111000111000111000111000111,true,true,true,true,true,17310742015526929172,1201953828399648526,2193547682230082965,3151478925549032832,1106854,64,64,true
GATE,2220000001,32,36,01313232020101313232020101313232,00100100100100100100100100100100,00100100100100100100100100100100,true,true,true,true,true,17310742015526929172,8029329311460484202,4829588093378661941,15176933135054761708,1106836,64,64,true
GATE,2220000001,32,37,02020102020102020102020102020102,10100110100110100110100110100110,10100110100110100110100110100110,true,true,true,true,true,17310742015526929172,8072723038535911538,13600098186746919101,17664315162237304676,1106884,64,64,true
GATE,2220000001,32,38,01020101020101020101020101020101,01100101100101100101100101100101,01100101100101100101100101100101,true,true,true,true,true,17310742015526929172,15557134371048136818,7383590141498715404,13140239235977618008,1106896,64,64,true
GATE,2220000001,32,39,02313231020102313231020102313231,11100111100111100111100111100111,11100111100111100111100111100111,true,true,true,true,true,17310742015526929172,12820334866458869194,4731903476437023682,6036403513454277992,1106836,64,64,true
GATE,2220000001,32,40,01323232010101323232010101323232,00010100010100010100010100010100,00010100010100010100010100010100,true,true,true,true,true,17310742015526929172,4109857505488465918,2712640775149052431,10723383179315011104,1106834,64,64,true
GATE,2220000001,32,41,02010102010102010102010102010102,10010110010110010110010110010110,10010110010110010110010110010110,true,true,true,true,true,17310742015526929172,16746234883019185590,18172464155888645270,10242633582013660828,1106894,64,64,true
GATE,2220000001,32,42,01010101010101010101010101010101,01010101010101010101010101010101,01010101010101010101010101010101,true,true,true,true,true,17310742015526929172,16845145051142370438,17899600132427418623,4247601645078069584,1106906,64,64,true
GATE,2220000001,32,43,02323231010102323231010102323231,11010111010111010111010111010111,11010111010111010111010111010111,true,true,true,true,true,17310742015526929172,10019402343341780174,16802412154766003916,4241826449942582508,1106834,64,64,true
GATE,2220000001,32,44,01310101310101310101310101310101,00110100110100110100110100110100,00110100110100110100110100110100,true,true,true,true,true,17310742015526929172,15975150399242006954,11512198399527229632,8284092592967180016,1106876,64,64,true
