seed,mirror,reverse_cells,reverse_arrows,spacing,world,namespace,initial_fingerprint,after_trigger_fingerprint,trigger_firings,b_firings,closure_firings,transient_firings,output_firings,positive_arrivals,negative_arrivals,negative_tick,closure_tick,output_tick,trigger_quiescent,final_quiescent,deallocations,complete_fingerprint,permanent_fingerprint,work,storage,duplicate_exact,passed
7,true,true,true,10,b-absent-through-closure,0x648000000,0x88f52d1c57c046d7,0x113cc2f35db942fa,1,0,1,1,1,2,0,-1,2,2,true,true,0,0x5907869b56ac90ba,0x5d78743b115c39f7,46,496,true,true
7,true,true,true,10,b-tick-1-after-trigger,0x648100000,0x9e12f684d0348fc7,0xcf108f616dcf37ca,1,1,1,0,0,2,1,1,2,-1,true,true,0,0x8f3d5e4ad2cfc310,0xb62f2055ab53f7c7,47,496,true,true
7,true,true,true,10,b-tick-2-before-closure,0x648200000,0xd00b20b699f41544,0xb12b7bb602754ad5,1,1,1,0,0,2,1,2,2,-1,true,true,0,0xf4d5f16261a2bc26,0x27491dfea3bd16e4,48,496,true,true
7,true,true,true,10,b-tick-2-after-closure,0x648300000,0x7b8dc6d4cce2538b,0x6fc14eb683a45cf2,1,1,1,1,1,2,1,2,2,2,true,true,0,0xad41d010cc762c1b,0x539ddd1909e7342e,66,496,true,true
7,true,true,true,10,b-tick-3-after-output,0x648400000,0x412bdd8f2610c0a9,0xb58e10b38d72de64,1,1,1,1,1,2,1,3,2,2,true,true,0,0x5f5f4c6172e9f8fd,0x2d50f568cbe49b00,66,496,true,true
7,true,true,true,10,b-blocked,0x648500000,0xa95a7e0a1df0fcc4,0xe5eed3ae8226e175,1,1,1,1,1,2,0,-1,2,2,true,true,0,0x1aaedc994dab4d00,0x5b90404982b8184,56,496,true,true
7,true,true,true,10,b-stale,0x648600000,0xa8e8f1bcb7a8886e,0xafb41f30574cc5f,1,1,1,1,1,2,0,-1,2,2,true,true,1,0xf67ef0ce6eb3cdd7,0xb9e2959c80306c1d,71,496,true,true
8,false,false,false,14,b-absent-through-closure,0x649000000,0xadfc19eef1288606,0x34eaccc46e5856db,1,0,1,1,1,2,0,-1,2,2,true,true,0,0xd76c13bbee43aea7,0x849b96636a456b96,46,496,true,true
8,false,false,false,14,b-tick-1-after-trigger,0x649100000,0xbb2ee60d62249ff6,0xb9b3eaf075dd454b,1,1,1,0,0,2,1,1,2,-1,true,true,0,0x48957aac2c788c4d,0xbcd24d530ca5a666,47,496,true,true
8,false,false,false,14,b-tick-2-before-closure,0x649200000,0xc19e86967bbc7b01,0x52973ab74fbd2930,1,1,1,0,0,2,1,2,2,-1,true,true,0,0x4f70ed2ad75e1f17,0x15d2391ab3f73551,48,496,true,true
8,false,false,false,14,b-tick-2-after-closure,0x649300000,0x4c6e4ba6e29aae22,0xddf07672d0ccf083,1,1,1,1,1,2,1,2,2,2,true,true,0,0xe1690e63710451e,0x918f48b99e562f,66,496,true,true
