seed,stratum,scenario,namespace,schedule_class,arrival_order,first_use_delay,o1_first_observed_dead_wait,correspondence_resistance,directional_live_paths,directional_min_resistance,directional_max_resistance,training_continuation_firings,training_consequence_firings,training_trace_arrivals,training_trace_firings,training_local_returns,training_effects,training_distractor_firings,training_source_refiring,heldout_continuation_firings,heldout_consequence_firings,heldout_trace_arrivals,heldout_trace_firings,heldout_local_returns,heldout_effects,postgap_effects,heldout_source_refiring,postgap_source_refiring,training_quiescent,heldout_quiescent,postgap_quiescent,work,fingerprint,duplicate_exact,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,passed
5,G1,forward-participation,0x592000000,forward*24,reverse,19,30,46|46,2|0,41|0,41|0,24|0,24|24,48|48,24|24,24|24,24|24,192,0,1|1,1|0,2|1,1|0,1|0,1|0,1|0,0,0,true,true,true,52031,11459007373250173286,true,true,true,true,true,true,true,true,true,true,true,true
5,G1,reverse-participation,0x593000000,reverse*24,reverse,19,30,46|46,0|2,0|41,0|41,0|24,24|24,48|48,24|24,24|24,24|24,192,0,1|1,0|1,1|2,0|1,0|1,0|1,0|1,0,0,true,true,true,52031,13313263472215707482,true,true,true,true,true,true,true,true,true,true,true,true
5,G1,correlation-only,0x594000000,no-traversal*24,reverse,19,30,46|46,0|0,0|0,0|0,0|0,24|24,48|48,24|24,24|24,24|24,192,0,1|1,0|0,0|0,0|0,0|0,0|0,0|0,0,0,true,true,true,49259,7743428090979146157,true,true,true,true,true,true,true,true,true,true,true,true
5,G1,participation-without-return,0x595000000,forward*24,reverse,19,30,46|46,0|0,0|0,0|0,24|0,1|24,1|24,0|0,0|0,1|24,192,0,1|1,0|0,0|0,0|0,0|0,0|0,0|0,0,0,true,true,true,43121,12253046846703667541,true,true,true,true,true,true,true,true,true,true,true,true
5,G1,joint-participation,0x596000000,joint*24,reverse,19,30,46|46,2|2,41|41,41|41,24|24,24|24,48|48,24|24,24|24,24|24,192,0,1|1,1|1,2|2,1|1,1|1,1|1,1|1,0,0,true,true,true,55154,10895723530646542224,true,true,true,true,true,true,true,true,true,true,true,true
5,G1,adversarial-correlation-forward-traversal,0x597000000,forward*24,reverse,19,30,45|45,2|0,40|0,40|0,24|0,24|72,96|144,24|72,24|72,24|72,192,0,1|1,1|0,2|1,1|0,1|0,1|0,1|0,0,0,true,true,true,67478,13558559291845196567,true,true,true,true,true,true,true,true,true,true,true,true
5,G1,adversarial-correlation-reverse-traversal,0x598000000,reverse*24,reverse,19,30,45|45,0|2,0|40,0|40,0|24,72|24,144|96,72|24,72|24,72|24,192,0,1|1,0|1,1|2,0|1,0|1,0|1,0|1,0,0,true,true,true,67526,3034318102130965437,true,true,true,true,true,true,true,true,true,true,true,true
6,G2,forward-participation,0x5a2000000,forward*24,normal,20,30,46|46,3|0,41|0,41|0,24|0,24|24,48|48,24|24,24|24,24|24,576,0,1|1,1|0,2|1,1|0,1|0,1|0,1|0,0,0,true,true,true,143951,2112521248945127422,true,true,true,true,true,true,true,true,true,true,true,true
6,G2,reverse-participation,0x5a3000000,reverse*24,normal,20,30,46|46,0|3,0|41,0|41,0|24,24|24,48|48,24|24,24|24,24|24,576,0,1|1,0|1,1|2,0|1,0|1,0|1,0|1,0,0,true,true,true,143951,940813294662490998,true,true,true,true,true,true,true,true,true,true,true,true
6,G2,correlation-only,0x5a4000000,no-traversal*24,normal,20,30,46|46,0|0,0|0,0|0,0|0,24|24,48|48,24|24,24|24,24|24,576,0,1|1,0|0,0|0,0|0,0|0,0|0,0|0,0,0,true,true,true,139637,17577788144355810950,true,true,true,true,true,true,true,true,true,true,true,true
