stage,seed,control,maturity,ratio,phase_offset,budget,incumbent_side,incumbent_route,alternative_route,scheduled_incumbent,scheduled_alternative,executed_incumbent,executed_alternative,returned_incumbent,returned_alternative,unresolved,m6_obs_incumbent,m6_obs_alternative,m6_support_incumbent,m6_support_alternative,m6_margin_incumbent,m6_margin_alternative,m6_eligible_incumbent,m6_eligible_alternative,m5_support_incumbent,m5_support_alternative,m5_rejection_incumbent,m5_rejection_alternative,m5_score_incumbent,m5_score_alternative,live_incumbent,live_alternative,abstentions,applications,independent_side0,independent_side1,class,schedule_exact,exposure_transferred,duplicate_exact
MICRO,1910000000,baseline,2,1:1,0,4500,0,0,1,2250,2250,2250,2250,2250,2250,0,2252,2250,565,2250,0,2250,false,true,0,1259,1258,0,-1258,1259,1,4,1985,2517,0,4,ALTERNATIVE,true,true,true
MICRO,1910000000,baseline,2,1:1,0,9000,0,0,1,4500,4500,4500,4500,4500,4500,0,4502,4500,1130,4500,2,4500,true,true,0,2380,2379,0,-2379,2380,1,4,4243,4759,0,4,ALTERNATIVE,true,true,true
MICRO,1910000000,baseline,2,1:1,0,18000,0,0,1,9000,9000,9000,9000,9000,9000,0,9002,9000,2260,9000,0,9000,false,true,0,4496,4495,0,-4495,4496,1,4,9011,8991,0,4,ALTERNATIVE,true,true,true
MICRO,1910000000,baseline,2,2:1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,2,0,2,0,false,false,0,0,0,0,0,0,4,4,2,0,4,4,MIXED,true,true,true
MICRO,1910000000,baseline,2,2:1,0,90,0,0,1,30,60,30,60,30,60,0,32,60,10,60,1,60,false,true,0,57,28,0,-28,57,1,4,7,85,0,4,ALTERNATIVE,true,true,true
MICRO,1910000000,baseline,2,2:1,0,900,0,0,1,300,600,300,600,300,600,0,302,600,84,600,9,600,true,true,0,265,132,0,-132,265,1,4,505,397,0,4,ALTERNATIVE,true,true,true
MICRO,1910000000,baseline,2,2:1,0,4500,0,0,1,1500,3000,1500,3000,1500,3000,0,1502,3000,381,3000,5,3000,true,true,0,625,312,0,-312,625,1,4,3565,937,0,4,ALTERNATIVE,true,true,true
MICRO,1910000000,baseline,2,2:1,0,9000,0,0,1,3000,6000,3000,6000,3000,6000,0,3002,6000,758,6000,9,6000,true,true,0,1231,615,0,-615,1231,1,4,7156,1846,0,4,ALTERNATIVE,true,true,true
MICRO,1910000000,baseline,2,2:1,0,18000,0,0,1,6000,12000,6000,12000,6000,12000,0,6002,12000,1505,12000,4,12000,true,true,0,2247,1123,0,-1123,2247,1,4,14632,3370,0,4,ALTERNATIVE,true,true,true
MICRO,1910000000,baseline,2,4:1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,2,0,2,0,false,false,0,0,0,0,0,0,4,4,2,0,4,4,MIXED,true,true,true
MICRO,1910000000,baseline,2,4:1,0,90,0,0,1,18,72,18,72,18,72,0,20,72,10,72,5,72,true,true,0,29,7,0,-7,29,1,4,56,36,0,4,ALTERNATIVE,true,true,true
MICRO,1910000000,baseline,2,4:1,0,900,0,0,1,180,720,180,720,180,720,0,182,720,48,720,1,720,false,true,0,361,90,0,-90,361,1,4,451,451,0,4,ALTERNATIVE,true,true,true
MICRO,1910000000,baseline,2,4:1,0,4500,0,0,1,900,3600,900,3600,900,3600,0,902,3600,227,3600,2,3600,true,true,0,1525,381,0,-381,1525,1,4,2596,1906,0,4,ALTERNATIVE,true,true,true
MICRO,1910000000,baseline,2,4:1,0,9000,0,0,1,1800,7200,1800,7200,1800,7200,0,1802,7200,451,7200,0,7200,false,true,0,3093,773,0,-773,3093,1,4,5136,3866,0,4,ALTERNATIVE,true,true,true
MICRO,1910000000,baseline,2,4:1,0,18000,0,0,1,3600,14400,3600,14400,3600,14400,0,3602,14400,902,14400,1,14400,false,true,0,6253,1563,0,-1563,6253,1,4,10186,7816,0,4,ALTERNATIVE,true,true,true
MICRO,1910000000,baseline,2,8:1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,2,0,2,0,false,false,0,0,0,0,0,0,4,4,2,0,4,4,MIXED,true,true,true
MICRO,1910000000,baseline,2,8:1,0,90,0,0,1,10,80,10,80,10,80,0,12,80,5,80,1,80,false,true,0,69,8,0,-8,69,1,4,15,77,0,4,ALTERNATIVE,true,true,true
MICRO,1910000000,baseline,2,8:1,0,900,0,0,1,100,800,100,800,100,800,0,102,800,37,800,4,800,true,true,0,325,40,0,-40,325,1,4,537,365,0,4,ALTERNATIVE,true,true,true
MICRO,1910000000,baseline,2,8:1,0,4500,0,0,1,500,4000,500,4000,500,4000,0,502,4000,139,4000,8,4000,true,true,0,461,57,0,-57,461,1,4,3984,518,0,4,ALTERNATIVE,true,true,true
MICRO,1910000000,baseline,2,8:1,0,9000,0,0,1,1000,8000,1000,8000,1000,8000,0,1002,8000,263,8000,9,8000,true,true,0,861,107,0,-107,861,1,4,8034,968,0,4,ALTERNATIVE,true,true,true
MICRO,1910000000,baseline,2,8:1,0,18000,0,0,1,2000,16000,2000,16000,2000,16000,0,2002,16000,527,16000,23,16000,true,true,0,1461,182,0,-182,1461,1,4,16359,1643,0,4,ALTERNATIVE,true,true,true
MICRO,1910000000,baseline,8,1:8,0,0,0,0,1,0,0,0,0,0,0,0,8,0,8,0,8,0,true,false,5,0,0,0,5,0,4,4,3,5,4,4,MIXED,true,true,true
MICRO,1910000000,baseline,8,1:8,0,90,0,0,1,80,10,80,10,80,10,0,88,10,28,10,6,10,true,true,37,0,0,3,37,-3,4,1,58,40,4,0,INCUMBENT_LOCK,true,true,true
MICRO,1910000000,baseline,8,1:8,0,900,0,0,1,800,100,800,100,800,100,0,808,100,208,100,0,100,false,true,37,20,143,3,-106,17,4,4,705,203,4,4,MIXED,true,true,true
MICRO,1910000000,baseline,8,1:8,0,4500,0,0,1,4000,500,4000,500,4000,500,0,4008,500,1014,500,14,500,true,true,37,33,237,3,-200,30,1,4,4198,310,0,4,ALTERNATIVE,true,true,true
MICRO,1910000000,baseline,8,1:8,0,9000,0,0,1,8000,1000,8000,1000,8000,1000,0,8008,1000,2014,1000,8,1000,true,true,37,115,847,3,-810,112,1,4,8006,1002,0,4,ALTERNATIVE,true,true,true
MICRO,1910000000,baseline,8,1:8,0,18000,0,0,1,16000,2000,16000,2000,16000,2000,0,16008,2000,4034,2000,15,2000,true,true,37,206,1522,3,-1485,203,1,4,16240,1768,0,4,ALTERNATIVE,true,true,true
