seed,stratum,scenario,correspondence_resistance,continuation_resistance,training_branch_firings,training_outlet_firings,training_trace_arrivals,training_trace_firings,training_local_returns,training_extra_source_firings,heldout_branch_firings,heldout_outlet_firings,heldout_trace_arrivals,heldout_trace_firings,heldout_local_returns,heldout_effects,postgap_effects,heldout_extra_source_firings,postgap_extra_source_firings,heldout_quiescent,postgap_quiescent,correspondence_acquired,maturation_exact,postgap_exact,training_quiescent,duplicate_exact,work,fingerprint,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,passed
12,S0,return-without-effect,22|22,0|0,0|0,0|0,8|8,0|0,0|0,0,1|1,0|0,0|0,0|0,0|0,0|0,0|0,0,0,true,true,true,true,true,true,true,4955,11537583760834298602,true,true,true,true,true,true,true,true,true,true,true,true,true,true
12,S0,joint,22|22,17|17,8|8,8|8,16|16,8|8,8|8,0,1|1,1|1,2|2,1|1,1|1,1|1,1|1,0,0,true,true,true,true,true,true,true,9072,12555779333595259840,true,true,true,true,true,true,true,true,true,true,true,true,true,true
13,S1,support-a,22|22,17|0,8|0,8|0,16|8,8|0,8|0,0,1|1,1|0,2|1,1|0,1|0,1|0,1|0,0,0,true,true,true,true,true,true,true,6805,5126252683550574352,true,true,true,true,true,true,true,true,true,true,true,true,true,true
13,S1,support-b,22|22,0|17,0|8,0|8,8|16,0|8,0|8,0,1|1,0|1,1|2,0|1,0|1,0|1,0|1,0,0,true,true,true,true,true,true,true,6797,8889833144287857012,true,true,true,true,true,true,true,true,true,true,true,true,true,true
13,S1,no-support,22|22,0|0,0|0,0|0,0|0,0|0,0|0,0,1|1,0|0,0|0,0|0,0|0,0|0,0|0,0,0,true,true,true,true,true,true,true,4445,90250526444826489,true,true,true,true,true,true,true,true,true,true,true,true,true,true
13,S1,blocked-return,22|22,0|0,8|0,1|0,1|0,0|0,0|0,0,1|1,0|0,0|0,0|0,0|0,0|0,0|0,0,0,true,true,true,true,true,true,true,5207,9198582231549683131,true,true,true,true,true,true,true,true,true,true,true,true,true,true
13,S1,return-without-effect,22|22,0|0,0|0,0|0,8|8,0|0,0|0,0,1|1,0|0,0|0,0|0,0|0,0|0,0|0,0,0,true,true,true,true,true,true,true,4955,2517928323370370620,true,true,true,true,true,true,true,true,true,true,true,true,true,true
13,S1,joint,22|22,17|17,8|8,8|8,16|16,8|8,8|8,0,1|1,1|1,2|2,1|1,1|1,1|1,1|1,0,0,true,true,true,true,true,true,true,9072,368013148994041458,true,true,true,true,true,true,true,true,true,true,true,true,true,true
14,S2,support-a,23|23,18|0,8|0,8|0,16|8,8|0,8|0,0,1|1,1|0,2|1,1|0,1|0,1|0,1|0,0,0,true,true,true,true,true,true,true,6778,11535245092702066997,true,true,true,true,true,true,true,true,true,true,true,true,true,true
14,S2,support-b,23|23,0|18,0|8,0|8,8|16,0|8,0|8,0,1|1,0|1,1|2,0|1,0|1,0|1,0|1,0,0,true,true,true,true,true,true,true,6770,8477314757902590251,true,true,true,true,true,true,true,true,true,true,true,true,true,true
14,S2,no-support,23|23,0|0,0|0,0|0,0|0,0|0,0|0,0,1|1,0|0,0|0,0|0,0|0,0|0,0|0,0,0,true,true,true,true,true,true,true,4419,8940675474689109182,true,true,true,true,true,true,true,true,true,true,true,true,true,true
14,S2,blocked-return,23|23,0|0,8|0,1|0,1|0,0|0,0|0,0,1|1,0|0,0|0,0|0,0|0,0|0,0|0,0,0,true,true,true,true,true,true,true,5183,8529305685446861118,true,true,true,true,true,true,true,true,true,true,true,true,true,true
14,S2,return-without-effect,23|23,0|0,0|0,0|0,8|8,0|0,0|0,0,1|1,0|0,0|0,0|0,0|0,0|0,0|0,0,0,true,true,true,true,true,true,true,4929,1875406043111299202,true,true,true,true,true,true,true,true,true,true,true,true,true,true
14,S2,joint,23|23,18|18,8|8,8|8,16|16,8|8,8|8,0,1|1,1|1,2|2,1|1,1|1,1|1,1|1,0,0,true,true,true,true,true,true,true,9044,4212171471586158762,true,true,true,true,true,true,true,true,true,true,true,true,true,true
15,S3,support-a,23|23,18|0,8|0,8|0,16|8,8|0,8|0,0,1|1,1|0,2|1,1|0,1|0,1|0,1|0,0,0,true,true,true,true,true,true,true,6778,15904817339855435523,true,true,true,true,true,true,true,true,true,true,true,true,true,true
15,S3,support-b,23|23,0|18,0|8,0|8,8|16,0|8,0|8,0,1|1,0|1,1|2,0|1,0|1,0|1,0|1,0,0,true,true,true,true,true,true,true,6770,6047631811791194545,true,true,true,true,true,true,true,true,true,true,true,true,true,true
15,S3,no-support,23|23,0|0,0|0,0|0,0|0,0|0,0|0,0,1|1,0|0,0|0,0|0,0|0,0|0,0|0,0,0,true,true,true,true,true,true,true,4419,16835568533611821300,true,true,true,true,true,true,true,true,true,true,true,true,true,true
15,S3,blocked-return,23|23,0|0,8|0,1|0,1|0,0|0,0|0,0,1|1,0|0,0|0,0|0,0|0,0|0,0|0,0,0,true,true,true,true,true,true,true,5183,14867547099395248356,true,true,true,true,true,true,true,true,true,true,true,true,true,true
15,S3,return-without-effect,23|23,0|0,0|0,0|0,8|8,0|0,0|0,0,1|1,0|0,0|0,0|0,0|0,0|0,0|0,0,0,true,true,true,true,true,true,true,4929,4859949585009419136,true,true,true,true,true,true,true,true,true,true,true,true,true,true
15,S3,joint,23|23,18|18,8|8,8|8,16|16,8|8,8|8,0,1|1,1|1,2|2,1|1,1|1,1|1,1|1,0,0,true,true,true,true,true,true,true,9044,10582783071056686924,true,true,true,true,true,true,true,true,true,true,true,true,true,true
