stage,seed,depth,history,states,physical_sides,handles,complete,structurally_valid,naturally_quiescent,duplicate_exact,one_propagation,permanent_fingerprint,start_fingerprint,trace_fingerprint,end_fingerprint,work,cell_distinct,cell_trace_distinct,cell_passed
MICRO,2210000001,16,16,0132020132320131,0000100001000010,0000100001000010,true,true,true,true,true,2328239311061522611,18254529053965511533,17942690663055464628,11403293793307144403,277962,32,32,true
MICRO,2210000001,16,17,0201310132313202,1000110001100011,1000110001100011,true,true,true,true,true,2328239311061522611,7073092094012693377,15289307191728867216,11359099286264688315,277962,32,32,true
MICRO,2210000001,16,18,0101313132323202,0100101001010010,0100101001010010,true,true,true,true,true,2328239311061522611,6989135114131831341,9488965166865655547,10693768147510839323,277956,32,32,true
MICRO,2210000001,16,19,0232023132310131,1100111001110011,1100111001110011,true,true,true,true,true,2328239311061522611,2788803564214408705,12053374273661256248,2628842939885231163,277956,32,32,true
MICRO,2210000001,16,20,0131313232320202,0010100101001010,0010100101001010,true,true,true,true,true,2328239311061522611,14049335773397900565,7530157294882793255,1902181710982894283,277954,32,32,true
MICRO,2210000001,16,21,0202023232313131,1010110101101011,1010110101101011,true,true,true,true,true,2328239311061522611,41610555491777689,13429460368498873771,16819228410196568971,277954,32,32,true
MICRO,2210000001,16,22,0102020232323131,0110101101011010,0110101101011010,true,true,true,true,true,2328239311061522611,4413205681107564597,18339716334559371059,767863545195499479,277960,32,32,true
MICRO,2210000001,16,23,0231310232310202,1110111101111011,1110111101111011,true,true,true,true,true,2328239311061522611,2278403496816684793,8649527419546058976,9679460301454318239,277960,32,32,true
MICRO,2210000001,16,24,0132313202320102,0001100011000110,0001100011000110,true,true,true,true,true,2328239311061522611,17198781281134909009,2515097595294757067,13404641598530250103,277960,32,32,true
MICRO,2210000001,16,25,0201023202313231,1001110011100111,1001110011100111,true,true,true,true,true,2328239311061522611,12728431378135708533,9814762132195502147,15209839887116782855,277960,32,32,true
MICRO,2210000001,16,26,0101020202323231,0101101011010110,0101101011010110,true,true,true,true,true,2328239311061522611,15987220026212001601,16476565362499442551,13301230874037689715,277966,32,32,true
MICRO,2210000001,16,27,0232310202310102,1101111011110111,1101111011110111,true,true,true,true,true,2328239311061522611,9615806967540601829,15521833303323534200,14478530677239124667,277966,32,32,true
MICRO,2210000001,16,28,0131020102320231,0011100111001110,0011100111001110,true,true,true,true,true,2328239311061522611,5577986617394681673,2089401571635140275,10330347197875772983,277968,32,32,true
MICRO,2210000001,16,29,0202310102313102,1011110111101111,1011110111101111,true,true,true,true,true,2328239311061522611,2475819521125463453,5616632452321651779,13884365382956510591,277968,32,32,true
MICRO,2210000001,16,30,0102313102323102,0111101111011110,0111101111011110,true,true,true,true,true,2328239311061522611,4432154952235678425,8971955581778880396,18021093815678390831,277962,32,32,true
MICRO,2210000001,16,31,0231023102310231,1111111111111111,1111111111111111,true,true,true,true,true,2328239311061522611,4849955752987973197,3280411149114956459,13188302041682750431,277962,32,32,true
MICRO,2210000002,16,0,0132013201320132,0000000000000000,1111111111111111,true,true,true,true,true,5720778510040213613,13156443131066608484,16563141517171455640,1536031683650017989,277962,32,32,true
