row_id,stage,family,spec_fingerprint,b_effect,e_effect,prediction_diff,b_false_conjunction,e_false_conjunction,b_row_pass,e_row_pass,b_work,e_work,b_persistent_bytes,e_persistent_bytes,b_quiescent,e_quiescent
ctl-initial-cd-s101-m0-r0-t2-c1-l0-d0-tr0-a2,probe,shared_control,11343798583771523300,2,2,false,false,false,true,true,81,76,272,272,true,true
ctl-crossed-ad-s101-m0-r0-t2-c1-l0-d0-tr0-a2,probe,shared_control,8545017692813235428,0,0,false,false,false,true,true,9,13,272,272,true,true
ctl-crossed-cb-s101-m0-r0-t2-c1-l0-d0-tr0-a2,probe,shared_control,3207595895710771276,0,0,false,false,false,true,true,9,13,272,272,true,true
ctl-singleton-s101-m0-r0-t2-c1-l0-d0-tr0-a2,probe,shared_control,3013838382550951618,0,0,false,false,false,true,true,9,13,272,272,true,true
ctl-old-self-evidence-s101-m0-r0-t2-c1-l0-d0-tr0-a6,probe,shared_control,2565507264550130135,1,1,false,false,false,true,true,52,47,832,832,true,true
ctl-blocked-return-s101-m0-r0-t2-c1-l0-d0-tr0-a6,probe,shared_control,499315135617049038,1,1,false,false,false,true,true,52,47,832,832,true,true
ctl-stale-s101-m0-r0-t2-c1-l0-d0-tr0-a2,probe,shared_control,11331031554270272290,0,0,false,false,false,true,true,20,17,160,160,true,true
ctl-deallocation-bootstrap-s101-m0-r0-t2-c1-l0-d0-tr0-a2,probe,shared_control,18011568513147157319,0,0,false,false,false,true,true,12,16,224,224,true,true
ctl-ambiguity-s101-m0-r0-t2-c1-l0-d0-tr0-a2,probe,shared_control,17153014661452003316,2,2,false,false,false,true,true,90,80,544,544,true,true
ctl-recursion-s101-m0-r0-t2-c1-l0-d0-tr0-a2,probe,shared_control,8453848460409194489,1,1,false,false,false,true,true,82,71,496,496,true,true
ctl-replay-s101-m0-r0-t2-c1-l0-d0-tr0-a2,probe,shared_control,5139296657376591754,1,1,false,false,false,true,true,35,30,272,272,true,true
f1-aa-same-tick-s101-m0-r0-t2-c2-l0-d0-tr0-a2,probe,same_source_bursts,18384483610964054908,1,1,false,true,true,false,false,21,19,160,160,true,true
f1-aa-spacing-s101-m0-r0-t2-c2-l0-d-1-tr0-a2,probe,same_source_bursts,1979651529809939094,0,0,false,false,false,true,true,9,9,160,160,true,true
f1-ab-distinct-s101-m0-r0-t2-c2-l0-d-1-tr0-a2,probe,same_source_bursts,8844074215970634668,1,1,false,false,false,false,false,37,31,272,272,true,true
f1-aa-spacing-s101-m0-r0-t2-c2-l0-d0-tr0-a2,probe,same_source_bursts,4489780837241975960,1,1,false,true,true,false,false,21,19,160,160,true,true
f1-ab-distinct-s101-m0-r0-t2-c2-l0-d0-tr0-a2,probe,same_source_bursts,15929758993657971735,1,1,false,false,false,true,true,35,30,272,272,true,true
