row_type,protocol,stage,claim_eligible,M6_authoritative,M7_exists,family,condition,variant,target,target_supporters,competitor_supporters,winner,expected_winner,commitment_tick,duplicate_exact,permanent_fingerprint,start_fingerprint,trace_fingerprint,end_fingerprint,work,status,classification
case,ssa0-3-precommit-support-v1,GATE,false,true,false,timing,threshold_before,canonical,1,5,4,1,1,7,true,fcd480b037bcca12,2c5f0b5c5b6059ca,0195521d841a4200,e5c3e1742ad3ba8e,461,PASS,A_PRECOMMITMENT_SUPPORT_LAW_POSITIVE
case,ssa0-3-precommit-support-v1,GATE,false,true,false,timing,threshold_after,canonical,1,5,4,0,0,7,true,b2ae3fe3b5040165,c0f3b35869fb2edd,1f1976003518d7bc,ba880ada0a58a871,461,PASS,A_PRECOMMITMENT_SUPPORT_LAW_POSITIVE
case,ssa0-3-precommit-support-v1,GATE,false,true,false,timing,just_after,canonical,1,5,4,0,0,7,true,3c0be7cd6e721ace,f8accbd57515d116,7e22e341e4d3653e,cf8b68aff678e96a,461,PASS,A_PRECOMMITMENT_SUPPORT_LAW_POSITIVE
case,ssa0-3-precommit-support-v1,GATE,false,true,false,timing,well_after,canonical,1,5,4,0,0,7,true,971ee942fef4eb91,72e60c047305e731,d76f297006527712,83f0e2c49de6d11e,460,PASS,A_PRECOMMITMENT_SUPPORT_LAW_POSITIVE
case,ssa0-3-precommit-support-v1,GATE,false,true,false,number,zero,canonical,1,4,4,0,0,7,true,5be251edf4a8ebfd,9e952e952c645847,0552154513bbf511,9986c568354097ae,387,PASS,A_PRECOMMITMENT_SUPPORT_LAW_POSITIVE
case,ssa0-3-precommit-support-v1,GATE,false,true,false,number,one_early,canonical,1,5,4,1,1,6,true,5d7a6cab202b158c,e8787fa90289fcb4,9e603f25839cbcda,6478eb2c5f4829d8,462,PASS,A_PRECOMMITMENT_SUPPORT_LAW_POSITIVE
case,ssa0-3-precommit-support-v1,GATE,false,true,false,number,two_early,canonical,1,6,4,1,1,6,true,aa66cc72fc724708,1a60397787bf60a0,e2de5e96a1f0e894,19b6a4151b21de3f,543,PASS,A_PRECOMMITMENT_SUPPORT_LAW_POSITIVE
case,ssa0-3-precommit-support-v1,GATE,false,true,false,number,one_late,canonical,1,5,4,0,0,7,true,23a12ff7ba417550,190662ffddfb7fe0,d969046bd9633330,3e2be8582e87a99e,460,PASS,A_PRECOMMITMENT_SUPPORT_LAW_POSITIVE
case,ssa0-3-precommit-support-v1,GATE,false,true,false,number,two_late,canonical,1,6,4,0,0,7,true,87ff1be86bcfaf34,21edff8c6d8a17e8,c6dfc1a28db2f1ca,3659ed8a1cdc909c,539,PASS,A_PRECOMMITMENT_SUPPORT_LAW_POSITIVE
case,ssa0-3-precommit-support-v1,GATE,false,true,false,strength,unit_early,canonical,1,5,4,1,1,6,true,5d7a6cab202b158c,e8787fa90289fcb4,9e603f25839cbcda,6478eb2c5f4829d8,462,PASS,A_PRECOMMITMENT_SUPPORT_LAW_POSITIVE
