stage,row,namespace,positions,cell_order,identity_rotation,reverse_arrows,reverse_spikes,delay,skew,phase_pattern,first_firings,second_firings,joint_firings,joint_expected,refractory_suppressed,blocked_outputs,stale_outputs,absent_outputs,threshold2_outputs,naturally_quiescent,replay_exact,external_spikes,source_firings,convergence_firings,downstream_firings,crossings,deallocations,proposals,cells,arrows,persistent_bytes,work,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,claims,passed
GATE v1,46,0xc30002e00000,-8|8|0|24,0|3|1|2,0,true,true,2,4,0,1|0|1|1,0|1|1|1,1|1|2|2,2,false,0|1|0|1,0|1|0|1,0|1|0|1,0|0|1,true,true,120,30,15,15,15,4,0,92,65,8576,1344,true,true,true,true,true,true,true,true,true,true,true,true,true,true,14,true
GATE v1,47,0xc30002f00000,16|-16|0|-48,1|2|3|0,1,true,true,3,4,1,1|0|1|1,0|1|1|1,1|1|2|2,2,false,0|1|0|1,0|1|0|1,0|1|0|1,0|0|1,true,true,120,30,15,15,15,4,0,92,65,8576,1347,true,true,true,true,true,true,true,true,true,true,true,true,true,true,14,true
GATE v1,48,0xc30003000000,-32|32|0|96,2|1|0|3,2,false,false,4,0,2,1|0|1|1,0|1|1|1,1|1|1|1,1,true,0|1|0|1,0|1|0|1,0|1|0|1,0|0|1,true,true,120,30,13,13,13,4,0,92,65,8576,1293,true,true,true,true,true,true,true,true,true,true,true,true,true,true,14,true
GATE v1,49,0xc30003100000,64|-64|0|-192,3|0|2|1,3,false,false,5,0,0,1|0|1|1,0|1|1|1,1|1|1|1,1,true,0|1|0|1,0|1|0|1,0|1|0|1,0|0|1,true,true,120,30,13,13,13,4,0,92,65,8576,1297,true,true,true,true,true,true,true,true,true,true,true,true,true,true,14,true
GATE v1,50,0xc30003200000,-8|8|0|24,0|1|2|3,0,true,false,0,0,1,1|0|1|1,0|1|1|1,1|1|1|1,1,true,0|1|0|1,0|1|0|1,0|1|0|1,0|0|1,true,true,120,30,13,13,13,4,0,92,65,8576,1317,true,true,true,true,true,true,true,true,true,true,true,true,true,true,14,true
GATE v1,51,0xc30003300000,16|-16|0|-48,0|3|2|1,1,true,true,1,0,2,1|0|1|1,0|1|1|1,1|1|1|1,1,true,0|1|0|1,0|1|0|1,0|1|0|1,0|0|1,true,true,120,30,13,13,13,4,0,92,65,8576,1279,true,true,true,true,true,true,true,true,true,true,true,true,true,true,14,true
GATE v1,52,0xc30003400000,-32|32|0|96,1|3|0|2,2,false,true,2,0,0,1|0|1|1,0|1|1|1,1|1|1|1,1,true,0|1|0|1,0|1|0|1,0|1|0|1,0|0|1,true,true,120,30,13,13,13,4,0,92,65,8576,1277,true,true,true,true,true,true,true,true,true,true,true,true,true,true,14,true
GATE v1,53,0xc30003500000,64|-64|0|-192,2|1|3|0,3,false,true,3,0,1,1|0|1|1,0|1|1|1,1|1|1|1,1,true,0|1|0|1,0|1|0|1,0|1|0|1,0|0|1,true,true,120,30,13,13,13,4,0,92,65,8576,1301,true,true,true,true,true,true,true,true,true,true,true,true,true,true,14,true
GATE v1,54,0xc30003600000,-8|8|0|24,3|1|0|2,0,true,false,4,1,2,1|0|1|1,0|1|1|1,1|1|2|2,2,false,0|1|0|1,0|1|0|1,0|1|0|1,0|0|1,true,true,120,30,15,15,15,4,0,92,65,8576,1343,true,true,true,true,true,true,true,true,true,true,true,true,true,true,14,true
GATE v1,55,0xc30003700000,16|-16|0|-48,0|1|3|2,1,true,false,5,1,0,1|0|1|1,0|1|1|1,1|1|2|2,2,false,0|1|0|1,0|1|0|1,0|1|0|1,0|0|1,true,true,120,30,15,15,15,4,0,92,65,8576,1347,true,true,true,true,true,true,true,true,true,true,true,true,true,true,14,true
