stage,layout,case,namespace,passed,source_exact,duplicate_exact,trained_resistance,final_resistance,trained_live,final_live,trained_generation,final_generation,before_effects,after_effects,stale_effects,disuse_resistance,disuse_monotone,old_correspondence_live,fresh_correspondence,fresh_direction_ids,stale_refused,quiescent,work_total,pressure_updates,deallocations,arrow_slots,known_live_arrows,persistent_bytes,fingerprint
GATE,G2,matched-high-use-survival,0x676000000,true,true,true,23|0,12|0,true|false,true|false,1|2,1|2,1|0,1|0,1|0,0|0|0|0,false,0|0,0|0,false,false,true,69941,1745,1,54,53,6816,15873616153680197798
GATE,G2,matched-low-use-forgetting,0x676100000,true,true,true,9|0,0|0,true|false,false|false,1|2,2|2,1|0,0|0,0|0,0|0|0|0,false,0|0,0|0,false,true,true,19602,714,4,54,50,6816,17879056049727284804
GATE,G2,disuse-to-zero,0x676200000,true,true,true,17|0,0|0,true|false,false|false,1|2,2|2,1|0,0|0,0|0,17|13|5|0,true,0|0,0|0,false,true,true,47664,1381,4,54,50,6816,6684153845918063634
GATE,G2,forward-to-reverse-competition,0x676300000,true,true,true,17|0,0|35,true|false,false|true,1|2,2|1,1|0,0|1,0|1,0|0|0|0,false,0|0,0|0,false,true,true,160608,3587,2,55,53,6880,9614888724339288809
GATE,G2,correlation-without-traversal,0x676400000,true,true,true,0|0,0|0,false|false,false|false,0|0,2|2,0|0,0|0,0|0,0|0|0|0,false,0|0,0|0,false,true,true,68203,1692,2,54,52,6816,5706738431874321536
GATE,G2,traversal-without-return,0x676500000,true,true,true,0|0,0|0,false|false,false|false,0|0,2|2,0|0,0|0,0|0,0|0|0|0,false,0|0,0|0,false,true,true,64114,1592,2,52,50,6688,17362185857834327252
GATE,G2,reverse-to-forward-competition,0x676600000,true,true,true,0|17,35|0,false|true,true|false,2|1,1|2,0|1,1|0,1|0,0|0|0|0,false,0|0,0|0,false,true,true,160608,3587,2,55,53,6880,584411656376087029
GATE,G2,full-deallocation-opposite-reacquisition,0x676700000,true,true,true,17|0,0|35,true|false,false|true,1|2,2|1,1|0,0|1,0|0,0|0|0|0,false,0|0,1|1,true,true,true,170108,3956,7,60,53,7200,4373983256951530084
GATE,G3,matched-high-use-survival,0x677000000,true,true,true,22|0,11|0,true|false,true|false,1|2,1|2,1|0,1|0,1|0,0|0|0|0,false,0|0,0|0,false,false,true,178849,2764,3,80,77,10784,13888483503959032325
GATE,G3,matched-low-use-forgetting,0x677100000,true,true,true,8|0,0|0,true|false,false|false,1|2,2|2,1|0,0|0,0|0,0|0|0|0,false,0|0,0|0,false,true,true,47666,1205,6,80,74,10784,8151128812315131578
GATE,G3,disuse-to-zero,0x677200000,true,true,true,16|0,0|0,true|false,false|false,1|2,2|2,1|0,0|0,0|0,16|13|5|0,true,0|0,0|0,false,true,true,120684,2208,6,80,74,10784,8405291727671661266
GATE,G3,forward-to-reverse-competition,0x677300000,true,true,true,16|0,0|35,true|false,false|true,1|2,2|1,1|0,0|1,0|1,0|0|0|0,false,0|0,0|0,false,true,true,414171,5517,4,81,77,10848,9507448098459507376
GATE,G3,correlation-without-traversal,0x677400000,true,true,true,0|0,0|0,false|false,false|false,0|0,2|2,0|0,0|0,0|0,0|0|0|0,false,0|0,0|0,false,true,true,176198,2686,4,80,76,10784,1844715603195300889
GATE,G3,traversal-without-return,0x677500000,true,true,true,0|0,0|0,false|false,false|false,0|0,2|2,0|0,0|0,0|0,0|0|0|0,false,0|0,0|0,false,true,true,170335,2584,4,78,74,10656,5265630022914005694
GATE,G3,reverse-to-forward-competition,0x677600000,true,true,true,0|16,35|0,false|true,true|false,2|1,1|2,0|1,1|0,1|0,0|0|0|0,false,0|0,0|0,false,true,true,414171,5517,4,81,77,10848,13044536730367778788
GATE,G3,full-deallocation-opposite-reacquisition,0x677700000,true,true,true,16|0,0|35,true|false,false|true,1|2,2|1,1|0,0|1,0|0,0|0|0|0,false,0|0,1|1,true,true,true,424905,6001,7,84,77,11040,18334742361397727911
