stage,seed,control,maturity,ratio,phase_offset,budget,incumbent_side,incumbent_route,alternative_route,scheduled_incumbent,scheduled_alternative,executed_incumbent,executed_alternative,returned_incumbent,returned_alternative,unresolved,m6_obs_incumbent,m6_obs_alternative,m6_support_incumbent,m6_support_alternative,m6_margin_incumbent,m6_margin_alternative,m6_eligible_incumbent,m6_eligible_alternative,m5_support_incumbent,m5_support_alternative,m5_rejection_incumbent,m5_rejection_alternative,m5_score_incumbent,m5_score_alternative,live_incumbent,live_alternative,abstentions,applications,independent_side0,independent_side1,class,schedule_exact,exposure_transferred,duplicate_exact
PROBE,1900000000,baseline,128,1:1,0,900,0,0,1,450,450,450,450,450,450,0,578,450,241,450,128,450,true,true,129,0,0,3,129,-3,4,1,896,132,4,0,INCUMBENT_LOCK,true,true,true
PROBE,1900000000,baseline,128,1:1,0,4500,0,0,1,2250,2250,2250,2250,2250,2250,0,2378,2250,691,2250,126,2250,true,true,129,0,0,3,129,-3,4,1,4496,132,4,0,INCUMBENT_LOCK,true,true,true
PROBE,1900000000,baseline,128,1:1,0,9000,0,0,1,4500,4500,4500,4500,4500,4500,0,4628,4500,1251,4500,121,4500,true,true,129,0,0,3,129,-3,4,1,8996,132,4,0,INCUMBENT_LOCK,true,true,true
PROBE,1900000000,baseline,128,1:1,0,18000,0,0,1,9000,9000,9000,9000,9000,9000,0,9128,9000,2368,9000,108,9000,true,true,129,0,0,3,129,-3,4,1,17996,132,4,0,INCUMBENT_LOCK,true,true,true
PROBE,1900000000,baseline,128,4:1,0,0,0,0,1,0,0,0,0,0,0,0,128,0,128,0,128,0,true,false,125,0,0,0,125,0,4,1,3,125,4,0,INCUMBENT_LOCK,true,true,true
PROBE,1900000000,baseline,128,4:1,0,90,0,0,1,18,72,18,72,18,72,0,146,72,136,72,131,72,true,true,126,0,0,3,126,-3,4,1,89,129,4,0,INCUMBENT_LOCK,true,true,true
PROBE,1900000000,baseline,128,4:1,0,900,0,0,1,180,720,180,720,180,720,0,308,720,171,720,123,720,true,true,126,0,0,3,126,-3,4,1,899,129,4,0,INCUMBENT_LOCK,true,true,true
PROBE,1900000000,baseline,128,4:1,0,4500,0,0,1,900,3600,900,3600,900,3600,0,1028,3600,353,3600,128,3600,true,true,126,0,0,3,126,-3,4,1,4499,129,4,0,INCUMBENT_LOCK,true,true,true
PROBE,1900000000,baseline,128,4:1,0,9000,0,0,1,1800,7200,1800,7200,1800,7200,0,1928,7200,577,7200,126,7200,true,true,126,0,0,3,126,-3,4,1,8999,129,4,0,INCUMBENT_LOCK,true,true,true
PROBE,1900000000,baseline,128,4:1,0,18000,0,0,1,3600,14400,3600,14400,3600,14400,0,3728,14400,1025,14400,123,14400,true,true,126,0,0,3,126,-3,4,1,17999,129,4,0,INCUMBENT_LOCK,true,true,true
PROBE,1900000000,phase,0,1:1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,0,0,0,0,0,0,0,0,0,0,0,0,SUBTHRESHOLD,true,true,true
PROBE,1900000000,phase,0,1:1,1,90,0,0,1,45,45,45,45,45,45,0,45,45,12,45,1,45,false,true,0,41,41,0,-41,41,1,4,8,82,0,4,ALTERNATIVE,true,true,true
PROBE,1900000000,phase,0,1:1,1,900,0,0,1,450,450,450,450,450,450,0,450,450,113,450,0,450,false,true,0,378,378,0,-378,378,1,4,144,756,0,4,ALTERNATIVE,true,true,true
PROBE,1900000000,phase,0,1:1,1,4500,0,0,1,2250,2250,2250,2250,2250,2250,0,2250,2250,565,2250,1,2250,false,true,0,1620,1620,0,-1620,1620,1,4,1260,3240,0,4,ALTERNATIVE,true,true,true
PROBE,1900000000,phase,0,1:1,1,9000,0,0,1,4500,4500,4500,4500,4500,4500,0,4500,4500,1130,4500,0,4500,false,true,0,3068,3068,0,-3068,3068,1,4,2864,6136,0,4,ALTERNATIVE,true,true,true
PROBE,1900000000,phase,0,1:1,1,18000,0,0,1,9000,9000,9000,9000,9000,9000,0,9000,9000,2262,9000,1,9000,false,true,0,5981,5981,0,-5981,5981,1,4,6038,11962,0,4,ALTERNATIVE,true,true,true
PROBE,1900000000,phase,32,1:1,1,0,0,0,1,0,0,0,0,0,0,0,32,0,32,0,32,0,true,false,29,0,0,0,29,0,4,4,3,29,4,4,MIXED,true,true,true
PROBE,1900000000,phase,32,1:1,1,90,0,0,1,45,45,45,45,45,45,0,77,45,43,45,31,45,true,true,32,0,0,3,32,-3,4,1,87,35,4,0,INCUMBENT_LOCK,true,true,true
