index,namespace,initial,current,spacing,stride,distractor_load,incidental_form,reverse_allocation,mirrored_layout,device_order,stable_opportunities,stable_completed,sparse_opportunities,sparse_completed,stable_final_resistance,sparse_final_resistance,first_b_execution_context,b_executable_contexts,final_b_effects,final_a_effects,first_deallocation_context,stable_deallocation_delay,sparse_deallocation_delay,proposals,deallocations,queue_comparisons,work,diagnostic_probe_work,complete_fingerprint,permanent_fingerprint,prefix_ok,duplicate_exact,naturally_quiescent
51,0x141980000,0,1,13,28,32,1,true,true,0-1-2-3,35,35,8,6,61,0,0,35,1,0,0,610,10,508,506,15733,194517,127964,6950348336056621487,14204958675608094740,true,true,true
52,0x141a00000,1,2,13,28,36,3,false,false,2-1-0-3,35,35,8,6,61,0,0,35,1,0,0,610,10,559,557,17558,199617,129592,2903188241077915237,1842947657397273180,true,true,true
53,0x141a80000,2,0,13,28,36,0,false,true,1-2-3-0,35,35,8,6,61,0,0,35,1,0,0,610,10,567,565,17591,205894,128936,9648380643674507981,2644470869177529645,true,true,true
54,0x141b00000,0,1,13,28,36,1,true,false,2-1-0-3,35,35,8,6,61,0,0,35,1,0,0,610,10,559,557,17569,210808,138739,15637477572818037177,9522078364673133735,true,true,true
55,0x141b80000,1,2,13,28,36,2,true,true,1-2-3-0,35,35,8,7,61,0,0,35,1,0,0,610,10,553,549,17642,204512,133582,5969982046013908174,13340640503684406473,true,true,true
56,0x141c00000,2,0,13,28,44,0,false,false,3-2-1-0,35,35,8,6,61,0,0,35,1,0,0,610,10,652,650,20978,232546,145148,8781275087795990592,4097576825225540765,true,true,true
57,0x141c80000,0,1,13,28,44,1,false,true,2-3-0-1,35,35,8,6,61,0,0,35,1,0,0,610,10,644,642,20946,238639,156699,4807693680685504825,15053192134718047813,true,true,true
58,0x141d00000,1,2,13,28,44,2,true,false,3-2-1-0,35,35,8,7,61,0,0,35,1,0,0,610,10,638,634,21040,231330,150725,4451098678219758950,2543743366980812866,true,true,true
59,0x141d80000,2,0,13,28,44,3,true,true,2-3-0-1,35,35,8,6,61,0,0,35,1,0,0,610,10,644,642,21050,225279,145820,16847089908382974092,14863631220448042926,true,true,true
60,0x141e00000,0,1,13,28,48,1,false,false,0-3-2-1,35,35,8,6,61,0,0,35,1,0,0,610,10,695,693,23166,255849,167470,10114936070092363133,13731352655522981596,true,true,true
61,0x141e80000,1,2,13,28,48,2,false,true,3-0-1-2,35,35,8,7,61,0,0,35,1,0,0,610,10,689,685,23272,247934,161009,12603841339483981809,8293520553555707798,true,true,true
62,0x141f00000,2,0,13,28,48,3,true,false,0-3-2-1,35,35,8,6,61,0,0,35,1,0,0,610,10,695,693,23297,240568,155553,12534127890118783964,12081787118042536165,true,true,true
63,0x141f80000,0,1,13,28,48,0,true,true,3-0-1-2,35,35,8,6,61,0,0,35,1,0,0,610,10,703,701,23180,248439,154871,10621695093037739674,4598917962349440634,true,true,true
64,0x142000000,1,2,15,24,32,1,false,false,0-3-2-1,35,35,8,8,53,0,1,34,1,0,0,520,10,530,528,15613,202407,135498,7981910252212621719,16996461565400048926,true,true,true
65,0x142080000,2,0,15,24,32,2,false,true,3-0-1-2,35,35,8,8,53,0,1,34,1,0,0,520,10,528,524,15804,197472,116448,14611453910777667566,11492250913523294315,true,true,true
66,0x142100000,0,1,15,24,32,3,true,false,0-3-2-1,35,35,8,8,53,0,1,34,1,0,0,520,10,530,528,15723,192661,129503,11812073162844786762,17105002134602985968,true,true,true
67,0x142180000,1,2,15,24,32,0,true,true,3-0-1-2,35,35,8,8,53,0,1,34,1,0,0,520,10,530,528,15676,197368,116415,2253057481863514381,4382090055235899212,true,true,true
68,0x142200000,2,0,15,24,36,2,false,false,1-0-3-2,35,35,8,8,53,0,1,34,1,0,0,520,10,579,575,17637,213531,125801,15047483125587574594,16736115808857370593,true,true,true
69,0x142280000,0,1,15,24,36,3,false,true,0-1-2-3,35,35,8,8,53,0,1,34,1,0,0,520,10,581,579,17556,207988,139681,2152735123947337226,5194405761527867689,true,true,true
70,0x142300000,1,2,15,24,36,0,true,false,1-0-3-2,35,35,8,8,53,0,1,34,1,0,0,520,10,581,579,17515,213355,125716,1636292352808846233,6281338279474635671,true,true,true
71,0x142380000,2,0,15,24,36,1,true,true,0-1-2-3,35,35,8,8,53,0,1,34,1,0,0,520,10,581,579,17558,219169,146578,3006381119316874256,16082936655599041982,true,true,true
72,0x142400000,0,1,15,24,44,3,false,false,2-1-0-3,35,35,8,8,53,0,1,34,1,0,0,520,10,666,664,20947,234152,156646,2457087807861550776,8450374331566659269,true,true,true
73,0x142480000,1,2,15,24,44,0,false,true,1-2-3-0,35,35,8,8,53,0,1,34,1,0,0,520,10,666,664,20906,240595,141226,16841779109729265353,9683850614696332527,true,true,true
74,0x142500000,2,0,15,24,44,1,true,false,2-1-0-3,35,35,8,8,53,0,1,34,1,0,0,520,10,666,664,20967,247160,165055,1456157902136683231,16472462199560733026,true,true,true
75,0x142580000,0,1,15,24,44,2,true,true,1-2-3-0,35,35,8,8,53,0,1,34,1,0,0,520,10,664,660,20982,240375,141391,9549479308647054550,15439431293098939941,true,true,true
76,0x142600000,1,2,15,24,48,0,false,false,3-2-1-0,35,35,8,8,53,0,1,34,1,0,0,520,10,717,715,23147,257011,150531,15454709603559982315,3761739593012368858,true,true,true
77,0x142680000,2,0,15,24,48,1,false,true,2-3-0-1,35,35,8,8,53,0,1,34,1,0,0,520,10,717,715,23208,264295,176145,3083290467357176791,7481221683497213715,true,true,true
78,0x142700000,0,1,15,24,48,2,true,false,3-2-1-0,35,35,8,8,53,0,1,34,1,0,0,520,10,715,711,23229,256821,150740,5259026691958638135,2542587559738512864,true,true,true
79,0x142780000,1,2,15,24,48,3,true,true,2-3-0-1,35,35,8,8,53,0,1,34,1,0,0,520,10,717,715,23102,249920,166820,6046859722179234936,4405763304553514196,true,true,true
80,0x142800000,2,0,15,25,32,3,false,false,2-1-0-3,35,35,8,8,53,0,1,34,1,0,0,520,10,530,528,15725,192860,129510,2268495245427987570,3882298495342043077,true,true,true
81,0x142880000,0,1,15,25,32,0,false,true,1-2-3-0,35,35,8,8,53,0,1,34,1,0,0,520,10,530,528,15714,197559,116418,7329937274279576480,15918928755305848722,true,true,true
82,0x142900000,1,2,15,25,32,1,true,false,2-1-0-3,35,35,8,8,53,0,1,34,1,0,0,520,10,530,528,15625,202204,135495,16751408681934997441,3432925338943847774,true,true,true
83,0x142980000,2,0,15,25,32,2,true,true,1-2-3-0,35,35,8,8,53,0,1,34,1,0,0,520,10,528,524,15810,197275,116455,84091101558615976,11095606579097505685,true,true,true
84,0x142a00000,0,1,15,25,36,0,false,false,3-2-1-0,35,35,8,8,53,0,1,34,1,0,0,520,10,581,579,17547,213567,125723,13269353082915077494,4456796378698252463,true,true,true
85,0x142a80000,1,2,15,25,36,1,false,true,2-3-0-1,35,35,8,8,53,0,1,34,1,0,0,520,10,581,579,17458,218931,146585,351778397716532618,16597860967840958792,true,true,true
86,0x142b00000,2,0,15,25,36,2,true,false,3-2-1-0,35,35,8,8,53,0,1,34,1,0,0,520,10,579,575,17649,213313,125804,17484644056926825134,12120299695499473835,true,true,true
87,0x142b80000,0,1,15,25,36,3,true,true,2-3-0-1,35,35,8,8,53,0,1,34,1,0,0,520,10,581,579,17550,208220,139684,6453591385845823379,2488980033800862267,true,true,true
88,0x142c00000,1,2,15,25,44,1,false,false,0-3-2-1,35,35,8,8,53,0,1,34,1,0,0,520,10,666,664,20849,247435,165058,12620524546784066538,2553908899822393319,true,true,true
89,0x142c80000,2,0,15,25,44,2,false,true,3-0-1-2,35,35,8,8,53,0,1,34,1,0,0,520,10,664,660,21040,240644,141384,8439054556763633665,11990929169929531104,true,true,true
90,0x142d00000,0,1,15,25,44,3,true,false,0-3-2-1,35,35,8,8,53,0,1,34,1,0,0,520,10,666,664,20959,233881,156639,4671061651537419977,13423420981692894195,true,true,true
91,0x142d80000,1,2,15,25,44,0,true,true,3-0-1-2,35,35,8,8,53,0,1,34,1,0,0,520,10,666,664,20912,240332,141223,9854438358140241284,11413479724080537633,true,true,true
92,0x142e00000,2,0,15,25,48,2,false,false,1-0-3-2,35,35,8,8,53,0,1,34,1,0,0,520,10,715,711,23281,257111,150737,7858897453971776355,4918185546829044132,true,true,true
93,0x142e80000,0,1,15,25,48,3,false,true,0-1-2-3,35,35,8,8,53,0,1,34,1,0,0,520,10,717,715,23200,249616,166817,12381408226693997111,293001718865849536,true,true,true
94,0x142f00000,1,2,15,25,48,0,true,false,1-0-3-2,35,35,8,8,53,0,1,34,1,0,0,520,10,717,715,23159,256727,150524,6742539160305986098,3547079096119746004,true,true,true
95,0x142f80000,2,0,15,25,48,1,true,true,0-1-2-3,35,35,8,8,53,0,1,34,1,0,0,520,10,717,715,23202,264605,176138,7891633995474526129,10813672056595586099,true,true,true
96,0x143000000,0,1,15,27,32,1,false,false,0-3-2-1,35,35,8,8,53,0,1,34,1,0,0,520,10,530,528,15705,202407,135498,3460690171094893373,11964981432490744128,true,true,true
97,0x143080000,1,2,15,27,32,2,false,true,3-0-1-2,35,35,8,8,53,0,1,34,1,0,0,520,10,528,524,15700,197472,116448,17337920732485813593,17205598944633417030,true,true,true
98,0x143100000,2,0,15,27,32,3,true,false,0-3-2-1,35,35,8,8,53,0,1,34,1,0,0,520,10,530,528,15737,192661,129503,3914227830979025741,11175673900700502557,true,true,true
99,0x143180000,0,1,15,27,32,0,true,true,3-0-1-2,35,35,8,8,53,0,1,34,1,0,0,520,10,530,528,15720,197368,116415,16712184338551384535,18099939999579416210,true,true,true
100,0x143200000,1,2,15,27,36,2,false,false,1-0-3-2,35,35,8,8,53,0,1,34,1,0,0,520,10,579,575,17533,213531,125801,16248958060582684924,6326603776818799269,true,true,true
101,0x143280000,2,0,15,27,36,3,false,true,0-1-2-3,35,35,8,8,53,0,1,34,1,0,0,520,10,581,579,17570,207988,139681,4476589863995820030,12812570256137794783,true,true,true
102,0x143300000,0,1,15,27,36,0,true,false,1-0-3-2,35,35,8,8,53,0,1,34,1,0,0,520,10,581,579,17559,213355,125716,2197548291837093731,12342930316705250413,true,true,true
103,0x143380000,1,2,15,27,36,1,true,true,0-1-2-3,35,35,8,8,53,0,1,34,1,0,0,520,10,581,579,17452,219169,146578,12697653111559786480,5074427522388511076,true,true,true
104,0x143400000,2,0,15,27,44,3,false,false,2-1-0-3,35,35,8,8,53,0,1,34,1,0,0,520,10,666,664,20961,234152,156646,5051447947580114979,11836058942276508776,true,true,true
105,0x143480000,0,1,15,27,44,0,false,true,1-2-3-0,35,35,8,8,53,0,1,34,1,0,0,520,10,666,664,20950,240595,141226,9655304023940516271,15401975885313891541,true,true,true
106,0x143500000,1,2,15,27,44,1,true,false,2-1-0-3,35,35,8,8,53,0,1,34,1,0,0,520,10,666,664,20861,247160,165055,2203805114728647478,14442534285534634909,true,true,true
107,0x143580000,2,0,15,27,44,2,true,true,1-2-3-0,35,35,8,8,53,0,1,34,1,0,0,520,10,664,660,21046,240375,141391,5175626427254225,14207385471819555436,true,true,true
108,0x143600000,0,1,15,27,48,0,false,false,3-2-1-0,35,35,8,8,53,0,1,34,1,0,0,520,10,717,715,23191,257011,150531,5027497023740086529,11163885618244573464,true,true,true
109,0x143680000,1,2,15,27,48,1,false,true,2-3-0-1,35,35,8,8,53,0,1,34,1,0,0,520,10,717,715,23102,264295,176145,713767945221108571,11813698112381525837,true,true,true
110,0x143700000,2,0,15,27,48,2,true,false,3-2-1-0,35,35,8,8,53,0,1,34,1,0,0,520,10,715,711,23293,256821,150740,2113682709827344735,13575343519242633454,true,true,true
111,0x143780000,0,1,15,27,48,3,true,true,2-3-0-1,35,35,8,8,53,0,1,34,1,0,0,520,10,717,715,23194,249920,166820,3602871459105370698,6485196090242467486,true,true,true
112,0x143800000,1,2,15,28,32,3,false,false,2-1-0-3,35,35,8,8,53,0,1,34,1,0,0,520,10,530,528,15619,192860,129510,7216455968615903859,3483765549005476506,true,true,true
113,0x143880000,2,0,15,28,32,0,false,true,1-2-3-0,35,35,8,8,53,0,1,34,1,0,0,520,10,530,528,15776,197559,116418,3570057783095250991,1893858461005464625,true,true,true
114,0x143900000,0,1,15,28,32,1,true,false,2-1-0-3,35,35,8,8,53,0,1,34,1,0,0,520,10,530,528,15717,202204,135495,13868678026343428625,11755272704650141618,true,true,true
115,0x143980000,1,2,15,28,32,2,true,true,1-2-3-0,35,35,8,8,53,0,1,34,1,0,0,520,10,528,524,15706,197275,116455,17833479245944430305,12110347246446942462,true,true,true
116,0x143a00000,2,0,15,28,36,0,false,false,3-2-1-0,35,35,8,8,53,0,1,34,1,0,0,520,10,581,579,17609,213567,125723,14620813010500031070,17073937045358857859,true,true,true
117,0x143a80000,0,1,15,28,36,1,false,true,2-3-0-1,35,35,8,8,53,0,1,34,1,0,0,520,10,581,579,17550,218931,146585,17606910348599890242,14134362604759566564,true,true,true
118,0x143b00000,1,2,15,28,36,2,true,false,3-2-1-0,35,35,8,8,53,0,1,34,1,0,0,520,10,579,575,17545,213313,125804,12188924226370584382,1692167161394043937,true,true,true
119,0x143b80000,2,0,15,28,36,3,true,true,2-3-0-1,35,35,8,8,53,0,1,34,1,0,0,520,10,581,579,17564,208220,139684,15623079373781450617,15095169896449110083,true,true,true
120,0x143c00000,0,1,15,28,44,1,false,false,0-3-2-1,35,35,8,8,53,0,1,34,1,0,0,520,10,666,664,20941,247435,165058,16331832629770327166,5356127487407800951,true,true,true
121,0x143c80000,1,2,15,28,44,2,false,true,3-0-1-2,35,35,8,8,53,0,1,34,1,0,0,520,10,664,660,20936,240644,141384,17442016826154185348,10841154665227725947,true,true,true
122,0x143d00000,2,0,15,28,44,3,true,false,0-3-2-1,35,35,8,8,53,0,1,34,1,0,0,520,10,666,664,20973,233881,156639,15371690642898640784,2324490741061842936,true,true,true
123,0x143d80000,0,1,15,28,44,0,true,true,3-0-1-2,35,35,8,8,53,0,1,34,1,0,0,520,10,666,664,20956,240332,141223,13685543327262329980,3322730842245118501,true,true,true
124,0x143e00000,1,2,15,28,48,2,false,false,1-0-3-2,35,35,8,8,53,0,1,34,1,0,0,520,10,715,711,23177,257111,150737,15832106990553403891,609153455280628098,true,true,true
125,0x143e80000,2,0,15,28,48,3,false,true,0-1-2-3,35,35,8,8,53,0,1,34,1,0,0,520,10,717,715,23214,249616,166817,1205148232854111561,14341258728858501204,true,true,true
126,0x143f00000,0,1,15,28,48,0,true,false,1-0-3-2,35,35,8,8,53,0,1,34,1,0,0,520,10,717,715,23203,256727,150524,2626972707887589634,8393161456801361812,true,true,true
127,0x143f80000,1,2,15,28,48,1,true,true,0-1-2-3,35,35,8,8,53,0,1,34,1,0,0,520,10,717,715,23096,264605,176138,10789852956692421719,698839820124726123,true,true,true
128,0x144000000,2,0,17,24,32,2,false,false,1-0-3-2,35,34,8,6,46,0,1,34,1,0,0,450,10,520,516,15767,192311,123924,12530692814112568821,5969723720915513149,true,true,true
129,0x144080000,0,1,17,24,32,3,false,true,0-1-2-3,35,34,8,6,46,0,1,34,1,0,0,450,10,524,522,15630,187228,121568,15723890519284643029,1644950930659575238,true,true,true
130,0x144100000,1,2,17,24,32,0,true,false,1-0-3-2,35,34,8,6,46,0,1,34,1,0,0,450,10,526,524,15545,192794,123082,1449314984992036386,9330287756397803696,true,true,true
131,0x144180000,2,0,17,24,32,1,true,true,0-1-2-3,35,34,8,7,46,0,1,34,1,0,0,450,10,522,520,15655,197949,130729,12001315277950937756,9191211193596331890,true,true,true
132,0x144200000,0,1,17,24,36,3,false,false,2-1-0-3,35,34,8,6,46,0,1,34,1,0,0,450,10,575,573,17445,202495,131197,16890722407239501345,13522124778054353008,true,true,true
133,0x144280000,1,2,17,24,36,0,false,true,1-2-3-0,35,34,8,6,46,0,1,34,1,0,0,450,10,577,575,17360,208695,132966,9512068462099982622,102413910362505016,true,true,true
134,0x144300000,2,0,17,24,36,1,true,false,2-1-0-3,35,34,8,7,46,0,1,34,1,0,0,450,10,573,571,17488,214206,141522,9556378449061901353,13079792014889979634,true,true,true
135,0x144380000,0,1,17,24,36,2,true,true,1-2-3-0,35,34,8,6,46,0,1,34,1,0,0,450,10,571,567,17559,207892,134000,5253653667899165518,9923027312415478800,true,true,true
136,0x144400000,1,2,17,24,44,0,false,false,3-2-1-0,35,34,8,6,46,0,1,34,1,0,0,450,10,662,660,20737,235190,149435,11456984537883764158,3179604611429624169,true,true,true
137,0x144480000,2,0,17,24,44,1,false,true,2-3-0-1,35,34,8,7,46,0,1,34,1,0,0,450,10,658,656,20860,241999,159512,15182416600157774849,6015086539125261967,true,true,true
138,0x144500000,0,1,17,24,44,2,true,false,3-2-1-0,35,34,8,6,46,0,1,34,1,0,0,450,10,656,652,20952,234530,150785,521254061827246060,490995907270816243,true,true,true
139,0x144580000,1,2,17,24,44,3,true,true,2-3-0-1,35,34,8,6,46,0,1,34,1,0,0,450,10,660,658,20756,227949,147235,8568271280838759441,139167310011339699,true,true,true
140,0x144600000,2,0,17,24,48,1,false,false,0-3-2-1,35,34,8,7,46,0,1,34,1,0,0,450,10,709,707,23077,259237,170301,1204973587103676988,13989358534815620531,true,true,true
141,0x144680000,0,1,17,24,48,2,false,true,3-0-1-2,35,34,8,6,46,0,1,34,1,0,0,450,10,707,703,23181,251047,160851,17785540368982931680,5764209973417826911,true,true,true
