stage,row,namespace,positions,cell_order,identity_rotation,reverse_arrows,reverse_spikes,delay,skew,phase_pattern,first_firings,second_firings,joint_firings,joint_expected,refractory_suppressed,blocked_outputs,stale_outputs,absent_outputs,threshold2_outputs,naturally_quiescent,replay_exact,external_spikes,source_firings,convergence_firings,downstream_firings,crossings,deallocations,proposals,cells,arrows,persistent_bytes,work,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,claims,passed
definitive,25,0xc40001900000,-32|32|0|96,0|2|1|3,0,true,true,1,2,1,1|0|1|1,0|1|1|1,1|1|2|2,2,false,0|1|0|1,0|1|0|1,0|1|0|1,0|0|1,true,true,120,30,15,15,15,4,0,92,65,8576,1340,true,true,true,true,true,true,true,true,true,true,true,true,true,true,14,true
definitive,26,0xc40001a00000,64|-64|0|-192,1|0|3|2,1,false,true,2,2,2,1|0|1|1,0|1|1|1,1|1|2|2,2,false,0|1|0|1,0|1|0|1,0|1|0|1,0|0|1,true,true,120,30,15,15,15,4,0,92,65,8576,1344,true,true,true,true,true,true,true,true,true,true,true,true,true,true,14,true
definitive,27,0xc40001b00000,-8|8|0|24,2|0|1|3,2,false,false,3,2,0,1|0|1|1,0|1|1|1,1|1|2|2,2,false,0|1|0|1,0|1|0|1,0|1|0|1,0|0|1,true,true,120,30,15,15,15,4,0,92,65,8576,1330,true,true,true,true,true,true,true,true,true,true,true,true,true,true,14,true
definitive,28,0xc40001c00000,16|-16|0|-48,2|3|1|0,3,true,false,4,2,1,1|0|1|1,0|1|1|1,1|1|2|2,2,false,0|1|0|1,0|1|0|1,0|1|0|1,0|0|1,true,true,120,30,15,15,15,4,0,92,65,8576,1344,true,true,true,true,true,true,true,true,true,true,true,true,true,true,14,true
definitive,29,0xc40001d00000,-32|32|0|96,3|2|0|1,0,true,false,5,2,2,1|0|1|1,0|1|1|1,1|1|2|2,2,false,0|1|0|1,0|1|0|1,0|1|0|1,0|0|1,true,true,120,30,15,15,15,4,0,92,65,8576,1345,true,true,true,true,true,true,true,true,true,true,true,true,true,true,14,true
definitive,30,0xc40001e00000,64|-64|0|-192,0|2|3|1,1,false,true,0,3,0,1|0|1|1,0|1|1|1,1|1|2|2,2,false,0|1|0|1,0|1|0|1,0|1|0|1,0|0|1,true,true,120,30,15,15,15,4,0,92,65,8576,1336,true,true,true,true,true,true,true,true,true,true,true,true,true,true,14,true
definitive,31,0xc40001f00000,-8|8|0|24,1|2|0|3,2,false,true,1,3,1,1|0|1|1,0|1|1|1,1|1|2|2,2,false,0|1|0|1,0|1|0|1,0|1|0|1,0|0|1,true,true,120,30,15,15,15,4,0,92,65,8576,1343,true,true,true,true,true,true,true,true,true,true,true,true,true,true,14,true
definitive,32,0xc40002000000,16|-16|0|-48,2|0|3|1,3,true,true,2,3,2,1|0|1|1,0|1|1|1,1|1|2|2,2,false,0|1|0|1,0|1|0|1,0|1|0|1,0|0|1,true,true,120,30,15,15,15,4,0,92,65,8576,1341,true,true,true,true,true,true,true,true,true,true,true,true,true,true,14,true
definitive,33,0xc40002100000,-32|32|0|96,3|0|1|2,0,true,false,3,3,0,1|0|1|1,0|1|1|1,1|1|2|2,2,false,0|1|0|1,0|1|0|1,0|1|0|1,0|0|1,true,true,120,30,15,15,15,4,0,92,65,8576,1344,true,true,true,true,true,true,true,true,true,true,true,true,true,true,14,true
definitive,34,0xc40002200000,64|-64|0|-192,3|2|1|0,1,false,false,4,3,1,1|0|1|1,0|1|1|1,1|1|2|2,2,false,0|1|0|1,0|1|0|1,0|1|0|1,0|0|1,true,true,120,30,15,15,15,4,0,92,65,8576,1344,true,true,true,true,true,true,true,true,true,true,true,true,true,true,14,true
definitive,35,0xc40002300000,-8|8|0|24,0|3|1|2,2,false,false,5,3,2,1|0|1|1,0|1|1|1,1|1|2|2,2,false,0|1|0|1,0|1|0|1,0|1|0|1,0|0|1,true,true,120,30,15,15,15,4,0,92,65,8576,1345,true,true,true,true,true,true,true,true,true,true,true,true,true,true,14,true
definitive,36,0xc40002400000,16|-16|0|-48,1|2|3|0,3,true,true,0,4,0,1|0|1|1,0|1|1|1,1|1|2|2,2,false,0|1|0|1,0|1|0|1,0|1|0|1,0|0|1,true,true,120,30,15,15,15,4,0,92,65,8576,1343,true,true,true,true,true,true,true,true,true,true,true,true,true,true,14,true
definitive,37,0xc40002500000,-32|32|0|96,2|1|0|3,0,true,true,1,4,1,1|0|1|1,0|1|1|1,1|1|2|2,2,false,0|1|0|1,0|1|0|1,0|1|0|1,0|0|1,true,true,120,30,15,15,15,4,0,92,65,8576,1348,true,true,true,true,true,true,true,true,true,true,true,true,true,true,14,true
