row_id,stage,family,spec_fingerprint,b_effect,e_effect,prediction_diff,b_false_conjunction,e_false_conjunction,b_row_pass,e_row_pass,b_work,e_work,b_persistent_bytes,e_persistent_bytes,b_quiescent,e_quiescent
coverage-correction-v2-timing-transfer-s1307-m0-r0-t2-c1-l4-d2-tr2-a2,gate,timing_transfer,11188536185744825384,0,0,false,false,false,true,true,39,53,272,272,true,true
coverage-correction-v2-timing-transfer-s1307-m0-r0-t2-c1-l4-d3-tr2-a2,gate,timing_transfer,4360638449804461948,0,0,false,false,false,true,true,39,53,272,272,true,true
coverage-correction-v2-timing-transfer-s1307-m0-r0-t2-c1-l4-d4-tr2-a2,gate,timing_transfer,14509553031327541100,0,0,false,false,false,true,true,39,53,272,272,true,true
coverage-correction-v2-timing-transfer-s1307-m0-r0-t2-c1-l4-d5-tr2-a2,gate,timing_transfer,17157708034303054136,0,0,false,false,false,true,true,39,53,272,272,true,true
coverage-correction-v2-timing-transfer-s1307-m0-r0-t2-c1-l4-d-1-tr4-a2,gate,timing_transfer,3040776090582631502,0,0,false,false,false,true,true,39,54,272,272,true,true
coverage-correction-v2-timing-transfer-s1307-m0-r0-t2-c1-l4-d0-tr4-a2,gate,timing_transfer,18230224755193464636,1,1,false,false,false,true,true,60,65,272,272,true,true
coverage-correction-v2-timing-transfer-s1307-m0-r0-t2-c1-l4-d1-tr4-a2,gate,timing_transfer,15476991675888461864,0,0,false,false,false,true,true,39,53,272,272,true,true
coverage-correction-v2-timing-transfer-s1307-m0-r0-t2-c1-l4-d2-tr4-a2,gate,timing_transfer,8632328256404566408,0,0,false,false,false,true,true,39,53,272,272,true,true
coverage-correction-v2-timing-transfer-s1307-m0-r0-t2-c1-l4-d3-tr4-a2,gate,timing_transfer,10299128386127586244,0,0,false,false,false,true,true,39,53,272,272,true,true
coverage-correction-v2-timing-transfer-s1307-m0-r0-t2-c1-l4-d4-tr4-a2,gate,timing_transfer,11025519533839249020,0,0,false,false,false,true,true,39,53,272,272,true,true
coverage-correction-v2-timing-transfer-s1307-m0-r0-t2-c1-l4-d5-tr4-a2,gate,timing_transfer,3418306224765053248,0,0,false,false,false,true,true,39,53,272,272,true,true
coverage-correction-v2-contemporary-reversal-s1307-m0-r0-t2-c1-l4-d0-tr0-a2,gate,shared_control,12956432505992217846,2,4,true,false,false,false,false,550,853,912,848,true,true
coverage-correction-v2-burst-4-s1307-m0-r0-t2-c1-l12-d1-tr0-a2,gate,same_source_bursts,59735557615976503,0,0,false,false,false,true,true,42,67,272,272,true,true
coverage-correction-v2-blocked-late-return-s1307-m0-r0-t2-c1-l12-d0-tr0-a6,gate,dense_return_topology,14207163325356418049,1,1,false,false,false,true,true,324,323,1408,1408,true,true
coverage-correction-v2-timing-transfer-s1307-m0-r0-t2-c1-l12-d-1-tr0-a2,gate,timing_transfer,5553932970596192972,0,0,false,false,false,true,true,62,67,272,272,true,true
coverage-correction-v2-timing-transfer-s1307-m0-r0-t2-c1-l12-d0-tr0-a2,gate,timing_transfer,10124407265357197324,1,1,false,false,false,true,true,83,78,272,272,true,true
coverage-correction-v2-timing-transfer-s1307-m0-r0-t2-c1-l12-d1-tr0-a2,gate,timing_transfer,17261601547380948506,0,0,false,false,false,true,true,62,66,272,272,true,true
coverage-correction-v2-timing-transfer-s1307-m0-r0-t2-c1-l12-d2-tr0-a2,gate,timing_transfer,14826462243068743816,0,0,false,false,false,true,true,62,66,272,272,true,true
coverage-correction-v2-timing-transfer-s1307-m0-r0-t2-c1-l12-d3-tr0-a2,gate,timing_transfer,12882620931782369474,0,0,false,false,false,true,true,62,66,272,272,true,true
coverage-correction-v2-timing-transfer-s1307-m0-r0-t2-c1-l12-d4-tr0-a2,gate,timing_transfer,5192036900965095916,0,0,false,false,false,true,true,62,66,272,272,true,true
coverage-correction-v2-timing-transfer-s1307-m0-r0-t2-c1-l12-d5-tr0-a2,gate,timing_transfer,12776719265330659642,0,0,false,false,false,true,true,62,66,272,272,true,true
coverage-correction-v2-timing-transfer-s1307-m0-r0-t2-c1-l12-d-1-tr2-a2,gate,timing_transfer,10017393062704747136,0,0,false,false,false,true,true,39,54,272,272,true,true
coverage-correction-v2-timing-transfer-s1307-m0-r0-t2-c1-l12-d0-tr2-a2,gate,timing_transfer,10304521098133510052,1,1,false,false,false,true,true,60,65,272,272,true,true
coverage-correction-v2-timing-transfer-s1307-m0-r0-t2-c1-l12-d1-tr2-a2,gate,timing_transfer,2972148476948100446,0,0,false,false,false,true,true,39,53,272,272,true,true
coverage-correction-v2-timing-transfer-s1307-m0-r0-t2-c1-l12-d2-tr2-a2,gate,timing_transfer,7563511612666944608,0,0,false,false,false,true,true,39,53,272,272,true,true
coverage-correction-v2-timing-transfer-s1307-m0-r0-t2-c1-l12-d3-tr2-a2,gate,timing_transfer,5046425613849664622,0,0,false,false,false,true,true,39,53,272,272,true,true
coverage-correction-v2-timing-transfer-s1307-m0-r0-t2-c1-l12-d4-tr2-a2,gate,timing_transfer,15463586406314319348,0,0,false,false,false,true,true,39,53,272,272,true,true
coverage-correction-v2-timing-transfer-s1307-m0-r0-t2-c1-l12-d5-tr2-a2,gate,timing_transfer,13843204842679044118,0,0,false,false,false,true,true,39,53,272,272,true,true
coverage-correction-v2-timing-transfer-s1307-m0-r0-t2-c1-l12-d-1-tr4-a2,gate,timing_transfer,6751931787493253188,0,0,false,false,false,true,true,39,54,272,272,true,true
coverage-correction-v2-timing-transfer-s1307-m0-r0-t2-c1-l12-d0-tr4-a2,gate,timing_transfer,1995402098089373140,1,1,false,false,false,true,true,60,65,272,272,true,true
coverage-correction-v2-timing-transfer-s1307-m0-r0-t2-c1-l12-d1-tr4-a2,gate,timing_transfer,5419256593213749522,0,0,false,false,false,true,true,39,53,272,272,true,true
coverage-correction-v2-timing-transfer-s1307-m0-r0-t2-c1-l12-d2-tr4-a2,gate,timing_transfer,1775851138799579376,0,0,false,false,false,true,true,39,53,272,272,true,true
coverage-correction-v2-timing-transfer-s1307-m0-r0-t2-c1-l12-d3-tr4-a2,gate,timing_transfer,930415419717042578,0,0,false,false,false,true,true,39,53,272,272,true,true
coverage-correction-v2-timing-transfer-s1307-m0-r0-t2-c1-l12-d4-tr4-a2,gate,timing_transfer,3455427641165628740,0,0,false,false,false,true,true,39,53,272,272,true,true
coverage-correction-v2-timing-transfer-s1307-m0-r0-t2-c1-l12-d5-tr4-a2,gate,timing_transfer,18332868837608349058,0,0,false,false,false,true,true,39,53,272,272,true,true
coverage-correction-v2-contemporary-reversal-s1307-m0-r0-t2-c1-l12-d0-tr0-a2,gate,shared_control,13750852729733431530,2,4,true,false,false,false,false,550,853,912,848,true,true
coverage-correction-v2-burst-4-s1307-m0-r0-t2-c2-l0-d1-tr0-a2,gate,same_source_bursts,7767291181099473487,4,2,true,true,true,false,false,140,94,272,272,true,true
coverage-correction-v2-blocked-late-return-s1307-m0-r0-t2-c2-l0-d0-tr0-a6,gate,dense_return_topology,16017195284063593625,1,1,false,false,false,true,true,96,65,832,832,true,true
coverage-correction-v2-timing-transfer-s1307-m0-r0-t2-c2-l0-d-1-tr0-a2,gate,timing_transfer,13892669500451363528,1,1,false,false,false,true,true,107,79,272,272,true,true
coverage-correction-v2-timing-transfer-s1307-m0-r0-t2-c2-l0-d0-tr0-a2,gate,timing_transfer,16681446703383858780,1,1,false,false,false,true,true,105,78,272,272,true,true
coverage-correction-v2-timing-transfer-s1307-m0-r0-t2-c2-l0-d1-tr0-a2,gate,timing_transfer,4160274659835115792,1,0,true,false,false,true,true,104,66,272,272,true,true
