arm,seed,suite,scenario,namespace,updates_a,updates_b,resistance_a,resistance_b,coupling_a,coupling_b,live_a,live_b,crossings_a,crossings_b,generations,work,accepts,path_edges,firings,deallocations,bytes,fingerprint,permanent,quiescent,clauses,replay,passed
C,5227,dense,lawful-return-in-dense-world,2009111345496064,1,0,4,1,2,1,true,true,1,0,a1|b1,176,1,0,5,0,2784,816516208403294695,9127031105495703494,true,true|true|true|true|true|true|true|true,true,true
C,5227,dense,other-candidate-return,2009111346544640,0,0,1,1,1,1,true,true,1,0,a1|b1,173,0,0,5,0,2784,10210372372449611425,3039449404980668016,true,true|true|true|true|true|true|true|true,true,true
C,5227,dense,both-traverse-one-return,2009111347593216,1,0,4,1,2,1,true,true,1,1,a1|b1,324,1,0,9,0,2784,9955681226186580334,372652715332949574,true,true|true|true|true|true|true|true|true,true,true
C,5227,dense,both-traverse-both-return,2009111348641792,1,1,4,4,2,2,true,true,1,1,a1|b1,374,2,0,10,0,2784,1358525347531151893,13624083261159872792,true,true|true|true|true|true|true|true|true,true,true
C,5227,dense,cross-and-distractors-no-return,2009111349690368,0,0,1,1,1,1,true,true,2,1,a1|b1,1256,0,0,25,0,2784,3256251612484426999,10311243878020462320,true,true|true|true|true|true|true|true|true,true,true
C,5227,dense,lawful-return-with-all-distractors,2009111350738944,1,0,4,1,2,1,true,true,2,1,a1|b1,1259,1,0,25,0,2784,13145553622810163005,7304462406188558022,true,true|true|true|true|true|true|true|true,true,true
C,5227,dense,return-without-candidate,2009111351787520,0,0,1,1,1,1,true,true,0,0,a1|b1,35,0,0,1,0,2784,8983678287655196682,7675197961273248176,true,true|true|true|true|true|true|true|true,true,true
C,5227,dense,late-lawful-return,2009111352836096,0,0,0,1,1,1,false,true,1,0,a2|b1,177,0,0,5,1,2784,6918312258467270603,7839384163390010019,true,true|true|true|true|true|true|true|true,true,true
C,5227,dense,adjacent-renewed-upstream,2009111353884672,0,0,1,1,1,1,true,true,2,0,a1|b1,276,0,0,8,0,2784,1362745359757868712,18151079144369221872,true,true|true|true|true|true|true|true|true,true,true
C,5227,px0,acquisition,2009111361224704,0,0,12,0,2,1,true,false,4,0,a1|b2,528,4,0,20,1,992,15303113707422291063,13924406684588947949,true,true|true|true|true|true|true|true|true,true,true
C,5227,px0,probation,2009111362273280,0,0,0,0,2,1,false,false,1,0,a2|b2,109,1,0,5,2,992,12136371683987759552,7985093760591650183,true,true|true|true|true|true|true|true|true,true,true
C,5227,px0,stable-return-specificity,2009111363321856,0,0,4,1,2,1,true,true,1,1,a1|b1,180,1,0,9,0,992,15330685132417153481,766915585979455053,true,true|true|true|true|true|true|true|true,true,true
C,5227,px0,forgetting,2009111364370432,0,0,0,0,2,1,false,false,4,0,a2|b2,546,4,0,20,2,992,9732210228513263862,11544905550511422148,true,true|true|true|true|true|true|true|true,true,true
C,5227,px0,fresh-reproposal,2009111365419008,0,0,1,0,1,0,true,false,4,0,old2|fresh6,85,0,0,6,1,560,11413928099646522959,18155177357788336677,true,true|true|true|true|true|true|true|true,true,true
C,5227,px0,reacquisition,2009111366467584,0,0,11,0,2,0,true,false,11,0,old2|fresh6,280,4,0,16,1,560,5365379477671578891,15979474055644499209,true,true|true|true|true|true|true|true|true,true,true
C,5227,px1,support-a,2009111378001920,1,0,7,1,2,1,true,true,2,0,a1|b1,216,2,0,10,0,992,12680302638881909005,12178870989701523919,true,true|true|true|true|true|true|true|true,true,true
C,5227,px1,support-b,2009111379050496,0,1,1,7,1,2,true,true,0,2,a1|b1,216,2,0,10,0,992,17570486334644158545,14474450064398710367,true,true|true|true|true|true|true|true|true,true,true
C,5227,px1,no-support,2009111380099072,0,0,1,1,1,1,true,true,0,0,a1|b1,0,0,0,0,0,992,7449060769700054397,17259003330387777901,true,true|true|true|true|true|true|true|true,true,true
C,5227,px1,participation-return-blocked,2009111381147648,0,0,0,1,1,1,false,true,1,0,a2|b1,136,0,0,7,1,992,12074659469557376321,12146606627668529614,true,true|true|true|true|true|true|true|true,true,true
C,5227,px1,return-without-participation,2009111382196224,0,0,1,1,1,1,true,true,0,0,a1|b1,41,0,0,2,0,992,14791943301878177128,5899710708379747306,true,true|true|true|true|true|true|true|true,true,true
C,5227,px1,joint-participation,2009111383244800,1,1,7,7,2,2,true,true,2,2,a1|b1,518,4,0,20,0,992,10774979350341735984,9180065110160844589,true,true|true|true|true|true|true|true|true,true,true
C,5227,px2,forward-traversal-return,2009111394779136,1,0,7,1,2,1,true,true,2,0,a1|b1,216,2,0,10,0,992,10347488758439487831,17409088412999243645,true,true|true|true|true|true|true|true|true,true,true
C,5227,px2,reverse-traversal-return,2009111395827712,0,1,1,7,1,2,true,true,0,2,a1|b1,216,2,0,10,0,992,13550080842306141619,10070544530180544653,true,true|true|true|true|true|true|true|true,true,true
C,5227,px2,correlation-without-traversal,2009111396876288,0,0,0,0,1,1,false,false,0,0,a2|b2,370,0,0,12,2,992,4574745650559336336,3779956449594394703,true,true|true|true|true|true|true|true|true,true,true
C,5227,px2,forward-return-blocked,2009111397924864,0,0,0,1,1,1,false,true,1,0,a2|b1,136,0,0,7,1,992,15112296196151763195,10877015797213337532,true,true|true|true|true|true|true|true|true,true,true
C,5227,px2,joint-traversal-return,2009111398973440,1,1,7,7,2,2,true,true,2,2,a1|b1,518,4,0,20,0,992,1940485182129586470,12538567152031066287,true,true|true|true|true|true|true|true|true,true,true
C,5227,px2,forward-with-wrong-way-observation,2009111400022016,1,0,6,0,2,1,true,false,2,0,a1|b2,452,2,0,16,1,992,1819218359139250538,518065761069458393,true,true|true|true|true|true|true|true|true,true,true
C,5227,px2,reverse-with-wrong-way-observation,2009111401070592,0,1,0,6,1,2,false,true,0,2,a2|b1,452,2,0,16,1,992,16661935837248873770,9575839748116597773,true,true|true|true|true|true|true|true|true,true,true
C,5231,dense,unrelated-nearby-no-lawful-return,2009112418189312,0,0,1,1,1,1,true,true,1,0,a1|b1,175,0,0,5,0,2784,6068413709938680322,5077361163281754672,true,true|true|true|true|true|true|true|true,true,true
C,5231,dense,lawful-return-in-dense-world,2009112419237888,1,0,4,1,2,1,true,true,1,0,a1|b1,176,1,0,5,0,2784,4497366481899061223,11617441103441681734,true,true|true|true|true|true|true|true|true,true,true
C,5231,dense,other-candidate-return,2009112420286464,0,0,1,1,1,1,true,true,1,0,a1|b1,173,0,0,5,0,2784,13142695387355107361,6303944822679468784,true,true|true|true|true|true|true|true|true,true,true
C,5231,dense,both-traverse-one-return,2009112421335040,1,0,4,1,2,1,true,true,1,1,a1|b1,324,1,0,9,0,2784,1783763424227860846,13723262685504061382,true,true|true|true|true|true|true|true|true,true,true
C,5231,dense,both-traverse-both-return,2009112422383616,1,1,4,4,2,2,true,true,1,1,a1|b1,374,2,0,10,0,2784,12441822411679122837,8023800776891236760,true,true|true|true|true|true|true|true|true,true,true
C,5231,dense,cross-and-distractors-no-return,2009112423432192,0,0,1,1,1,1,true,true,2,1,a1|b1,1256,0,0,25,0,2784,3067567688990860279,16079559577772701296,true,true|true|true|true|true|true|true|true,true,true
C,5231,dense,lawful-return-with-all-distractors,2009112424480768,1,0,4,1,2,1,true,true,2,1,a1|b1,1259,1,0,25,0,2784,15327153958322993853,16374873376786521670,true,true|true|true|true|true|true|true|true,true,true
C,5231,dense,return-without-candidate,2009112425529344,0,0,1,1,1,1,true,true,0,0,a1|b1,35,0,0,1,0,2784,1030636547095022858,1787627669071283376,true,true|true|true|true|true|true|true|true,true,true
C,5231,dense,late-lawful-return,2009112426577920,0,0,0,1,1,1,false,true,1,0,a2|b1,177,0,0,5,1,2784,2684385571323814859,13656508260827994531,true,true|true|true|true|true|true|true|true,true,true
C,5231,dense,adjacent-renewed-upstream,2009112427626496,0,0,1,1,1,1,true,true,2,0,a1|b1,276,0,0,8,0,2784,3476661389333950888,1052775029668407408,true,true|true|true|true|true|true|true|true,true,true
