family,permutation,mechanics,replay_equal,cross_equal,baseline_equal,expected_firing,physical_work,tick,quiescent,pending,loads,trace_hash,case_pass
preexisting_state,reverse_cell_insertion,reference,true,true,true,true,21,0,true,0,0,04890fe3065173744a741c71a59984827de3f55a845c36f0c6df1ed0ed2465c1,true
preexisting_state,reverse_cell_insertion,production,true,true,true,true,21,0,true,0,0,04890fe3065173744a741c71a59984827de3f55a845c36f0c6df1ed0ed2465c1,true
preexisting_state,reverse_arrow_insertion,reference,true,true,true,true,21,0,true,0,0,04890fe3065173744a741c71a59984827de3f55a845c36f0c6df1ed0ed2465c1,true
preexisting_state,reverse_arrow_insertion,production,true,true,true,true,21,0,true,0,0,04890fe3065173744a741c71a59984827de3f55a845c36f0c6df1ed0ed2465c1,true
preexisting_state,reverse_physical_names,reference,true,true,true,true,21,0,true,0,0,04890fe3065173744a741c71a59984827de3f55a845c36f0c6df1ed0ed2465c1,true
preexisting_state,reverse_physical_names,production,true,true,true,true,21,0,true,0,0,04890fe3065173744a741c71a59984827de3f55a845c36f0c6df1ed0ed2465c1,true
preexisting_state,random_physical_names,reference,true,true,true,true,21,0,true,0,0,04890fe3065173744a741c71a59984827de3f55a845c36f0c6df1ed0ed2465c1,true
preexisting_state,random_physical_names,production,true,true,true,true,21,0,true,0,0,04890fe3065173744a741c71a59984827de3f55a845c36f0c6df1ed0ed2465c1,true
different_junctions,identity,reference,true,true,true,true,12,0,true,0,0,031bb8e28259670136c6e476c88aece1cb84fcccca40e553f1083dba1d8b17ac,true
different_junctions,identity,production,true,true,true,true,12,0,true,0,0,031bb8e28259670136c6e476c88aece1cb84fcccca40e553f1083dba1d8b17ac,true
different_junctions,reverse_input,reference,true,true,false,true,12,0,true,0,0,9454980943354483a02abf7d4898996d9cc4599949356694ecdd23163d4b2d58,false
different_junctions,reverse_input,production,true,true,false,true,12,0,true,0,0,9454980943354483a02abf7d4898996d9cc4599949356694ecdd23163d4b2d58,false
different_junctions,reverse_cell_insertion,reference,true,true,true,true,12,0,true,0,0,031bb8e28259670136c6e476c88aece1cb84fcccca40e553f1083dba1d8b17ac,true
different_junctions,reverse_cell_insertion,production,true,true,true,true,12,0,true,0,0,031bb8e28259670136c6e476c88aece1cb84fcccca40e553f1083dba1d8b17ac,true
different_junctions,reverse_arrow_insertion,reference,true,true,true,true,12,0,true,0,0,031bb8e28259670136c6e476c88aece1cb84fcccca40e553f1083dba1d8b17ac,true
different_junctions,reverse_arrow_insertion,production,true,true,true,true,12,0,true,0,0,031bb8e28259670136c6e476c88aece1cb84fcccca40e553f1083dba1d8b17ac,true
different_junctions,reverse_physical_names,reference,true,true,true,true,12,0,true,0,0,031bb8e28259670136c6e476c88aece1cb84fcccca40e553f1083dba1d8b17ac,true
different_junctions,reverse_physical_names,production,true,true,true,true,12,0,true,0,0,031bb8e28259670136c6e476c88aece1cb84fcccca40e553f1083dba1d8b17ac,true
different_junctions,random_physical_names,reference,true,true,true,true,12,0,true,0,0,031bb8e28259670136c6e476c88aece1cb84fcccca40e553f1083dba1d8b17ac,true
different_junctions,random_physical_names,production,true,true,true,true,12,0,true,0,0,031bb8e28259670136c6e476c88aece1cb84fcccca40e553f1083dba1d8b17ac,true
parallel_arrows,identity,reference,true,true,true,true,20,0,true,0,0,13df9747e724010a38759ab6ec28431e70ea844bc58416ef4f3fb13e75ab3bf2,true
parallel_arrows,identity,production,true,true,true,true,20,0,true,0,0,13df9747e724010a38759ab6ec28431e70ea844bc58416ef4f3fb13e75ab3bf2,true
parallel_arrows,reverse_input,reference,true,true,true,true,20,0,true,0,0,13df9747e724010a38759ab6ec28431e70ea844bc58416ef4f3fb13e75ab3bf2,true
parallel_arrows,reverse_input,production,true,true,true,true,20,0,true,0,0,13df9747e724010a38759ab6ec28431e70ea844bc58416ef4f3fb13e75ab3bf2,true
parallel_arrows,reverse_cell_insertion,reference,true,true,true,true,20,0,true,0,0,13df9747e724010a38759ab6ec28431e70ea844bc58416ef4f3fb13e75ab3bf2,true
parallel_arrows,reverse_cell_insertion,production,true,true,true,true,20,0,true,0,0,13df9747e724010a38759ab6ec28431e70ea844bc58416ef4f3fb13e75ab3bf2,true
parallel_arrows,reverse_arrow_insertion,reference,true,true,true,true,20,0,true,0,0,13df9747e724010a38759ab6ec28431e70ea844bc58416ef4f3fb13e75ab3bf2,true
parallel_arrows,reverse_arrow_insertion,production,true,true,true,true,20,0,true,0,0,13df9747e724010a38759ab6ec28431e70ea844bc58416ef4f3fb13e75ab3bf2,true
parallel_arrows,reverse_physical_names,reference,true,true,true,true,20,0,true,0,0,13df9747e724010a38759ab6ec28431e70ea844bc58416ef4f3fb13e75ab3bf2,true
parallel_arrows,reverse_physical_names,production,true,true,true,true,20,0,true,0,0,13df9747e724010a38759ab6ec28431e70ea844bc58416ef4f3fb13e75ab3bf2,true
parallel_arrows,random_physical_names,reference,true,true,true,true,20,0,true,0,0,13df9747e724010a38759ab6ec28431e70ea844bc58416ef4f3fb13e75ab3bf2,true
parallel_arrows,random_physical_names,production,true,true,true,true,20,0,true,0,0,13df9747e724010a38759ab6ec28431e70ea844bc58416ef4f3fb13e75ab3bf2,true
zero_delay_chain,identity,reference,true,true,true,true,14,0,true,0,0,4a7b1968c687e1de3ea184c7f8d30e9d8b15ba4234b663f182919aa2ff7f8024,true
zero_delay_chain,identity,production,true,true,true,true,14,0,true,0,0,4a7b1968c687e1de3ea184c7f8d30e9d8b15ba4234b663f182919aa2ff7f8024,true
zero_delay_chain,reverse_input,reference,true,true,true,true,14,0,true,0,0,4a7b1968c687e1de3ea184c7f8d30e9d8b15ba4234b663f182919aa2ff7f8024,true
zero_delay_chain,reverse_input,production,true,true,true,true,14,0,true,0,0,4a7b1968c687e1de3ea184c7f8d30e9d8b15ba4234b663f182919aa2ff7f8024,true
zero_delay_chain,reverse_cell_insertion,reference,true,true,true,true,14,0,true,0,0,4a7b1968c687e1de3ea184c7f8d30e9d8b15ba4234b663f182919aa2ff7f8024,true
zero_delay_chain,reverse_cell_insertion,production,true,true,true,true,14,0,true,0,0,4a7b1968c687e1de3ea184c7f8d30e9d8b15ba4234b663f182919aa2ff7f8024,true
zero_delay_chain,reverse_arrow_insertion,reference,true,true,true,true,14,0,true,0,0,4a7b1968c687e1de3ea184c7f8d30e9d8b15ba4234b663f182919aa2ff7f8024,true
zero_delay_chain,reverse_arrow_insertion,production,true,true,true,true,14,0,true,0,0,4a7b1968c687e1de3ea184c7f8d30e9d8b15ba4234b663f182919aa2ff7f8024,true
zero_delay_chain,reverse_physical_names,reference,true,true,true,true,14,0,true,0,0,4a7b1968c687e1de3ea184c7f8d30e9d8b15ba4234b663f182919aa2ff7f8024,true
zero_delay_chain,reverse_physical_names,production,true,true,true,true,14,0,true,0,0,4a7b1968c687e1de3ea184c7f8d30e9d8b15ba4234b663f182919aa2ff7f8024,true
zero_delay_chain,random_physical_names,reference,true,true,true,true,14,0,true,0,0,4a7b1968c687e1de3ea184c7f8d30e9d8b15ba4234b663f182919aa2ff7f8024,true
zero_delay_chain,random_physical_names,production,true,true,true,true,14,0,true,0,0,4a7b1968c687e1de3ea184c7f8d30e9d8b15ba4234b663f182919aa2ff7f8024,true
zero_delay_fanout_merge,identity,reference,true,true,true,true,37,0,true,0,0,1aa6a73778ce75cb29fdd5b21ad39516e6909da75b27c19f1d7e3c111afa5eae,true
zero_delay_fanout_merge,identity,production,true,true,true,true,37,0,true,0,0,1aa6a73778ce75cb29fdd5b21ad39516e6909da75b27c19f1d7e3c111afa5eae,true
zero_delay_fanout_merge,reverse_input,reference,true,true,true,true,37,0,true,0,0,1aa6a73778ce75cb29fdd5b21ad39516e6909da75b27c19f1d7e3c111afa5eae,true
