profile,mechanics,index,context,stage,role,contact,arrow,coupling,resistance,participation
CORE1-B,replay,1,34,after,direct,none,24590,4294967296,3006477108,3538944000
CORE1-B,replay,1,34,after,direct,none,24591,-4294967296,3006477108,3538944000
CORE1-B,replay,1,34,after,outgoing,834,24590,4294967296,3006477108,3538944000
CORE1-B,replay,1,34,after,outgoing,834,24591,-4294967296,3006477108,3538944000
CORE1-B,replay,1,34,after,outgoing,838,838,4294967296,272300926567,3774873600
CORE1-B,replay,1,34,consequence,direct,none,24590,4294967296,1717986919,2916000000
CORE1-B,replay,1,34,consequence,direct,none,24591,-4294967296,1717986919,2916000000
CORE1-B,replay,1,34,consequence,outgoing,834,24590,4294967296,1717986919,2916000000
CORE1-B,replay,1,34,consequence,outgoing,834,24591,-4294967296,1717986919,2916000000
CORE1-B,replay,1,34,consequence,outgoing,838,838,4294967296,271012436378,3110400000
CORE1-B,replay,1,34,probe,direct,none,24598,4294967296,3006477108,3538944000
CORE1-B,replay,1,34,probe,direct,none,24599,-4294967296,3006477108,3538944000
CORE1-B,replay,1,34,probe,outgoing,834,24598,4294967296,3006477108,3538944000
CORE1-B,replay,1,34,probe,outgoing,834,24599,-4294967296,3006477108,3538944000
CORE1-B,replay,1,34,probe,outgoing,838,838,4294967296,265858475623,1433743821
CORE1-B,replay,2,980,before,outgoing,23530,23530,4294967296,274877906944,0
CORE1-B,replay,2,980,after,direct,none,24594,4294967296,3006477108,3538944000
CORE1-B,replay,2,980,after,direct,none,24595,-4294967296,3006477108,3538944000
CORE1-B,replay,2,980,after,outgoing,23526,24594,4294967296,3006477108,3538944000
CORE1-B,replay,2,980,after,outgoing,23526,24595,-4294967296,3006477108,3538944000
CORE1-B,replay,2,980,after,outgoing,23530,23530,4294967296,271012436378,3774873600
CORE1-B,replay,2,980,consequence,direct,none,24594,4294967296,1717986919,2916000000
CORE1-B,replay,2,980,consequence,direct,none,24595,-4294967296,1717986919,2916000000
CORE1-B,replay,2,980,consequence,outgoing,23526,24594,4294967296,1717986919,2916000000
CORE1-B,replay,2,980,consequence,outgoing,23526,24595,-4294967296,1717986919,2916000000
CORE1-B,replay,2,980,consequence,outgoing,23530,23530,4294967296,269723946189,3110400000
CORE1-B,replay,2,980,probe,direct,none,24602,4294967296,3006477108,3538944000
CORE1-B,replay,2,980,probe,direct,none,24603,-4294967296,3006477108,3538944000
CORE1-B,replay,2,980,probe,outgoing,23526,24602,4294967296,3006477108,3538944000
CORE1-B,replay,2,980,probe,outgoing,23526,24603,-4294967296,3006477108,3538944000
CORE1-B,replay,2,980,probe,outgoing,23530,23530,4294967296,264569985434,1433743821
CORE1-B,replay,3,430,before,outgoing,10336,10336,4294967296,274877906944,0
CORE1-B,replay,3,430,after,direct,none,24604,4294967296,3006477108,3538944000
CORE1-B,replay,3,430,after,direct,none,24605,-4294967296,3006477108,3538944000
CORE1-B,replay,3,430,after,outgoing,10332,24604,4294967296,3006477108,3538944000
CORE1-B,replay,3,430,after,outgoing,10332,24605,-4294967296,3006477108,3538944000
CORE1-B,replay,3,430,after,outgoing,10336,10336,4294967296,269723946189,3774873600
CORE1-B,replay,3,430,consequence,direct,none,24604,4294967296,1717986919,2916000000
CORE1-B,replay,3,430,consequence,direct,none,24605,-4294967296,1717986919,2916000000
CORE1-B,replay,3,430,consequence,outgoing,10332,24604,4294967296,1717986919,2916000000
CORE1-B,replay,3,430,consequence,outgoing,10332,24605,-4294967296,1717986919,2916000000
CORE1-B,replay,3,430,consequence,outgoing,10336,10336,4294967296,268435456000,3110400000
CORE1-B,replay,3,430,probe,direct,none,24580,4294967296,3006477108,3538944000
CORE1-B,replay,3,430,probe,direct,none,24581,-4294967296,3006477108,3538944000
CORE1-B,replay,3,430,probe,outgoing,10332,24580,4294967296,3006477108,3538944000
CORE1-B,replay,3,430,probe,outgoing,10332,24581,-4294967296,3006477108,3538944000
CORE1-B,replay,3,430,probe,outgoing,10336,10336,4294967296,263281495245,1433743821
CORE1-B,production,0,779,before,outgoing,18700,18700,4294967296,274877906944,0
CORE1-B,production,0,779,after,direct,none,24576,4294967296,3006477108,3538944000
CORE1-B,production,0,779,after,direct,none,24577,-4294967296,3006477108,3538944000
CORE1-B,production,0,779,after,outgoing,18696,24576,4294967296,3006477108,3538944000
CORE1-B,production,0,779,after,outgoing,18696,24577,-4294967296,3006477108,3538944000
CORE1-B,production,0,779,after,outgoing,18700,18700,4294967296,273589416756,3774873600
CORE1-B,production,0,779,consequence,direct,none,24576,4294967296,1717986919,2916000000
CORE1-B,production,0,779,consequence,direct,none,24577,-4294967296,1717986919,2916000000
CORE1-B,production,0,779,consequence,outgoing,18696,24576,4294967296,1717986919,2916000000
CORE1-B,production,0,779,consequence,outgoing,18696,24577,-4294967296,1717986919,2916000000
CORE1-B,production,0,779,consequence,outgoing,18700,18700,4294967296,272300926567,3110400000
CORE1-B,production,0,779,probe,direct,none,24584,4294967296,3006477108,3538944000
CORE1-B,production,0,779,probe,direct,none,24585,-4294967296,3006477108,3538944000
CORE1-B,production,0,779,probe,outgoing,18696,24584,4294967296,3006477108,3538944000
CORE1-B,production,0,779,probe,outgoing,18696,24585,-4294967296,3006477108,3538944000
CORE1-B,production,0,779,probe,outgoing,18700,18700,4294967296,267146965812,1433743821
CORE1-B,production,1,34,before,outgoing,838,838,4294967296,274877906944,0
CORE1-B,production,1,34,after,direct,none,24590,4294967296,3006477108,3538944000
CORE1-B,production,1,34,after,direct,none,24591,-4294967296,3006477108,3538944000
CORE1-B,production,1,34,after,outgoing,834,24590,4294967296,3006477108,3538944000
CORE1-B,production,1,34,after,outgoing,834,24591,-4294967296,3006477108,3538944000
CORE1-B,production,1,34,after,outgoing,838,838,4294967296,272300926567,3774873600
CORE1-B,production,1,34,consequence,direct,none,24590,4294967296,1717986919,2916000000
CORE1-B,production,1,34,consequence,direct,none,24591,-4294967296,1717986919,2916000000
CORE1-B,production,1,34,consequence,outgoing,834,24590,4294967296,1717986919,2916000000
CORE1-B,production,1,34,consequence,outgoing,834,24591,-4294967296,1717986919,2916000000
CORE1-B,production,1,34,consequence,outgoing,838,838,4294967296,271012436378,3110400000
CORE1-B,production,1,34,probe,direct,none,24598,4294967296,3006477108,3538944000
CORE1-B,production,1,34,probe,direct,none,24599,-4294967296,3006477108,3538944000
CORE1-B,production,1,34,probe,outgoing,834,24598,4294967296,3006477108,3538944000
CORE1-B,production,1,34,probe,outgoing,834,24599,-4294967296,3006477108,3538944000
CORE1-B,production,1,34,probe,outgoing,838,838,4294967296,265858475623,1433743821
CORE1-B,production,2,980,before,outgoing,23530,23530,4294967296,274877906944,0
CORE1-B,production,2,980,after,direct,none,24594,4294967296,3006477108,3538944000
CORE1-B,production,2,980,after,direct,none,24595,-4294967296,3006477108,3538944000
