case_id,root,phase,family,mechanics,states,measures,drive,modulation,fires,resistance_events,coupling_events,qlp,crossings,proposals,deallocations,physical_work,final_tick,trace_hash,body_hash,live_hash,quiescent,replay_equal,mechanics_equal,predicate_pass,case_pass
15,5500000,1,graded_magnitude,production,1/100000/1/1038312161/1979772000;1/100001/2/1038312161/4294967296;1/100001/3/12096372736/12096372736,1979772000|4294967296|12096372736,13,3,8,3,2,0,0,0,0,19,23,13dda0e2b4279bc99c5e782f1e288baa504acdd8080730203ef7304540f9b897,87619ad7609ee9f21e081d9f4bbe02afbfea6a1ff78298a1d3e798b453f9e444,d68c768912ef253c2bbe92b7c00dcc81e3ce892f75b4e3fd8782ada2fbfd15f9,true,true,true,true,true
16,5500000,1,repeated_supported,reference,1/99805/4/4294967296/12884901888,2|3|4,9,3,6,3,3,0,0,0,0,15,2049,accd570b98cbb01c9edad05fdd6efa8076ffcb1f0384736349ac20ba73a5cd3e,a82634eb554ea82e60330c929f489befa8b8188d5abb48fd483e748bac7b131b,29469e0f1be0485facea1c86f83e37139a2530406370aac56b1dc5a3b5a1b3f9,true,true,true,true,true
16,5500000,1,repeated_supported,production,1/99805/4/4294967296/12884901888,2|3|4,9,3,6,3,3,0,0,0,0,15,2049,accd570b98cbb01c9edad05fdd6efa8076ffcb1f0384736349ac20ba73a5cd3e,a82634eb554ea82e60330c929f489befa8b8188d5abb48fd483e748bac7b131b,29469e0f1be0485facea1c86f83e37139a2530406370aac56b1dc5a3b5a1b3f9,true,true,true,true,true
17,5500000,1,threshold_family,reference,1/99000/1/0/0;1/99106/2/0/4294967296;1/99410/3/0/8589934592;1/99805/1/4294967296/0;1/99805/1/4294967296/0,1|1|1|1,22,3,15,3,3,0,3,0,0,28,10001,873d401699a01cb4f2f574d1fc259f65aac3db0a712946fdeff2dee2bfc5235a,235c98574f3fb0b6d7cbc6f4c439f4d5894f11a62d8af74b205cffb752078522,15f72f11df14f791d47e214b42d44106c7a322fcfd199a4e6c6495bea5c13cc1,true,true,true,true,true
17,5500000,1,threshold_family,production,1/99000/1/0/0;1/99106/2/0/4294967296;1/99410/3/0/8589934592;1/99805/1/4294967296/0;1/99805/1/4294967296/0,1|1|1|1,22,3,15,3,3,0,3,0,0,28,10001,873d401699a01cb4f2f574d1fc259f65aac3db0a712946fdeff2dee2bfc5235a,235c98574f3fb0b6d7cbc6f4c439f4d5894f11a62d8af74b205cffb752078522,da6c95e71ef30245b40c1f74a57a502db5e625afe719ae420eb5adb545da3566,true,true,true,true,true
18,5500000,1,equal_persistence_efficacy,reference,1/1/1/346608838/0;1/1/2/346608838/0;0/0/1/0/0;0/0/2/0/0,0|1,4,0,3,0,0,0,0,0,0,6,41,8b1803f38e0a50ce8378b2fa743a3f872f0b668e657b722cd03c6b86322caf48,c2eb9cbdc1686a5d92d304168fc0d365280a73779570354a7153956164daa5df,6cab1cb092389cfeddcc5f5a33abf834dc051aea329ab9c46b1905b23ed3f30c,true,true,true,true,true
18,5500000,1,equal_persistence_efficacy,production,1/1/1/346608838/0;1/1/2/346608838/0;0/0/1/0/0;0/0/2/0/0,0|1,4,0,3,0,0,0,0,0,0,6,41,8b1803f38e0a50ce8378b2fa743a3f872f0b668e657b722cd03c6b86322caf48,c2eb9cbdc1686a5d92d304168fc0d365280a73779570354a7153956164daa5df,2c0642cc7b3f69aae95cbef7efe9657fb204ef653aedfe88a59d43bd412c41a2,true,true,true,true,true
19,5500000,1,fanout_locality,reference,1/100003/2/4294967296/4294967296;1/100003/2/4294967296/4294967296;1/100000/1/0/0,4294967296|4294967296|0,4,1,2,2,2,0,0,0,0,7,1,6118dd6ebbaea71452d5f333ed0c306a35e5d63b3c7469fd0cbf4c2a4d918f16,9e9e3f7b9e79e3208cdf5552ffe9d794bce014922b2a31f01bc0791a0a79b41a,0c4c4071955891d0627021cf128521cc0f226a0644b4760725e6513508b91b99,true,true,true,true,true
19,5500000,1,fanout_locality,production,1/100003/2/4294967296/4294967296;1/100003/2/4294967296/4294967296;1/100000/1/0/0,4294967296|4294967296|0,4,1,2,2,2,0,0,0,0,7,1,6118dd6ebbaea71452d5f333ed0c306a35e5d63b3c7469fd0cbf4c2a4d918f16,9e9e3f7b9e79e3208cdf5552ffe9d794bce014922b2a31f01bc0791a0a79b41a,0c4c4071955891d0627021cf128521cc0f226a0644b4760725e6513508b91b99,true,true,true,true,true
20,5500000,1,recurrent_stability,reference,0/0/2/0/0;1/1/2/32773720845/4294967296,1|33|32,73,2,70,2,2,0,0,0,0,78,74,21764662ef23e37eeeaf84b2780ae754c2287a4e542cbcbcce470cb3fb2b05db,8abae5119efdb4d0a58302428d060ee4ddb6cb2fe7dac451460aa9c92b27320b,31b3fda6631e8739357f7f2e1c44562f50c395b645e8e8d0c30d181c2e4c55da,true,true,true,false,false
20,5500000,1,recurrent_stability,production,0/0/2/0/0;1/1/2/32773720845/4294967296,1|33|32,73,2,70,2,2,0,0,0,0,78,74,21764662ef23e37eeeaf84b2780ae754c2287a4e542cbcbcce470cb3fb2b05db,8abae5119efdb4d0a58302428d060ee4ddb6cb2fe7dac451460aa9c92b27320b,cf9d0178fa58e0dde0ae554f899c83a4d88502b5a3fc33da5baee13200523335,true,true,true,false,false
21,5500000,2,no_consequence,reference,1/100000/1/4294967296/0,0,2,0,1,0,0,0,0,0,0,2,2,2631b44293af4bbfbfac3fb4c04d236cca88a9e8ae8598897c5d21114e035c12,983a86ff6942e9c7d1d547f42d1b622b737b493631b390da4966cfbec9f42d0c,f95422885715edc1690e289865687148fcd8297aa487975003d64a8f97a5b086,true,true,true,true,true
21,5500000,2,no_consequence,production,1/100000/1/4294967296/0,0,2,0,1,0,0,0,0,0,0,2,2,2631b44293af4bbfbfac3fb4c04d236cca88a9e8ae8598897c5d21114e035c12,983a86ff6942e9c7d1d547f42d1b622b737b493631b390da4966cfbec9f42d0c,f95422885715edc1690e289865687148fcd8297aa487975003d64a8f97a5b086,true,true,true,true,true
22,5500000,2,repeated_use_only,reference,1/100000/1/27713226736/0,0,16,0,8,0,0,0,0,0,0,16,9,34d81c216f9b501007acc1c2370068d139a0742fa57e256d0cea282cb7e70e98,720c6a575cde576cd6ea763a78f31512328692b6523fa9e196dfd1a8f0e81ec6,fbd4d6e3f34ced09b612507f1f7e8316da33f66c02499b7633e319511f909985,true,true,true,true,true
22,5500000,2,repeated_use_only,production,1/100000/1/27713226736/0,0,16,0,8,0,0,0,0,0,0,16,9,34d81c216f9b501007acc1c2370068d139a0742fa57e256d0cea282cb7e70e98,720c6a575cde576cd6ea763a78f31512328692b6523fa9e196dfd1a8f0e81ec6,513aab930044c1d4921e123cb67a0954000c8b62f14039c8ff63e758f6388a9b,true,true,true,true,true
23,5500000,2,prompt_consequence,reference,1/100003/2/4294967296/4294967296,4294967296,3,1,2,1,1,0,0,0,0,5,2,ecef2ff4f496a16af6f2c0b721ff47135cd8c612b1acf8dae394fe0ea80ab9b4,0e35cd260bb3a0e50547bc50f1e16ff26cfc5de6079cdb429971444a238bfc56,c0a3c1c27c0e29d50017430c2ebdef52d5ec7a245ee4be088785a48d56404542,true,true,true,true,true
