case_id,root,phase,family,arm,mechanics,states,measures,drive,modulation,fires,resistance_events,qlp,crossings,proposals,deallocations,physical_work,final_tick,trace_hash,body_hash,live_hash,quiescent,replay_equal,mechanics_equal,predicate_pass,case_pass
12,5300000,0,fd1_consolidation,efficacy_and_persistence,reference,1/4/2/4026531840/4026531840;1/1/2/4026531840/0,4026531840|0,5,1,3,1,0,0,0,0,7,1,c0a80c0160761856c1fab1a3587176a9210f510ce4a36c83a647598589cf8a3f,16e3efda1054298d025f2d8e6dfa8f0cfc87abb8279c7450a6229fac1a848c68,51adaf992a916209a83f63a56309236ddac6141f61971b9a0b9eca4651414f35,true,true,true,true,true
12,5300000,0,fd1_consolidation,efficacy_and_persistence,production,1/4/2/4026531840/4026531840;1/1/2/4026531840/0,4026531840|0,5,1,3,1,0,0,0,0,7,1,c0a80c0160761856c1fab1a3587176a9210f510ce4a36c83a647598589cf8a3f,16e3efda1054298d025f2d8e6dfa8f0cfc87abb8279c7450a6229fac1a848c68,d1f337e5e76d1b44957a6b28f0a5e584722e569612f5badf7ebb5ba80c629937,true,true,true,true,true
13,5300000,0,threshold_1_already_executable,persistence_only,reference,1/4/1/4294967296/0,1|1,3,0,2,0,0,1,0,0,3,0,ed91bcab0d41d5e30348a11b2741ede37cb125a87e337b3b6b01bb1e257b7b64,0c898e7f87eb2c6c748df5453d345ed68d6836d9a788894eeea2c2ce83e9edf7,cf738795587f1f37b485d2637b28b71494bdfbd0a8f8608068ce817acc165272,true,true,true,true,true
13,5300000,0,threshold_1_already_executable,persistence_only,production,1/4/1/4294967296/0,1|1,3,0,2,0,0,1,0,0,3,0,ed91bcab0d41d5e30348a11b2741ede37cb125a87e337b3b6b01bb1e257b7b64,0c898e7f87eb2c6c748df5453d345ed68d6836d9a788894eeea2c2ce83e9edf7,cf738795587f1f37b485d2637b28b71494bdfbd0a8f8608068ce817acc165272,true,true,true,true,true
14,5300000,0,threshold_1_already_executable,efficacy_and_persistence,reference,1/4/2/4294967296/0,1|1,3,0,2,0,0,1,0,0,3,0,e06338547d4fd83ef4fc92263ee078516f209c6f923fdba118a9ca46bde34ad3,9eeee3cfa562d848a7dbe1aa32096afd808be08b883073102a79514446292a07,1913006a111ef435bfd3da929e47e9d021792a68fb2c57744880e6c127b1020a,true,true,true,true,true
14,5300000,0,threshold_1_already_executable,efficacy_and_persistence,production,1/4/2/4294967296/0,1|1,3,0,2,0,0,1,0,0,3,0,e06338547d4fd83ef4fc92263ee078516f209c6f923fdba118a9ca46bde34ad3,9eeee3cfa562d848a7dbe1aa32096afd808be08b883073102a79514446292a07,1913006a111ef435bfd3da929e47e9d021792a68fb2c57744880e6c127b1020a,true,true,true,true,true
15,5300000,0,threshold_2_acquired_efficacy,persistence_only,reference,1/4/1/4294967296/0;1/1/1/4294967296/0,0|0|0,4,0,2,0,0,0,0,0,4,0,d00be5d8839bbde0bf7c29a16018e869f6b5fb56ebf22668edfbae2209ee02d8,a399aaf0be1453a2ae75101af7f833f4cb0e2d9f1696e20f2c0d69b735213b45,42b36e4b28037462a6c6debd9632b99f255eef812d2e65d8ed62deee267d6d8e,true,true,true,true,true
15,5300000,0,threshold_2_acquired_efficacy,persistence_only,production,1/4/1/4294967296/0;1/1/1/4294967296/0,0|0|0,4,0,2,0,0,0,0,0,4,0,d00be5d8839bbde0bf7c29a16018e869f6b5fb56ebf22668edfbae2209ee02d8,a399aaf0be1453a2ae75101af7f833f4cb0e2d9f1696e20f2c0d69b735213b45,42b36e4b28037462a6c6debd9632b99f255eef812d2e65d8ed62deee267d6d8e,true,true,true,true,true
16,5300000,0,threshold_2_acquired_efficacy,efficacy_and_persistence,reference,1/4/2/4294967296/0;1/1/1/4294967296/0,1|0|1,5,0,3,0,0,1,0,0,5,0,05f227cc3d84f5e87bbf611908f392d1a9f4ce5cd668c8806ba8c4ef8309fbce,be10356bb5548e7ba580c054778c2f458ff5777d05ae7f43925951e450f4962b,659e31a30c06ff22bdf5401f12a4ac42fac1debd57e98da8d9c3425829364792,true,true,true,true,true
16,5300000,0,threshold_2_acquired_efficacy,efficacy_and_persistence,production,1/4/2/4294967296/0;1/1/1/4294967296/0,1|0|1,5,0,3,0,0,1,0,0,5,0,05f227cc3d84f5e87bbf611908f392d1a9f4ce5cd668c8806ba8c4ef8309fbce,be10356bb5548e7ba580c054778c2f458ff5777d05ae7f43925951e450f4962b,659e31a30c06ff22bdf5401f12a4ac42fac1debd57e98da8d9c3425829364792,true,true,true,true,true
17,5300000,0,threshold_3_still_insufficient,persistence_only,reference,1/4/1/4294967296/0,0|0,2,0,1,0,0,0,0,0,2,0,b1e043ab1adf8c4b9f43d6117e99aed133d8e104f4c8bc316d3a98f87ffc011c,ec744c9d466a34c48ba868944b66d3f80eeae3a7554401cb9f1901663159931c,65753e3864dc477e1639d70d427d899fc042326a2f8bcaa19b3aa8d4ec7ce797,true,true,true,true,true
17,5300000,0,threshold_3_still_insufficient,persistence_only,production,1/4/1/4294967296/0,0|0,2,0,1,0,0,0,0,0,2,0,b1e043ab1adf8c4b9f43d6117e99aed133d8e104f4c8bc316d3a98f87ffc011c,ec744c9d466a34c48ba868944b66d3f80eeae3a7554401cb9f1901663159931c,65753e3864dc477e1639d70d427d899fc042326a2f8bcaa19b3aa8d4ec7ce797,true,true,true,true,true
18,5300000,0,threshold_3_still_insufficient,efficacy_and_persistence,reference,1/4/2/4294967296/0,0|0,2,0,1,0,0,0,0,0,2,0,f7b1b44f70b942fe3886be980377132939284784b7c5b56ad7bb6752cfe96a68,bba48bb062192a99d74e194cedcf9119164f1d34907c6ab35c21293ab04afdaa,3c818a4b9115d62a39e4efa81d7bfd83ec7138093a1c1bbfe4186a83df417b09,true,true,true,true,true
