case,family,root,mechanics,replay_equal,cross_equal,checks_pass,failed,quiescent,physical_work,legacy_total,final_tick,trace_hash,body_hash,checkpoint_hash,signature
13,dead_slot_generation_safe_reuse,9000101,production,true,true,true,,true,0,0,1,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,011350e75ace8c7b5601efbc2f83400125095edef43167a9d49b7004a7439516,287ae913bfa60d5c5ba035e74bed9ca3dab811401ce7d5c1ed99d7db45a296b0,slot=2->2;generation=1->2,
14,incoming_stale_arrow_inert,9000101,reference,true,true,true,,true,1,10,11,480e38b9c732a3a9f769adb2cec8860e4842d4da6653ccb1c29ff8f207e680fa,5d9e25b358962c67c2baa5db97f2b2a22c8e6f81f73e31692f1c11e64ec7b385,348bf4b863d639acf1d7b2a806ced0aeba8f443c99ca344fe833ef05d899242e,slot=3->3;generation=1->2,
14,incoming_stale_arrow_inert,9000101,production,true,true,true,,true,1,10,11,480e38b9c732a3a9f769adb2cec8860e4842d4da6653ccb1c29ff8f207e680fa,5d9e25b358962c67c2baa5db97f2b2a22c8e6f81f73e31692f1c11e64ec7b385,3137fb26460688066c8bcfdeee460e3a803fc18005f4ea3dc7769e2cda9f74be,slot=3->3;generation=1->2,
15,outgoing_stale_arrow_inert,9000101,reference,true,true,true,,true,1,10,11,f1cbe824fa0abbf1bcdfe6eba7919b8c92fb5d1d3c0ab053a2c50d61fc387b13,a48f9a2ba2264c554ecf07fe92a07f82cd12eab7fc727b96567bac7ebe099fb7,1d9d9b7fe6bff84c7e9db024b22a86b0a9149b6c0fc3c8b2666a7aa5abdc3fd8,slot=3->3;generation=1->2,
15,outgoing_stale_arrow_inert,9000101,production,true,true,true,,true,1,10,11,f1cbe824fa0abbf1bcdfe6eba7919b8c92fb5d1d3c0ab053a2c50d61fc387b13,a48f9a2ba2264c554ecf07fe92a07f82cd12eab7fc727b96567bac7ebe099fb7,1fe772cc1752a6c3c04aadcfeaa8a6f657da2fb3d6d6d6866b291dcadc0cd609,slot=3->3;generation=1->2,
16,live_topology_retains_junction,9000101,reference,true,true,true,,true,0,0,10,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,45f9b5aed99cb83941ed7eaf37f1057f40ce94acdd57c0fb80105df59db58bcd,5332f7d7c72d651797d6eba0963a732cdc07dc94b7c83325cd6f962487e14c53,before=(true; 1; 1);after=(true; 1; 1),
16,live_topology_retains_junction,9000101,production,true,true,true,,true,0,0,10,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,45f9b5aed99cb83941ed7eaf37f1057f40ce94acdd57c0fb80105df59db58bcd,bc8ab2f7311d98a70dccd02784d8ee1f0e336094cdde3403b06a14d25b241aff,before=(true; 1; 1);after=(true; 1; 1),
17,last_link_death_roundtrip,9000101,reference,true,true,true,,true,2,5,10,c6e38c1f8058be9d58df068fcb702add3d611f29cd9068bda78f3a74cb44ab67,e80a314bee6b874f801d138e5866c16b6867c5a5a81e18e09721bdba7af3f672,d6ef8d7388a92270b55d7cf68cb5b32017ee04e6763a421e5954b2c4dbb945bf,live9=true;dead10=true,
17,last_link_death_roundtrip,9000101,production,true,true,true,,true,2,5,10,c6e38c1f8058be9d58df068fcb702add3d611f29cd9068bda78f3a74cb44ab67,e80a314bee6b874f801d138e5866c16b6867c5a5a81e18e09721bdba7af3f672,eb1937092a67064fcb69cbba9f1c4b73c6ad25d8b273def5eb75e7fd3807c36b,live9=true;dead10=true,
18,live_pending_exact_continuation,9000101,reference,true,true,true,,true,1,21,5,3a975d87a12c9cb2bc5c4545d16124d1826a3da48eed3bec51a60c4b49bf0dc0,fe95ede689e6f52a98e76140bfd4fb70a9d2997e5ca7e4437528451f5eb6c0bb,4f5e975a1b5692914950a71e53527b7f5ca1dbe3da11d71549154e61750c45e2,continuation=Continuation { trace: [PhysicalTransition { tick: 5; phase: 0; event: DriveIncidence { target: CellId(2); arrivals: 1; impulse: 1; causal_wave: 0 } }; PhysicalTransition { tick: 5; phase: 0; event: Fire { cell: CellId(2) } }]; work: PhysicalWork { drive: 1; modulation: 0; updates: 0; proposals: 0; cell_proposals: 0; arrow_deallocations: 0; cell_deallocations: 0; qlp: 0; total: 1 }; legacy_total: 21; tick: 5; body_hash: "fe95ede689e6f52a98e76140bfd4fb70a9d2997e5ca7e4437528451f5eb6c0bb"; quiescent: true },
18,live_pending_exact_continuation,9000101,production,true,true,true,,true,1,21,5,3a975d87a12c9cb2bc5c4545d16124d1826a3da48eed3bec51a60c4b49bf0dc0,fe95ede689e6f52a98e76140bfd4fb70a9d2997e5ca7e4437528451f5eb6c0bb,4f5e975a1b5692914950a71e53527b7f5ca1dbe3da11d71549154e61750c45e2,continuation=Continuation { trace: [PhysicalTransition { tick: 5; phase: 0; event: DriveIncidence { target: CellId(2); arrivals: 1; impulse: 1; causal_wave: 0 } }; PhysicalTransition { tick: 5; phase: 0; event: Fire { cell: CellId(2) } }]; work: PhysicalWork { drive: 1; modulation: 0; updates: 0; proposals: 0; cell_proposals: 0; arrow_deallocations: 0; cell_deallocations: 0; qlp: 0; total: 1 }; legacy_total: 21; tick: 5; body_hash: "fe95ede689e6f52a98e76140bfd4fb70a9d2997e5ca7e4437528451f5eb6c0bb"; quiescent: true },
19,quiescent_exact_future,9000101,reference,true,true,true,,true,1,9,1,9273684a90ffcab00feeca758178366610da551a608c73517bf7f3448b7c8edf,fe95ede689e6f52a98e76140bfd4fb70a9d2997e5ca7e4437528451f5eb6c0bb,41c278083e44912a5efebca9e8c4b47d9a8ab2cf3953976c26b7f4955d752888,future=Continuation { trace: [PhysicalTransition { tick: 1; phase: 0; event: DriveIncidence { target: CellId(2); arrivals: 1; impulse: 1; causal_wave: 0 } }; PhysicalTransition { tick: 1; phase: 0; event: Fire { cell: CellId(2) } }]; work: PhysicalWork { drive: 1; modulation: 0; updates: 0; proposals: 0; cell_proposals: 0; arrow_deallocations: 0; cell_deallocations: 0; qlp: 0; total: 1 }; legacy_total: 9; tick: 1; body_hash: "fe95ede689e6f52a98e76140bfd4fb70a9d2997e5ca7e4437528451f5eb6c0bb"; quiescent: true },
19,quiescent_exact_future,9000101,production,true,true,true,,true,1,9,1,9273684a90ffcab00feeca758178366610da551a608c73517bf7f3448b7c8edf,fe95ede689e6f52a98e76140bfd4fb70a9d2997e5ca7e4437528451f5eb6c0bb,41c278083e44912a5efebca9e8c4b47d9a8ab2cf3953976c26b7f4955d752888,future=Continuation { trace: [PhysicalTransition { tick: 1; phase: 0; event: DriveIncidence { target: CellId(2); arrivals: 1; impulse: 1; causal_wave: 0 } }; PhysicalTransition { tick: 1; phase: 0; event: Fire { cell: CellId(2) } }]; work: PhysicalWork { drive: 1; modulation: 0; updates: 0; proposals: 0; cell_proposals: 0; arrow_deallocations: 0; cell_deallocations: 0; qlp: 0; total: 1 }; legacy_total: 9; tick: 1; body_hash: "fe95ede689e6f52a98e76140bfd4fb70a9d2997e5ca7e4437528451f5eb6c0bb"; quiescent: true },
20,reference_production_exact_continuation,9000101,reference,true,true,true,,true,4,33,2,e7a82e32f719badd2ec602d0df0796a813674cf9119dcb10534e25fe9d0cb655,a8e1cf29a2f95f3346a89282fefcbc6c7fed5167fc727bafa6b3a6edf0a47c13,0c8b6528e6f5328ae87704701ef1bfaaf507f7f906737765337a07d5e787421a,cross=Continuation { trace: [PhysicalTransition { tick: 1; phase: 0; event: DriveIncidence { target: CellId(2); arrivals: 1; impulse: 1; causal_wave: 0 } }; PhysicalTransition { tick: 1; phase: 0; event: Fire { cell: CellId(2) } }; PhysicalTransition { tick: 2; phase: 0; event: ModulatoryIncidence { target: CellId(3); arrivals: 1; impulse: 1; causal_wave: 0 } }; PhysicalTransition { tick: 2; phase: 0; event: Resistance { arrow: ArrowId(4); before: 500; after: 503 } }; PhysicalTransition { tick: 2; phase: 0; event: DriveIncidence { target: CellId(3); arrivals: 1; impulse: 2; causal_wave: 0 } }; PhysicalTransition { tick: 2; phase: 0; event: Fire { cell: CellId(3) } }]; work: PhysicalWork { drive: 2; modulation: 1; updates: 1; proposals: 0; cell_proposals: 0; arrow_deallocations: 0; cell_deallocations: 0; qlp: 0; total: 4 }; legacy_total: 33; tick: 2; body_hash: "a8e1cf29a2f95f3346a89282fefcbc6c7fed5167fc727bafa6b3a6edf0a47c13"; quiescent: true },
20,reference_production_exact_continuation,9000101,production,true,true,true,,true,4,33,2,e7a82e32f719badd2ec602d0df0796a813674cf9119dcb10534e25fe9d0cb655,a8e1cf29a2f95f3346a89282fefcbc6c7fed5167fc727bafa6b3a6edf0a47c13,0c8b6528e6f5328ae87704701ef1bfaaf507f7f906737765337a07d5e787421a,cross=Continuation { trace: [PhysicalTransition { tick: 1; phase: 0; event: DriveIncidence { target: CellId(2); arrivals: 1; impulse: 1; causal_wave: 0 } }; PhysicalTransition { tick: 1; phase: 0; event: Fire { cell: CellId(2) } }; PhysicalTransition { tick: 2; phase: 0; event: ModulatoryIncidence { target: CellId(3); arrivals: 1; impulse: 1; causal_wave: 0 } }; PhysicalTransition { tick: 2; phase: 0; event: Resistance { arrow: ArrowId(4); before: 500; after: 503 } }; PhysicalTransition { tick: 2; phase: 0; event: DriveIncidence { target: CellId(3); arrivals: 1; impulse: 2; causal_wave: 0 } }; PhysicalTransition { tick: 2; phase: 0; event: Fire { cell: CellId(3) } }]; work: PhysicalWork { drive: 2; modulation: 1; updates: 1; proposals: 0; cell_proposals: 0; arrow_deallocations: 0; cell_deallocations: 0; qlp: 0; total: 4 }; legacy_total: 33; tick: 2; body_hash: "a8e1cf29a2f95f3346a89282fefcbc6c7fed5167fc727bafa6b3a6edf0a47c13"; quiescent: true },
